rank,hold_min,annual_gates_passed,y2022_gate,y2023_gate,y2024_gate,y2025_gate,pooled_gate,stress2_gate,positive_years_2bps,min_annual_exp,min_annual_net,pooled_trades,pooled_wr,pooled_net,pooled_exp,pooled_pf,pooled_dd,pooled_ls,formal_supported
1,720,3,True,False,True,True,True,True,4,1.2698002311959875,31.74500577989969,113,0.5929203539823009,297.7712419455227,2.6351437340311743,2.041421632757906,33.64447409637424,6,False
2,960,3,True,False,True,True,True,True,4,1.1066690658340126,36.520079172522415,113,0.6106194690265486,316.4219376677972,2.8001941386530724,1.9062531571314507,72.45874828843368,5,False
3,480,2,True,False,True,False,True,False,2,-0.4196283616432454,-10.490709041081136,113,0.5752212389380531,105.6076415002694,0.9345808982324725,1.3313561766580064,54.14602923217309,6,False
4,360,2,True,False,True,False,False,False,2,-0.8381568017613802,-20.953920044034504,113,0.5398230088495575,48.4233894993874,0.4285255707910389,1.1691767245948828,60.47062615225789,6,False
