partition,origin,outcome,n,mean_score,median_score,p25_score,p75_score,resume_rate
external,BULL,RESUME,104,2.9615384615384617,3.0,3.0,3.0,
external,BULL,TRANSITION,59,2.9661016949152543,3.0,3.0,3.0,
external,BULL,SCORE_0,0,,,,,
external,BULL,SCORE_1,0,,,,,
external,BULL,SCORE_2,6,,,,,0.6666666666666666
external,BULL,SCORE_3,157,,,,,0.6369426751592356
external,BEAR,RESUME,56,3.0,3.0,3.0,3.0,
external,BEAR,TRANSITION,52,2.980769230769231,3.0,3.0,3.0,
external,BEAR,SCORE_0,0,,,,,
external,BEAR,SCORE_1,0,,,,,
external,BEAR,SCORE_2,1,,,,,0.0
external,BEAR,SCORE_3,107,,,,,0.5233644859813084
development,BULL,RESUME,105,3.0,3.0,3.0,3.0,
development,BULL,TRANSITION,114,3.0,3.0,3.0,3.0,
development,BULL,SCORE_0,0,,,,,
development,BULL,SCORE_1,0,,,,,
development,BULL,SCORE_2,0,,,,,
development,BULL,SCORE_3,219,,,,,0.4794520547945205
development,BEAR,RESUME,135,3.0,3.0,3.0,3.0,
development,BEAR,TRANSITION,114,3.0,3.0,3.0,3.0,
development,BEAR,SCORE_0,0,,,,,
development,BEAR,SCORE_1,0,,,,,
development,BEAR,SCORE_2,0,,,,,
development,BEAR,SCORE_3,249,,,,,0.5421686746987951
reference_validation,BULL,RESUME,72,3.0,3.0,3.0,3.0,
reference_validation,BULL,TRANSITION,78,2.9871794871794872,3.0,3.0,3.0,
reference_validation,BULL,SCORE_0,0,,,,,
reference_validation,BULL,SCORE_1,0,,,,,
reference_validation,BULL,SCORE_2,1,,,,,0.0
reference_validation,BULL,SCORE_3,149,,,,,0.48322147651006714
reference_validation,BEAR,RESUME,55,2.981818181818182,3.0,3.0,3.0,
reference_validation,BEAR,TRANSITION,79,3.0,3.0,3.0,3.0,
reference_validation,BEAR,SCORE_0,0,,,,,
reference_validation,BEAR,SCORE_1,0,,,,,
reference_validation,BEAR,SCORE_2,1,,,,,1.0
reference_validation,BEAR,SCORE_3,133,,,,,0.40601503759398494
POOLED_MAJOR,BULL,RESUME,281,2.98576512455516,3.0,3.0,3.0,
POOLED_MAJOR,BULL,TRANSITION,251,2.9880478087649402,3.0,3.0,3.0,
POOLED_MAJOR,BULL,SCORE_0,0,,,,,
POOLED_MAJOR,BULL,SCORE_1,0,,,,,
POOLED_MAJOR,BULL,SCORE_2,7,,,,,0.5714285714285714
POOLED_MAJOR,BULL,SCORE_3,525,,,,,0.5276190476190477
POOLED_MAJOR,BEAR,RESUME,246,2.9959349593495936,3.0,3.0,3.0,
POOLED_MAJOR,BEAR,TRANSITION,245,2.9959183673469387,3.0,3.0,3.0,
POOLED_MAJOR,BEAR,SCORE_0,0,,,,,
POOLED_MAJOR,BEAR,SCORE_1,0,,,,,
POOLED_MAJOR,BEAR,SCORE_2,2,,,,,0.5
POOLED_MAJOR,BEAR,SCORE_3,489,,,,,0.5010224948875256
