feature,dev_win_n,dev_fail_n,dev_win_median,dev_fail_median,dev_gap,dev_effect,external_win_n,external_fail_n,external_win_median,external_fail_median,external_gap,reference_win_n,reference_fail_n,reference_win_median,reference_fail_median,reference_gap,counts_ok,signs_ok,effect_ok,replicated_directional
trailing_168h_net_stress,10,2,-8.881757325922399,3.0185548241769293,-11.900312150099328,0.7755151789647148,7,2,27.19679882303669,50.2508321931843,-23.05403337014761,4,3,10.677907938173695,-18.02033745891962,28.698245397093316,True,False,True,False
trailing_168h_net_raw,10,2,-5.006757325922398,6.018554824176934,-11.025312150099332,0.7722357150214643,7,2,30.946798823036698,53.0008321931843,-22.054033370147604,4,3,13.427907938173695,-15.020337458919617,28.44824539709331,True,False,True,False
last3_component_mean_stress,10,2,0.1610654972649767,-1.135597231354877,1.2966627286198538,0.7408569372591836,7,2,2.050913648354589,7.675198481976138,-5.624284833621549,4,3,1.14027474751822,-1.6425231441723014,2.7827978916905214,True,False,True,False
last3_component_mean_raw,10,2,0.41106549726497665,-0.8855972313548769,1.2966627286198535,0.7408569372591834,7,2,2.3009136483545896,7.925198481976138,-5.624284833621548,4,3,1.39027474751822,-1.3925231441723007,2.782797891690521,True,False,True,False
day_to_date_net_stress,10,2,-0.5894687296456866,-3.238732041491665,2.6492633118459783,0.5738047570080117,7,2,-1.5012564585665795,15.881066179227926,-17.382322637794505,4,3,2.230256258348385,-0.284106412005408,2.514362670353793,True,False,True,False
trailing_24h_net_stress,10,2,-0.5894687296456866,-3.406791694064631,2.817322964418944,0.571727385906958,7,2,0.053773339668521825,15.881066179227926,-15.827292839559403,4,3,2.230256258348385,-0.284106412005408,2.514362670353793,True,False,True,False
day_to_date_net_raw,10,2,-0.33946872964568664,-2.738732041491665,2.3992633118459783,0.5127165897184711,7,2,-1.0012564585665795,16.506066179227926,-17.507322637794505,4,3,2.730256258348385,-0.0341064120054079,2.764362670353793,True,False,True,False
trailing_24h_net_raw,10,2,-0.33946872964568664,-2.656791694064631,2.317322964418944,0.4702609595995159,7,2,1.3037733396685218,16.506066179227926,-15.202292839559403,4,3,2.730256258348385,-0.0341064120054079,2.764362670353793,True,False,False,False
week_to_date_net_stress,10,2,-1.02433247684841,-4.117572457863426,3.0932399810150164,0.34974937301676795,7,2,5.516178514098419,16.48708087509968,-10.97090236100126,4,3,3.1354461769134154,-4.633403387481941,7.768849564395357,True,False,False,False
day_to_date_trades,10,2,1.5,2.0,-0.5,0.3333333333333333,7,2,2.0,2.5,-0.5,4,3,2.0,1.0,1.0,True,False,False,False
week_to_date_net_raw,10,2,-0.0905800937451573,-2.3675724578634254,2.276992364118268,0.3133343415826743,7,2,7.516178514098421,18.23708087509968,-10.720902361001258,4,3,4.135446176913415,-2.8834033874819416,7.018849564395357,True,False,False,False
equity_drawdown_at_entry_stress,10,2,40.03598915239371,35.46749577272257,4.568493379671139,0.17525329878005316,7,2,4.156879311397329,40.4489828056623,-36.292103494264964,4,3,7.4076255462412774,39.00445344511354,-31.596827898872263,True,False,False,False
last5_component_mean_stress,10,2,-0.37011349440462227,-0.12021822713751928,-0.24989526726710298,0.17290801727876207,7,2,1.3111328485219402,0.19895897659194617,1.112173871929994,4,3,1.1042113696334734,-1.1624616340733251,2.2666730037067984,True,False,False,False
last5_component_mean_raw,10,2,-0.12011349440462227,0.12978177286248072,-0.24989526726710298,0.17290801727876204,7,2,1.5611328485219402,0.44895897659194595,1.1121738719299943,4,3,1.3542113696334734,-0.9124616340733247,2.2666730037067984,True,False,False,False
week_to_date_trades,10,2,6.5,7.0,-0.5,0.09523809523809523,7,2,14.0,7.0,7.0,4,3,3.5,7.0,-3.5,True,False,False,False
equity_drawdown_at_entry_raw,10,2,22.90371958649689,21.20393323869041,1.69978634780648,0.061116542195895913,7,2,1.469593334669753,24.323982805662297,-22.854389470992544,4,3,0.516581153832071,17.04053947912155,-16.523958325289478,True,False,False,False
trailing_72h_net_raw,10,2,-0.0905800937451573,0.25995320222829665,-0.35053329597345395,0.03280725334747406,7,2,10.200625464731662,2.287936584961489,7.912688879770172,4,3,7.3972653206581525,-4.562308170366624,11.959573491024777,True,False,False,False
trailing_72h_net_stress,10,2,-1.02433247684841,-1.3650467977717033,0.34071432092329346,0.029437101913463114,7,2,7.7006254647316625,1.1629365849614892,6.537688879770173,4,3,6.3972653206581525,-5.8123081703666255,12.209573491024777,True,True,False,False
