partition,origin,outcome,n,no_reclaim_n,reclaim_n,transition_rate_no_reclaim,transition_rate_reclaim,transition_lift,median_first_break_pos,p25_first_break_pos,p75_first_break_pos,median_acceptance_share,p25_acceptance_share,p75_acceptance_share,median_final_streak,p25_final_streak,p75_final_streak
external,BULL,ALL,40,26.0,14.0,0.5,0.7142857142857143,-0.2142857142857143,19.0,8.0,31.0,1.0,0.9051724137931034,1.0,20.5,8.75,36.0
external,BULL,RESUME,17,,,,,,11.0,8.0,28.0,1.0,1.0,1.0,22.0,19.0,40.0
external,BULL,TRANSITION,23,,,,,,20.0,11.5,31.0,1.0,0.7673611111111112,1.0,18.0,6.5,32.5
external,BEAR,ALL,19,12.0,7.0,0.5833333333333334,0.8571428571428571,-0.2738095238095237,13.0,7.0,23.5,1.0,0.8116554054054055,1.0,22.0,15.5,36.5
external,BEAR,RESUME,6,,,,,,8.0,7.0,24.0,1.0,1.0,1.0,31.5,20.75,41.5
external,BEAR,TRANSITION,13,,,,,,13.0,12.0,22.0,1.0,0.8108108108108109,1.0,19.0,15.0,30.0
development,BULL,ALL,29,15.0,14.0,0.9333333333333333,0.7142857142857143,0.21904761904761905,23.0,9.0,37.0,1.0,0.9230769230769231,1.0,19.0,9.0,26.0
development,BULL,RESUME,5,,,,,,20.0,19.0,37.0,0.9310344827586207,0.9166666666666666,0.9666666666666667,19.0,12.0,21.0
development,BULL,TRANSITION,24,,,,,,24.5,8.0,37.25,1.0,0.9230769230769231,1.0,17.0,8.75,33.0
development,BEAR,ALL,23,11.0,12.0,0.7272727272727273,0.5833333333333334,0.14393939393939392,11.0,3.0,30.0,0.9767441860465116,0.8041666666666667,1.0,15.0,8.5,36.0
development,BEAR,RESUME,8,,,,,,3.0,1.75,11.5,0.9239130434782609,0.8229166666666666,1.0,26.5,9.75,42.25
development,BEAR,TRANSITION,15,,,,,,28.0,7.5,32.5,1.0,0.8111111111111111,1.0,15.0,6.5,20.0
reference_validation,BULL,ALL,26,11.0,15.0,0.7272727272727273,0.8,-0.07272727272727275,24.0,18.25,37.75,0.9521978021978021,0.7956730769230769,1.0,10.5,6.0,22.0
reference_validation,BULL,RESUME,6,,,,,,31.5,7.75,39.5,0.9545454545454546,0.8210227272727273,1.0,13.0,7.5,23.0
reference_validation,BULL,TRANSITION,20,,,,,,23.0,18.75,37.0,0.9521978021978021,0.8002136752136753,1.0,10.5,6.0,22.0
reference_validation,BEAR,ALL,14,7.0,7.0,0.8571428571428571,0.7142857142857143,0.1428571428571428,17.5,2.5,31.75,0.9895833333333333,0.8609422492401215,1.0,18.5,7.0,36.75
reference_validation,BEAR,RESUME,3,,,,,,19.0,10.5,26.0,0.8723404255319149,0.8195035460992908,0.9361702127659575,10.0,6.5,13.0
reference_validation,BEAR,TRANSITION,11,,,,,,16.0,2.5,31.5,1.0,0.8797909407665505,1.0,33.0,7.0,41.0
POOLED_OOS,BULL,ALL,66,37.0,29.0,0.5675675675675675,0.7586206896551724,-0.19105312208760483,20.0,9.0,35.5,1.0,0.8162715517241379,1.0,18.0,6.25,30.0
POOLED_OOS,BULL,RESUME,23,,,,,,19.0,7.5,33.5,1.0,0.9417077175697866,1.0,21.0,10.5,39.0
POOLED_OOS,BULL,TRANSITION,43,,,,,,22.0,13.5,34.0,0.9777777777777777,0.7927350427350428,1.0,12.0,6.0,29.0
POOLED_OOS,BEAR,ALL,33,19.0,14.0,0.6842105263157895,0.7857142857142857,-0.10150375939849621,13.0,6.0,28.0,1.0,0.8125,1.0,21.0,10.0,37.0
POOLED_OOS,BEAR,RESUME,9,,,,,,9.0,7.0,29.0,1.0,0.8723404255319149,1.0,20.0,10.0,40.0
POOLED_OOS,BEAR,TRANSITION,24,,,,,,14.5,5.5,27.25,1.0,0.8120777027027027,1.0,21.5,7.0,36.25
POOLED_MAJOR,BULL,ALL,95,52.0,43.0,0.6730769230769231,0.7441860465116279,-0.07110912343470477,22.0,9.0,37.0,1.0,0.8556910569105691,1.0,18.0,7.5,30.0
POOLED_MAJOR,BULL,RESUME,28,,,,,,19.5,8.0,37.0,1.0,0.9274425287356322,1.0,20.5,11.25,35.75
POOLED_MAJOR,BULL,TRANSITION,67,,,,,,23.0,11.5,37.0,1.0,0.8200431034482758,1.0,13.0,6.5,29.5
POOLED_MAJOR,BEAR,ALL,56,30.0,26.0,0.7,0.6923076923076923,0.007692307692307665,13.0,4.0,29.0,1.0,0.8120777027027027,1.0,19.0,8.75,37.0
POOLED_MAJOR,BEAR,RESUME,17,,,,,,7.0,2.0,28.0,1.0,0.8723404255319149,1.0,20.0,10.0,42.0
POOLED_MAJOR,BEAR,TRANSITION,39,,,,,,16.0,6.0,29.5,1.0,0.8116554054054055,1.0,19.0,7.0,35.0
