i,date,period,parent_pnl,win,f5_body,f5_upper,f5_lower,f5_upper_minus_lower,f5_upper_delta_prev3median,f5_body_delta_prev3median,f5_upper_share_delta_prev3median,h4_ret,entry_dist_ema7,entry_dist_ema20,ema7_slope15,ema20_slope15,m15_ret,m15_body,m15_upper,m15_lower,m15_close_pos,m15_range_open,h1_ret,h1_body,h1_upper,h1_lower,h1_close_pos,h1_range_open,leaf
0,2023-12-08,discovery,4.048006696831725,1,0.7689440993789001,0.23105590062109993,0.0,0.23105590062109993,-0.11150465301215118,0.3966170553537611,0.1102204408817603,-0.005027337008987831,-0.0013853744007563673,-0.003100233635149219,-0.000714855781026702,-0.0007462220280886056,-0.0023356497310883517,0.6948453608247322,0.30515463917526775,0.0,0.0,0.003361395013584194,-0.0048118027437416,0.6500622665006376,0.11425902864258226,0.23567870485678014,0.23567870485678014,0.007402064373993152,2
1,2023-12-15,discovery,-4.25,0,0.7165991902834091,0.0,0.2834008097165908,-0.2834008097165908,-0.1033834586466222,0.011043634727880502,-0.1809210526316136,-0.0020717764256600324,0.0009837764495590484,0.001359534864600942,0.00034785631319822485,0.0001800205115494169,0.0010027646314605398,0.47084708470849534,0.0,0.5291529152915047,1.0,0.0021297033878450275,0.0033064061619387797,0.8761667703796233,0.007467330429353524,0.1163658991910232,0.9925326695706465,0.003773717828292248,5
2,2023-12-22,discovery,0.6279978905855694,1,0.410596026490121,0.059602649006559226,0.5298013245033197,-0.47019867549676053,-0.22268517387165235,-0.02944087387891703,-0.4029950206394556,-0.009769686952257328,-0.002702128270083981,-0.006145152243601237,-0.0025274433222466364,-0.001801341306744919,-0.0034547918099500086,0.6579634464752064,0.1331592689294959,0.2088772845952976,0.2088772845952976,0.005250735171471529,-0.006659606208647917,0.6798418972332073,0.20855614973261427,0.11160195303417847,0.11160195303417847,0.009795816109232086,2
3,2023-12-29,discovery,5.7548623994139465,1,0.2569832402235318,0.17504655493472418,0.567970204841744,-0.3929236499070198,-0.015180321155990578,-0.3329272561149478,-0.06973315642053818,-0.009913847564941847,-0.0016272486901581784,-0.004127973816567376,-0.00125941402566343,-0.0011468718068476935,-0.0014536495807777605,0.34184239733629046,0.4889012208657046,0.16925638179800495,0.16925638179800495,0.0042523969879247284,-0.005999544278938895,0.7320149039839506,0.0922900544568557,0.17569504155919363,0.17569504155919363,0.008195931867352318,2
4,2024-01-05,discovery,-4.25,0,0.24504950495052225,0.5024752475248064,0.2524752475246713,0.2500000000001351,0.3197712280363745,-0.23850713329558093,-0.20423755026279078,0.0069036910937554374,-0.00028443992714610733,0.00014833720495133207,-0.0005052573725229381,9.955940958095155e-06,-0.0002581034195278109,0.13139534883724313,0.21976744186048203,0.6488372093022748,0.6488372093022748,0.0019643269096797917,-0.0017834418146407405,0.365420560747684,0.37383177570093457,0.26074766355138146,0.26074766355138146,0.004880518520883601,6
5,2024-01-12,discovery,-4.25,0,0.8113553113553197,0.1868131868132051,0.0018315018314752284,0.18498168498172987,0.10989010989010224,0.12368153934423454,0.7935699506610832,0.00011522415446107992,0.0011720121224161328,-0.0002652393806439335,-0.00028675739009587087,-0.0006431559711261858,0.0009748073232398458,0.1450777202072384,0.0660621761658072,0.7888601036269545,0.9339378238341928,0.006719207620904458,-0.0022642982627366637,0.23955943093162174,0.09866911427260146,0.6617714547957768,0.6617714547957768,0.009451927039278264,5
6,2024-01-19,discovery,0.6464958008230166,1,0.47435897435894,0.15705128205132504,0.368589743589735,-0.21153846153840997,-0.354442970822228,0.11275183150166446,-0.4851178172798538,0.0056565440026503655,-0.0014334064442786953,-0.0016423081303945652,-0.0013252046870477763,-0.0003916058922340815,-0.001313615393733869,0.5318315377081654,0.24289911851122417,0.22526934378061045,0.22526934378061045,0.0024699840092122067,-0.004355732636158849,0.565612276855612,0.3623551518947802,0.07203257124960787,0.07203257124960787,0.007700916006232193,2
7,2024-01-26,discovery,9.25,1,0.17045454545455954,0.5454545454545079,0.2840909090909326,0.2613636363635753,0.5414059624586149,-0.6187611408199634,0.15753424657530835,-0.0025238971368370944,0.0001423741422319491,-0.0007563261436634994,0.0002669323414101754,-0.00023856437273717113,0.0003905819671310429,0.28467153284671143,0.45985401459852365,0.25547445255476486,0.5401459854014763,0.0013720443460755434,-0.0009251619033331382,0.26889534883721217,0.18531976744186243,0.5457848837209255,0.5457848837209255,0.003440602105368403,6
8,2024-02-02,discovery,-4.25,0,0.8279301745635484,0.17206982543645152,0.0,0.17206982543645152,-0.033682386953006654,0.06686822766097333,0.30379746835455856,0.0013482728160305602,-0.001338776023924737,-0.0013466758587240557,-0.0008182451001998992,-0.00016924957423392062,-0.0028172796236836106,0.9290076335877641,0.07099236641223595,0.0,0.0,0.003032568863620054,-0.001701066526996975,0.44701583434837244,0.5529841656516276,0.0,0.0,0.0038053831571237856,3
9,2024-02-09,discovery,9.25,1,0.7619047619047844,0.0,0.2380952380952156,-0.2380952380952156,-0.0013227513227320996,0.23374323161780108,-0.19999999999708962,0.0030100007601012724,-0.0011389835639686874,-0.0007692322033027166,-0.0009670636986718328,-0.00010037714529076425,-0.002384681016513568,0.908641975308654,0.0008230452674777351,0.09053497942386832,0.09053497942386832,0.002624445140456416,0.00010610608009486988,0.018962848297219146,0.9260835913312754,0.05495356037150546,0.0739164086687246,0.005595471652353205,2
10,2024-02-16,discovery,6.08866806729172,1,0.04999999999997202,0.45384615384612587,0.4961538461539021,-0.04230769230777626,0.39134615384620336,-0.39886363636378414,0.23615975981423454,-0.010005773296781872,-0.0014068331836590842,-0.003102495590341703,-0.0012462829316677304,-0.0008700923679914041,-0.0018041634541249296,0.6591549295774546,0.14084507042253522,0.20000000000001025,0.20000000000001025,0.0027370855821125676,-0.0027633405802822697,0.5772325020112664,0.3085277554304004,0.11423974255833315,0.11423974255833315,0.004787222775318237,3
11,2024-02-23,discovery,0.5796750097639976,1,0.03837209302320505,0.5813953488372093,0.3802325581395856,0.20116279069762372,0.5053818353237014,-0.5900062853552007,0.4000494668571737,-0.0034715567047005624,-0.0016848029808677056,-0.00384966402652287,-0.0023728248688874576,-0.00136980858254232,-0.0026191077416360953,0.719354838709654,0.0005376344085943269,0.2801075268817517,0.2801075268817517,0.0036409121072072444,-0.007335063356244453,0.8766006984866124,0.0020954598370062382,0.12130384167638142,0.12130384167638142,0.008367622075715777,3
12,2024-03-01,discovery,9.25,1,0.7257318952234226,0.12788906009244302,0.14637904468413435,-0.018489984591691322,-0.15823978494526378,0.5957447652363126,-0.27853035037567003,0.004942517087968223,-0.0009943432441616995,-0.0013735160030002858,-8.830809760962399e-05,-0.00011532514508449943,0.00014639668948279727,0.04707112970711369,0.8336820083681831,0.11924686192470323,0.1663179916318169,0.003110116336569195,-0.0022717757822210416,0.34179687499999517,0.5346679687499925,0.12353515625001245,0.12353515625001245,0.006646566859984062,2
13,2024-03-08,discovery,3.1752100403366352,1,0.06474820143878364,0.4976019184652625,0.4376498800959538,0.059952038369308736,0.1661359987640667,-0.4512153105338675,-0.12752318603443924,0.00131657244867589,-0.00125775055475974,-0.0005862217004954928,-0.0011430884871614921,-2.4193035883190994e-05,-0.0020312696918252104,0.6555023923444976,0.16985645933014354,0.17464114832535885,0.17464114832535885,0.0030987982889888873,-0.004812668184640878,0.7276995305164272,0.19069975408004103,0.08160071540353177,0.08160071540353177,0.006613537569861355,2
14,2024-03-15,discovery,-4.25,0,0.8039332538736972,0.1954707985697398,0.0005959475565629745,0.19487485101317684,-0.1971098465915881,0.48715906032531947,0.4223618083242948,0.003243195734333293,-0.0011575414599915845,0.0008395644453040862,0.00042039507910285323,0.0008823904412162964,-0.0038790413953496694,0.6301984877126973,0.3695652173912931,0.00023629489600961612,0.00023629489600961612,0.006155269285758915,-0.003216491724447046,0.2989314216150401,0.27336669822806037,0.4277018801568996,0.4277018801568996,0.010759965302641351,6
15,2024-03-22,discovery,-4.25,0,0.7499999999998471,0.15126050420190676,0.0987394957982461,0.052521008403660654,0.05459383753527243,0.1844444444441945,0.3825356229453892,0.0031143115947516176,-0.00057897085121561,-0.0012280137033161553,-0.0009738348886619841,-0.00047429660194153733,-0.0014430232014609468,0.5914709517923975,0.005562422744092479,0.40296662546351,0.40296662546351,0.0024397194774959685,-0.003961688635939931,0.8010948905109684,0.0,0.19890510948903162,0.19890510948903162,0.0049453425341571995,3
16,2024-03-29,discovery,3.8466250379353424,1,0.264842840512219,0.5104772991850733,0.22467986030270762,0.28579743888236575,0.41242614205958805,-0.08795521301576154,0.5548637326054338,-0.009023757406900312,-0.002353090020496773,-0.0050500109094226975,-0.002479134727280785,-0.0015488525979554524,-0.0028947278270697874,0.7161016949151837,0.09427966101698639,0.1896186440678299,0.1896186440678299,0.004042341817683699,-0.008999858135905758,0.8210172123721815,0.10948621716061155,0.06949657046720698,0.06949657046720698,0.010961838558660968,3
17,2024-04-05,discovery,-4.25,0,0.377337733773213,0.024202420242149948,0.598459845984637,-0.5742574257424871,-0.1424642464244564,0.2069499546897934,-0.4519732328917652,-0.013966163613732041,-0.0001523602226810583,-0.0009192762885217309,-0.0005352928175778038,-0.0004125843569211529,0.00015688758929521818,0.06704980842911629,0.32375478927209295,0.6091954022987908,0.676245210727907,0.0023398663317740075,-0.0033738312191055053,0.6798679867986914,0.0024002400240111113,0.3177317731772975,0.3177317731772975,0.004962479899946443,5
18,2024-04-12,discovery,-4.25,0,0.7681254082299018,0.032658393207056075,0.19921619856304207,-0.166557805355986,0.004676066255740286,0.36165687676134967,0.08309431054428244,-0.0029337939558777837,0.0006890208188341518,-0.00022164234175015007,-0.00032649185698829797,-0.0004384828552517206,0.0011010911969242532,0.4306246545052332,0.02763957987838674,0.54173576561638,0.9723604201216133,0.0025569627409961298,-0.0014493427907180667,0.25738607911868905,0.26114171256886437,0.4814722083124466,0.4814722083124466,0.005631006912575505,6
19,2024-04-19,discovery,1.973207712397091,1,0.019136626613275327,0.556742323097464,0.42412105028926067,0.1326212728082033,0.253958597187381,-0.12090619993917474,0.2155127222507346,0.04473169886539363,0.0008342091042241595,0.0084593505193169,0.0013686504161609658,0.0030410650000907147,0.001804252570516418,0.4321309036816529,0.4812197843064364,0.08664931201191069,0.5187802156935636,0.004175245406298447,-0.001181189518220216,0.07416407465008037,0.5764968895800903,0.34933903576982933,0.34933903576982933,0.01592670742260736,6
