arm_ext,arm,partition,exec_min,execution_utc,execution_start,entry_bar_start,entry_px,exit_ts,exit_px_0,exit_reason,pnl_0,pnl_5,H,L,armed,arm_bar,scheduled_updates,activations,ratchet_updates,buffer_f20_exit,gap_exit,touch_exit,early_floor_violation
0.1,E10,external,300,05:00,2020-03-09 05:00:00+00:00,2020-03-09 06:35:00+00:00,204.595,2020-03-09 08:50:00+00:00,207.32,LIVE_FLOOR_GAP_OPEN,6.259498032698718,5.753091737813532,207.4,196.18,True,2020-03-09 08:40:00+00:00,1,1,0,0,1,0,0
0.1,E10,external,300,05:00,2020-03-24 05:00:00+00:00,2020-03-24 07:25:00+00:00,135.9425,2020-03-24 08:45:00+00:00,140.417,LIVE_FLOOR_TOUCH,16.057325707560203,15.541126481465728,137.12,132.41,True,2020-03-24 08:15:00+00:00,4,3,3,0,0,1,0
0.1,E10,external,300,05:00,2020-04-24 05:00:00+00:00,2020-04-24 08:15:00+00:00,188.33749999999998,2020-04-24 11:00:00+00:00,188.21,TIME_EXIT_EXEC_END,-0.7384880865466844,-1.237899892557059,189.45,185.0,False,,0,0,0,0,0,0,0
0.1,E10,external,300,05:00,2020-05-06 05:00:00+00:00,2020-05-06 08:40:00+00:00,207.2875,2020-05-06 10:40:00+00:00,208.11,LIVE_FLOOR_GAP_OPEN,1.5839594765724834,1.0822263836423711,209.07,201.94,True,2020-05-06 10:30:00+00:00,1,1,0,0,1,0,0
0.1,E10,external,300,05:00,2020-05-12 05:00:00+00:00,2020-05-12 05:45:00+00:00,188.35500000000002,2020-05-12 09:20:00+00:00,190.12800000000001,LIVE_FLOOR_TOUCH,4.3065381858724106,3.802083874842111,189.34,185.4,True,2020-05-12 08:50:00+00:00,3,3,2,0,0,1,0
0.1,E10,external,300,05:00,2020-05-19 05:00:00+00:00,2020-05-19 10:10:00+00:00,213.57999999999998,2020-05-19 11:00:00+00:00,213.9,TIME_EXIT_EXEC_END,0.349133814027636,-0.1513650703442334,215.0,209.32,False,,0,0,0,0,0,0,0
0.1,E10,external,300,05:00,2020-06-10 05:00:00+00:00,2020-06-10 06:00:00+00:00,244.485,2020-06-10 07:25:00+00:00,243.39,CLOSE_INVALIDATION_F20,-2.6394011902571175,-3.1369130331453827,244.91,243.21,False,,0,0,0,0,0,0,0
0.1,E10,external,300,05:00,2020-06-19 05:00:00+00:00,2020-06-19 09:25:00+00:00,230.04749999999999,2020-06-19 11:00:00+00:00,230.33,TIME_EXIT_EXEC_END,0.21400362968522246,-0.2863601920334743,231.39,226.02,False,,0,0,0,0,0,0,0
0.1,E10,external,300,05:00,2020-07-01 05:00:00+00:00,2020-07-01 06:00:00+00:00,225.5025,2020-07-01 07:40:00+00:00,225.88,LIVE_FLOOR_GAP_OPEN,0.43701954523784925,-0.06356718094417924,226.0,224.01,True,2020-07-01 07:30:00+00:00,1,1,0,0,1,0,0
0.1,E10,external,300,05:00,2020-07-03 05:00:00+00:00,2020-07-03 08:20:00+00:00,227.43,2020-07-03 09:45:00+00:00,225.72,CLOSE_INVALIDATION_F20,-4.159398496240629,-4.655391101441686,228.13,225.33,False,,0,0,0,0,0,0,0
