candidate,anatomy_rank,ref_min,hour,clock_distance_from_18,dominant_visit,same_dom_blocks,dominant_opportunity_n,dominant_break_conversion,dominant_median_extension_R,clock_support_ref_min,clock_support_hour,ref_support_ref_min,ref_support_hour
Z1_R180_H13,1,180,13,5,2,5,207,0.6956521739130435,0.2965599876314142,180,12,240,13
Z2_R420_H03,2,420,3,9,2,5,163,0.7177914110429447,0.2092894152479646,420,4,480,3
Z3_R600_H08,3,600,8,10,2,4,167,0.7425149700598802,0.1971182424045355,600,7,480,8
