portfolio,partition,zone,component,n,net_raw,net_stress
baseline,development,03UTC_PARENT,PARENT,609,281.47198507952567,129.22198507952564
baseline,development,15UTC_PARENT,PARENT,601,338.9106208822296,188.66062088222955
baseline,development,18UTC_MATURE,PARENT,617,314.0598611635085,159.8098611635085
baseline,development,18UTC_MATURE,REC_H2,216,134.75855159128514,80.75855159128511
baseline,external,03UTC_PARENT,PARENT,252,527.6569563085436,464.65695630854356
baseline,external,15UTC_PARENT,PARENT,281,419.8222923954282,349.5722923954282
baseline,external,18UTC_MATURE,PARENT,273,347.53278192051215,279.2827819205121
baseline,external,18UTC_MATURE,REC_H2,125,112.86976391259368,81.61976391259365
baseline,reference_validation,03UTC_PARENT,PARENT,320,171.5039111132873,91.50391111328726
baseline,reference_validation,15UTC_PARENT,PARENT,337,263.3294796724264,179.07947967242637
baseline,reference_validation,18UTC_MATURE,PARENT,317,81.95776005765381,2.707760057653783
baseline,reference_validation,18UTC_MATURE,REC_H2,139,45.95832258482058,11.208322584820571
baseline,pooled,03UTC_PARENT,PARENT,1181,980.6328525013565,685.3828525013564
baseline,pooled,15UTC_PARENT,PARENT,1219,1022.0623929500841,717.3123929500841
baseline,pooled,18UTC_MATURE,PARENT,1207,743.5504031416746,441.8004031416744
baseline,pooled,18UTC_MATURE,REC_H2,480,293.5866380886994,173.58663808869935
overlay,development,03UTC_PARENT,PARENT,609,281.47198507952567,129.22198507952564
overlay,development,15UTC_A42_RECOVERY,A42_G_MAE145,12,27.556855004853997,24.556855004853997
overlay,development,15UTC_PARENT,PARENT,601,338.9106208822296,188.66062088222955
overlay,development,18UTC_MATURE,PARENT,617,314.0598611635085,159.8098611635085
overlay,development,18UTC_MATURE,REC_H2,216,134.75855159128514,80.75855159128511
overlay,external,03UTC_PARENT,PARENT,252,527.6569563085436,464.65695630854356
overlay,external,15UTC_A42_RECOVERY,A42_G_MAE145,9,42.741847000333124,40.491847000333124
overlay,external,15UTC_PARENT,PARENT,281,419.8222923954282,349.5722923954282
overlay,external,18UTC_MATURE,PARENT,273,347.53278192051215,279.2827819205121
overlay,external,18UTC_MATURE,REC_H2,125,112.86976391259368,81.61976391259365
overlay,reference_validation,03UTC_PARENT,PARENT,320,171.5039111132873,91.50391111328726
overlay,reference_validation,15UTC_A42_RECOVERY,A42_G_MAE145,7,12.370323919642045,10.620323919642045
overlay,reference_validation,15UTC_PARENT,PARENT,337,263.3294796724264,179.07947967242637
overlay,reference_validation,18UTC_MATURE,PARENT,317,81.95776005765381,2.707760057653783
overlay,reference_validation,18UTC_MATURE,REC_H2,139,45.95832258482058,11.208322584820571
overlay,pooled,03UTC_PARENT,PARENT,1181,980.6328525013565,685.3828525013564
overlay,pooled,15UTC_A42_RECOVERY,A42_G_MAE145,28,82.66902592482917,75.66902592482916
overlay,pooled,15UTC_PARENT,PARENT,1219,1022.0623929500841,717.3123929500841
overlay,pooled,18UTC_MATURE,PARENT,1207,743.5504031416746,441.8004031416744
overlay,pooled,18UTC_MATURE,REC_H2,480,293.5866380886994,173.58663808869935
