entry_fraction,development_fills,development_rebreak_rate,development_eligible,selected,oos_supported
0.05,297,0.6767676767676768,False,False,False
0.1,260,0.6307692307692307,False,False,False
0.15,217,0.5622119815668203,False,False,False
0.25,162,0.46296296296296297,False,False,False
0.5,84,0.30952380952380953,False,False,False
