partition,k,entry_fraction,ttl,exit_reason,n
august,2,F60,T90,RANGE_BROKE_BEFORE_FILL,2
august,2,F65,FULL,RANGE_BROKE_BEFORE_FILL,2
august,2,F65,T15,RANGE_BROKE_BEFORE_FILL,1
august,2,F65,T15,TTL_EXPIRED,1
august,2,F65,T30,RANGE_BROKE_BEFORE_FILL,1
august,2,F65,T30,TTL_EXPIRED,1
august,2,F65,T45,RANGE_BROKE_BEFORE_FILL,1
august,2,F65,T45,TTL_EXPIRED,1
august,2,F65,T60,RANGE_BROKE_BEFORE_FILL,1
august,2,F65,T60,TTL_EXPIRED,1
august,2,F65,T90,RANGE_BROKE_BEFORE_FILL,2
august,2,F70,FULL,RANGE_BROKE_BEFORE_FILL,2
august,2,F70,T15,RANGE_BROKE_BEFORE_FILL,1
august,2,F70,T15,TTL_EXPIRED,1
august,2,F70,T30,RANGE_BROKE_BEFORE_FILL,1
august,2,F70,T30,TTL_EXPIRED,1
august,2,F70,T45,RANGE_BROKE_BEFORE_FILL,1
august,2,F70,T45,TTL_EXPIRED,1
august,2,F70,T60,RANGE_BROKE_BEFORE_FILL,1
august,2,F70,T60,TTL_EXPIRED,1
august,2,F70,T90,RANGE_BROKE_BEFORE_FILL,2
august,2,F75,FULL,RANGE_BROKE_BEFORE_FILL,2
august,2,F75,T15,RANGE_BROKE_BEFORE_FILL,1
august,2,F75,T15,TTL_EXPIRED,1
august,2,F75,T30,RANGE_BROKE_BEFORE_FILL,1
august,2,F75,T30,TTL_EXPIRED,1
august,2,F75,T45,RANGE_BROKE_BEFORE_FILL,1
august,2,F75,T45,TTL_EXPIRED,1
august,2,F75,T60,RANGE_BROKE_BEFORE_FILL,1
august,2,F75,T60,TTL_EXPIRED,1
august,2,F75,T90,RANGE_BROKE_BEFORE_FILL,2
august,2,F80,FULL,RANGE_BROKE_BEFORE_FILL,2
august,2,F80,T15,RANGE_BROKE_BEFORE_FILL,1
august,2,F80,T15,TTL_EXPIRED,1
august,2,F80,T30,RANGE_BROKE_BEFORE_FILL,1
august,2,F80,T30,TTL_EXPIRED,1
august,2,F80,T45,RANGE_BROKE_BEFORE_FILL,1
august,2,F80,T45,TTL_EXPIRED,1
august,2,F80,T60,RANGE_BROKE_BEFORE_FILL,1
august,2,F80,T60,TTL_EXPIRED,1
august,2,F80,T90,RANGE_BROKE_BEFORE_FILL,2
development,1,F50,FULL,NO_FILL,5
development,1,F50,FULL,RANGE_BROKE_BEFORE_FILL,97
development,1,F50,FULL,SL_RANGE_EDGE,31
development,1,F50,FULL,SL_SAME_5M_CONSERVATIVE,1
