partition,date_utc,signal_ts,window_status,H,L,range,F15,F65,E20_DOWN,eligible_start,h2_bar_start,opposite_break_bar_start,session_end,blind_filled,blind_touch_bar_start,blind_entry_px,h2_after_fill,minutes_fill_to_h2,max_pre_h2_frac,adverse_excursion_r,rule,entry_executed,confirmation_kind,confirmation_bar_start,entry_start,entry_px,entry_fraction,entry_on_h2_bar_open,entry_status,fixed_exit_reason,fixed_exit_px,fixed_net_pnl_usd,fixed_hold_minutes,fixed_h2_seen,fixed_breakdown_accepted,fixed_e20_reached,hybrid_exit_reason,hybrid_exit_px,hybrid_net_pnl_usd,hybrid_hold_minutes,hybrid_e20_reached,hybrid_ceiling_ratchets,hybrid_final_ceiling,session_trough_after_e20,trough_extension_r,realized_exit_extension_r,capture_ratio,giveback_r,entry_executed_b,b27ai_exit_reason,b27ai_exit_px,b27ai_net_pnl_usd,b27ai_hold_minutes,breakdown_accepted,acceptance_bar_start,e20_diag_reached,preaccept_f65_invalid,b27ai_trough_px_in_trade,b27ai_trough_extension_r,b27ai_realized_exit_extension_r,b27ai_capture_ratio,b27ai_giveback_r
august,2026-08-14,2026-08-14 14:05:00+00:00,H2_ARRIVAL,62974.4,62555.5,418.9000000000015,62618.335,62827.785,62471.72,2026-08-14 14:10:00+00:00,2026-08-14 14:15:00+00:00,,2026-08-14 20:00:00+00:00,True,2026-08-14 14:10:00+00:00,62618.335,True,5.0,0.3134399618047325,0.1634399618047325,BLIND_F15,True,,,2026-08-14 14:10:00+00:00,62618.335,0.15,False,EXECUTED,CLOSE_INVALIDATION_F65,62871.3,-2.41989561044702,85.0,True,False,False,PRE_E20_CLOSE_INVALIDATION_F65,62871.3,-2.41989561044702,85.0,False,0,,,,,,,True,PRE_ACCEPT_CLOSE_INVALIDATION_F65,62871.3,-2.41989561044702,85.0,False,,False,True,,,,,
august,2026-08-14,2026-08-14 14:05:00+00:00,H2_ARRIVAL,62974.4,62555.5,418.9000000000015,62618.335,62827.785,62471.72,2026-08-14 14:10:00+00:00,2026-08-14 14:15:00+00:00,,2026-08-14 20:00:00+00:00,True,2026-08-14 14:10:00+00:00,62618.335,True,5.0,0.3134399618047325,0.1634399618047325,EARLY_REJECT,True,SAME_BAR,2026-08-14 14:10:00+00:00,2026-08-14 14:15:00+00:00,62580.2,0.058963953210783,True,EXECUTED,CLOSE_INVALIDATION_F65,62871.3,-2.725815513533058,80.0,True,False,False,PRE_E20_CLOSE_INVALIDATION_F65,62871.3,-2.725815513533058,80.0,False,0,,,,,,,True,PRE_ACCEPT_CLOSE_INVALIDATION_F65,62871.3,-2.725815513533058,80.0,False,,False,True,,,,,
august,2026-08-14,2026-08-14 14:05:00+00:00,H2_ARRIVAL,62974.4,62555.5,418.9000000000015,62618.335,62827.785,62471.72,2026-08-14 14:10:00+00:00,2026-08-14 14:15:00+00:00,,2026-08-14 20:00:00+00:00,True,2026-08-14 14:10:00+00:00,62618.335,True,5.0,0.3134399618047325,0.1634399618047325,SAME_BAR_REJECTION,True,SAME_BAR,2026-08-14 14:10:00+00:00,2026-08-14 14:15:00+00:00,62580.2,0.058963953210783,True,EXECUTED,CLOSE_INVALIDATION_F65,62871.3,-2.725815513533058,80.0,True,False,False,PRE_E20_CLOSE_INVALIDATION_F65,62871.3,-2.725815513533058,80.0,False,0,,,,,,,True,PRE_ACCEPT_CLOSE_INVALIDATION_F65,62871.3,-2.725815513533058,80.0,False,,False,True,,,,,
august,2026-08-18,2026-08-18 13:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,64380.0,64025.5,354.5,64078.675,64255.925,63954.6,2026-08-18 13:45:00+00:00,,2026-08-18 14:15:00+00:00,2026-08-18 20:00:00+00:00,False,,,False,,,,BLIND_F15,False,,,,,,False,NO_BLIND_F15_FILL,NO_TRADE,,,,False,False,False,NO_TRADE,,,,False,0,,,,,,,False,NO_TRADE,,,,False,,False,False,,,,,
august,2026-08-18,2026-08-18 13:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,64380.0,64025.5,354.5,64078.675,64255.925,63954.6,2026-08-18 13:45:00+00:00,,2026-08-18 14:15:00+00:00,2026-08-18 20:00:00+00:00,False,,,False,,,,EARLY_REJECT,False,,,,,,False,NO_BLIND_F15_OPPORTUNITY,NO_TRADE,,,,False,False,False,NO_TRADE,,,,False,0,,,,,,,False,NO_TRADE,,,,False,,False,False,,,,,
august,2026-08-18,2026-08-18 13:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,64380.0,64025.5,354.5,64078.675,64255.925,63954.6,2026-08-18 13:45:00+00:00,,2026-08-18 14:15:00+00:00,2026-08-18 20:00:00+00:00,False,,,False,,,,SAME_BAR_REJECTION,False,,,,,,False,NO_BLIND_F15_OPPORTUNITY,NO_TRADE,,,,False,False,False,NO_TRADE,,,,False,0,,,,,,,False,NO_TRADE,,,,False,,False,False,,,,,
development,2022-01-03,2022-01-03 15:10:00+00:00,H2_ARRIVAL,47575.22,46777.0,798.2200000000012,46896.733,47295.843,46617.356,2022-01-03 15:15:00+00:00,2022-01-03 15:50:00+00:00,,2022-01-03 20:00:00+00:00,True,2022-01-03 15:15:00+00:00,46896.733,True,35.0,0.3044273508556533,0.1544273508556533,BLIND_F15,True,,,2022-01-03 15:15:00+00:00,46896.733,0.15,False,EXECUTED,TP_E20_DOWN,46617.356,2.578640324476312,40.0,True,True,True,OPEN_GAP_AT_OR_ABOVE_PROFIT_CEILING,46689.99,1.804236700240947,45.0,True,0,46617.356,46260.4,0.6471899977449799,0.1090050362055597,0.1684281842818472,0.5381849615394201,True,TIME_EXIT_SESSION_END,46364.56,5.27388137676883,285.0,True,2022-01-03 15:50:00+00:00,True,False,46260.4,0.6471899977449799,0.5166996567362403,0.7983739837398441,0.13049034100873957
development,2022-01-03,2022-01-03 15:10:00+00:00,H2_ARRIVAL,47575.22,46777.0,798.2200000000012,46896.733,47295.843,46617.356,2022-01-03 15:15:00+00:00,2022-01-03 15:50:00+00:00,,2022-01-03 20:00:00+00:00,True,2022-01-03 15:15:00+00:00,46896.733,True,35.0,0.3044273508556533,0.1544273508556533,EARLY_REJECT,True,LATER_REJECT,2022-01-03 15:20:00+00:00,2022-01-03 15:25:00+00:00,46865.35,0.1106837713913437,False,EXECUTED,TP_E20_DOWN,46617.356,2.245814018245873,30.0,True,True,True,OPEN_GAP_AT_OR_ABOVE_PROFIT_CEILING,46689.99,1.4708918209295323,35.0,True,0,46617.356,46260.4,0.6471899977449799,0.1090050362055597,0.1684281842818472,0.5381849615394201,True,TIME_EXIT_SESSION_END,46364.56,4.942859916761533,275.0,True,2022-01-03 15:50:00+00:00,True,False,46260.4,0.6471899977449799,0.5166996567362403,0.7983739837398441,0.13049034100873957
development,2022-01-03,2022-01-03 15:10:00+00:00,H2_ARRIVAL,47575.22,46777.0,798.2200000000012,46896.733,47295.843,46617.356,2022-01-03 15:15:00+00:00,2022-01-03 15:50:00+00:00,,2022-01-03 20:00:00+00:00,True,2022-01-03 15:15:00+00:00,46896.733,True,35.0,0.3044273508556533,0.1544273508556533,SAME_BAR_REJECTION,False,,,,,,False,NO_CONFIRMATION_PRE_H2,NO_TRADE,,,,False,False,False,NO_TRADE,,,,False,0,,,,,,,False,NO_TRADE,,,,False,,False,False,,,,,
development,2022-01-07,2022-01-07 13:40:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,42960.0,41601.96,1358.0400000000009,41805.666,42484.686,41330.352,,,,2022-01-07 20:00:00+00:00,False,,,False,,,,BLIND_F15,False,,,,,,False,NO_BLIND_F15_FILL,NO_TRADE,,,,False,False,False,NO_TRADE,,,,False,0,,,,,,,False,NO_TRADE,,,,False,,False,False,,,,,
development,2022-01-07,2022-01-07 13:40:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,42960.0,41601.96,1358.0400000000009,41805.666,42484.686,41330.352,,,,2022-01-07 20:00:00+00:00,False,,,False,,,,EARLY_REJECT,False,,,,,,False,NO_BLIND_F15_OPPORTUNITY,NO_TRADE,,,,False,False,False,NO_TRADE,,,,False,0,,,,,,,False,NO_TRADE,,,,False,,False,False,,,,,
development,2022-01-07,2022-01-07 13:40:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,42960.0,41601.96,1358.0400000000009,41805.666,42484.686,41330.352,,,,2022-01-07 20:00:00+00:00,False,,,False,,,,SAME_BAR_REJECTION,False,,,,,,False,NO_BLIND_F15_OPPORTUNITY,NO_TRADE,,,,False,False,False,NO_TRADE,,,,False,0,,,,,,,False,NO_TRADE,,,,False,,False,False,,,,,
development,2022-01-10,2022-01-10 13:55:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,42098.52,40726.16,1372.3599999999933,40932.014,41618.194,40451.688,,,,2022-01-10 20:00:00+00:00,False,,,False,,,,BLIND_F15,False,,,,,,False,NO_BLIND_F15_FILL,NO_TRADE,,,,False,False,False,NO_TRADE,,,,False,0,,,,,,,False,NO_TRADE,,,,False,,False,False,,,,,
development,2022-01-10,2022-01-10 13:55:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,42098.52,40726.16,1372.3599999999933,40932.014,41618.194,40451.688,,,,2022-01-10 20:00:00+00:00,False,,,False,,,,EARLY_REJECT,False,,,,,,False,NO_BLIND_F15_OPPORTUNITY,NO_TRADE,,,,False,False,False,NO_TRADE,,,,False,0,,,,,,,False,NO_TRADE,,,,False,,False,False,,,,,
development,2022-01-10,2022-01-10 13:55:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,42098.52,40726.16,1372.3599999999933,40932.014,41618.194,40451.688,,,,2022-01-10 20:00:00+00:00,False,,,False,,,,SAME_BAR_REJECTION,False,,,,,,False,NO_BLIND_F15_OPPORTUNITY,NO_TRADE,,,,False,False,False,NO_TRADE,,,,False,0,,,,,,,False,NO_TRADE,,,,False,,False,False,,,,,
development,2022-01-17,2022-01-17 15:15:00+00:00,H2_ARRIVAL,42887.63,42420.0,467.6299999999974,42490.1445,42723.9595,42326.474,2022-01-17 15:20:00+00:00,2022-01-17 15:55:00+00:00,,2022-01-17 20:00:00+00:00,True,2022-01-17 15:30:00+00:00,42490.1445,True,25.0,0.4478968415200014,0.2978968415200014,BLIND_F15,True,,,2022-01-17 15:30:00+00:00,42490.1445,0.15,False,EXECUTED,TP_E20_DOWN,42326.474,1.5259819179951457,35.0,True,False,True,OPEN_GAP_AT_OR_ABOVE_PROFIT_CEILING,42368.89,1.0268544085558888,40.0,True,0,42326.474,41826.0,1.2702350148621844,0.1092958107905841,0.086043771043772,1.1609392040716002,True,BREAKDOWN_RECLAIM_L,42431.5,0.29009532316371966,55.0,True,2022-01-17 16:05:00+00:00,True,False,42105.67,0.6721767209118396,-0.024592092038577644,0.0,0.6967688129504171
development,2022-01-17,2022-01-17 15:15:00+00:00,H2_ARRIVAL,42887.63,42420.0,467.6299999999974,42490.1445,42723.9595,42326.474,2022-01-17 15:20:00+00:00,2022-01-17 15:55:00+00:00,,2022-01-17 20:00:00+00:00,True,2022-01-17 15:30:00+00:00,42490.1445,True,25.0,0.4478968415200014,0.2978968415200014,EARLY_REJECT,True,LATER_REJECT,2022-01-17 15:50:00+00:00,2022-01-17 15:55:00+00:00,42468.34,0.1033723242734571,True,EXECUTED,TP_E20_DOWN,42326.474,1.270256007180793,10.0,True,False,True,OPEN_GAP_AT_OR_ABOVE_PROFIT_CEILING,42368.89,0.7708722309372033,15.0,True,0,42326.474,41826.0,1.2702350148621844,0.1092958107905841,0.086043771043772,1.1609392040716002,True,BREAKDOWN_RECLAIM_L,42431.5,0.03373487167142064,30.0,True,2022-01-17 16:05:00+00:00,True,False,42105.67,0.6721767209118396,-0.024592092038577644,0.0,0.6967688129504171
development,2022-01-17,2022-01-17 15:15:00+00:00,H2_ARRIVAL,42887.63,42420.0,467.6299999999974,42490.1445,42723.9595,42326.474,2022-01-17 15:20:00+00:00,2022-01-17 15:55:00+00:00,,2022-01-17 20:00:00+00:00,True,2022-01-17 15:30:00+00:00,42490.1445,True,25.0,0.4478968415200014,0.2978968415200014,SAME_BAR_REJECTION,False,,,,,,False,NO_CONFIRMATION_PRE_H2,NO_TRADE,,,,False,False,False,NO_TRADE,,,,False,0,,,,,,,False,NO_TRADE,,,,False,,False,False,,,,,
development,2022-01-18,2022-01-18 14:30:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,42040.0,41379.39,660.6100000000006,41478.4815,41808.7865,41247.268,,,,2022-01-18 20:00:00+00:00,False,,,False,,,,BLIND_F15,False,,,,,,False,NO_BLIND_F15_FILL,NO_TRADE,,,,False,False,False,NO_TRADE,,,,False,0,,,,,,,False,NO_TRADE,,,,False,,False,False,,,,,
development,2022-01-18,2022-01-18 14:30:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,42040.0,41379.39,660.6100000000006,41478.4815,41808.7865,41247.268,,,,2022-01-18 20:00:00+00:00,False,,,False,,,,EARLY_REJECT,False,,,,,,False,NO_BLIND_F15_OPPORTUNITY,NO_TRADE,,,,False,False,False,NO_TRADE,,,,False,0,,,,,,,False,NO_TRADE,,,,False,,False,False,,,,,
development,2022-01-18,2022-01-18 14:30:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,42040.0,41379.39,660.6100000000006,41478.4815,41808.7865,41247.268,,,,2022-01-18 20:00:00+00:00,False,,,False,,,,SAME_BAR_REJECTION,False,,,,,,False,NO_BLIND_F15_OPPORTUNITY,NO_TRADE,,,,False,False,False,NO_TRADE,,,,False,0,,,,,,,False,NO_TRADE,,,,False,,False,False,,,,,
development,2022-02-08,2022-02-08 15:10:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,44910.0,43123.38,1786.6200000000026,43391.373,44284.683,42766.056,,,,2022-02-08 20:00:00+00:00,False,,,False,,,,BLIND_F15,False,,,,,,False,NO_BLIND_F15_FILL,NO_TRADE,,,,False,False,False,NO_TRADE,,,,False,0,,,,,,,False,NO_TRADE,,,,False,,False,False,,,,,
development,2022-02-08,2022-02-08 15:10:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,44910.0,43123.38,1786.6200000000026,43391.373,44284.683,42766.056,,,,2022-02-08 20:00:00+00:00,False,,,False,,,,EARLY_REJECT,False,,,,,,False,NO_BLIND_F15_OPPORTUNITY,NO_TRADE,,,,False,False,False,NO_TRADE,,,,False,0,,,,,,,False,NO_TRADE,,,,False,,False,False,,,,,
development,2022-02-08,2022-02-08 15:10:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,44910.0,43123.38,1786.6200000000026,43391.373,44284.683,42766.056,,,,2022-02-08 20:00:00+00:00,False,,,False,,,,SAME_BAR_REJECTION,False,,,,,,False,NO_BLIND_F15_OPPORTUNITY,NO_TRADE,,,,False,False,False,NO_TRADE,,,,False,0,,,,,,,False,NO_TRADE,,,,False,,False,False,,,,,
development,2022-02-23,2022-02-23 17:55:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,39250.0,38052.8,1197.199999999997,38232.380000000005,38830.98,37813.36,,,,2022-02-23 20:00:00+00:00,False,,,False,,,,BLIND_F15,False,,,,,,False,NO_BLIND_F15_FILL,NO_TRADE,,,,False,False,False,NO_TRADE,,,,False,0,,,,,,,False,NO_TRADE,,,,False,,False,False,,,,,
development,2022-02-23,2022-02-23 17:55:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,39250.0,38052.8,1197.199999999997,38232.380000000005,38830.98,37813.36,,,,2022-02-23 20:00:00+00:00,False,,,False,,,,EARLY_REJECT,False,,,,,,False,NO_BLIND_F15_OPPORTUNITY,NO_TRADE,,,,False,False,False,NO_TRADE,,,,False,0,,,,,,,False,NO_TRADE,,,,False,,False,False,,,,,
development,2022-02-23,2022-02-23 17:55:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,39250.0,38052.8,1197.199999999997,38232.380000000005,38830.98,37813.36,,,,2022-02-23 20:00:00+00:00,False,,,False,,,,SAME_BAR_REJECTION,False,,,,,,False,NO_BLIND_F15_OPPORTUNITY,NO_TRADE,,,,False,False,False,NO_TRADE,,,,False,0,,,,,,,False,NO_TRADE,,,,False,,False,False,,,,,
development,2022-03-02,2022-03-02 13:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,44344.5,43500.0,844.5,43626.675,44048.925,43331.1,,,,2022-03-02 20:00:00+00:00,False,,,False,,,,BLIND_F15,False,,,,,,False,NO_BLIND_F15_FILL,NO_TRADE,,,,False,False,False,NO_TRADE,,,,False,0,,,,,,,False,NO_TRADE,,,,False,,False,False,,,,,
development,2022-03-02,2022-03-02 13:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,44344.5,43500.0,844.5,43626.675,44048.925,43331.1,,,,2022-03-02 20:00:00+00:00,False,,,False,,,,EARLY_REJECT,False,,,,,,False,NO_BLIND_F15_OPPORTUNITY,NO_TRADE,,,,False,False,False,NO_TRADE,,,,False,0,,,,,,,False,NO_TRADE,,,,False,,False,False,,,,,
development,2022-03-02,2022-03-02 13:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,44344.5,43500.0,844.5,43626.675,44048.925,43331.1,,,,2022-03-02 20:00:00+00:00,False,,,False,,,,SAME_BAR_REJECTION,False,,,,,,False,NO_BLIND_F15_OPPORTUNITY,NO_TRADE,,,,False,False,False,NO_TRADE,,,,False,0,,,,,,,False,NO_TRADE,,,,False,,False,False,,,,,
development,2022-03-14,2022-03-14 13:35:00+00:00,H2_ARRIVAL,39287.4,38630.0,657.4000000000015,38728.61,39057.31,38498.52,2022-03-14 13:45:00+00:00,2022-03-14 17:30:00+00:00,,2022-03-14 20:00:00+00:00,True,2022-03-14 14:50:00+00:00,38728.61,True,160.0,0.7655917249771855,0.6155917249771855,BLIND_F15,True,,,2022-03-14 14:50:00+00:00,38728.61,0.15,False,EXECUTED,CLOSE_INVALIDATION_F65,39101.0,-5.207686100792186,10.0,False,False,False,PRE_E20_CLOSE_INVALIDATION_F65,39101.0,-5.207686100792186,10.0,False,0,,,,,,,True,PRE_ACCEPT_CLOSE_INVALIDATION_F65,39101.0,-5.207686100792186,10.0,False,,False,True,,,,,
