split_type,split_value,trades,win_rate,net_pnl,expectancy,pf,max_dd,max_loss_streak,max_win_streak,median_mfe_pct,median_mae_pct,median_giveback_pct,mfe_ge_1_net_loss_rate,mfe_ge_2_net_loss_rate
partition,external,102,0.696078431372549,430.2806508302573,4.218437753237817,1.5338001192017396,307.7823975244167,7,23,0.03177591904456223,-0.01678773753798002,0.023427958332299714,0.18627450980392157,0.10784313725490197
partition,development,201,0.6218905472636815,580.7516170739053,2.889311527730872,1.8611712322349703,118.36611857949222,7,13,0.019077113657478995,-0.010734130324970614,0.012293670886075914,0.16417910447761194,0.07462686567164178
partition,reference_validation,84,0.5119047619047619,-86.72477982652138,-1.0324378550776356,0.763046102553493,206.1662940026348,9,7,0.01237413970325607,-0.010355019734375526,0.011111807399483031,0.17857142857142858,0.023809523809523808
year,2020,22,0.9545454545454546,212.66783584657102,9.666719811207773,100.92737130371611,2.1282240598543822,1,18,0.0273639044026478,-0.010842024417509588,0.009480415036152712,0.045454545454545456,0.0
year,2021,80,0.625,217.61281498368623,2.720160187296078,1.2706820622703292,307.78239752441664,7,10,0.040138062481768544,-0.02022017863106451,0.030363083334871088,0.225,0.1375
year,2022,58,0.5344827586206896,99.099196616632,1.708606838217793,1.3371242435155715,118.36611857949222,6,6,0.021129639460657268,-0.012233939628140955,0.02050117839680976,0.27586206896551724,0.15517241379310345
year,2023,76,0.6447368421052632,285.9731093036329,3.7628040697846434,2.661096306323515,61.3057712348955,7,12,0.020940268416508867,-0.009887249848503865,0.013362053575249444,0.14473684210526316,0.05263157894736842
year,2024,67,0.6716417910447762,195.67931115364047,2.920586733636425,1.9395897788164789,71.06882380925339,6,13,0.014842945417095743,-0.011578500106224854,0.008317540534849344,0.08955223880597014,0.029850746268656716
year,2025,43,0.5581395348837209,28.83105124398943,0.6704895638137077,1.1842022867249504,77.27236786119065,8,7,0.01579555669705912,-0.007546687132258922,0.01250405133856236,0.23255813953488372,0.046511627906976744
year,2026,41,0.4634146341463415,-115.55583107051082,-2.8184349041588006,0.448368495481478,157.43270835093276,9,6,0.010243467933491734,-0.012236084452974971,0.009152154569721738,0.12195121951219512,0.0
