rule,partition,trades,baseline_wr,baseline_pf,baseline_exp,baseline_total,hybrid_wr,hybrid_pf,hybrid_exp,hybrid_total,delta_exp,delta_total,e20_reach_rate,pre_e20_stop_count,floor_stop_count,floor_open_exit_count,time_exit_count,structural_floor_exit_count,e20_floor_exit_count,activation_close_below_e20_rate,exit_at_or_above_e20_rate_given_reach,median_peak_ext_r_given_reach,median_exit_ext_r_given_reach,median_capture_ratio_given_reach,median_giveback_r_given_reach,median_floor_updates_given_reach,median_hold_minutes,baseline_winner_preservation_rate
BLIND_F85,august,3,1.0,inf,1.9257548932942294,5.7772646798826885,1.0,inf,1.7774468238104546,5.332340471431364,-0.14830806948377484,-0.44492420845132497,0.6666666666666666,0,1,1,1,0,2,0.5,0.5,1.1432774864942847,0.15301403798513238,0.1494951459457663,0.9902634485091525,0.0,70.0,1.0
BLIND_F85,development,72,0.6388888888888888,0.9816566946168945,-0.036945607708331045,-2.6600837549998353,0.5555555555555556,1.180333669038205,0.3684783629823422,26.530442134728638,0.40542397069067326,29.190525889728473,0.6111111111111112,23,15,29,5,5,39,0.6590909090909091,0.3409090909090909,0.9591701933466207,0.168330795913543,0.17958611983666686,0.7050189393939456,0.0,60.0,0.8695652173913043
BLIND_F85,external,46,0.7608695652173914,3.4021051962950364,1.9374804745957968,89.12410183140665,0.717391304347826,2.8177379336648696,1.490162036424661,68.54745367553441,-0.4473184381711357,-20.576648155872235,0.6956521739130435,2,10,21,13,2,29,0.6875,0.3125,0.46503775465784014,0.15183549572015684,0.3475818953370233,0.3020884128003978,0.0,107.5,0.9428571428571428
BLIND_F85,reference_validation,31,0.6774193548387096,1.0812435271331384,0.10366753273126564,3.213693514669235,0.6774193548387096,1.3372305711365882,0.4303094967060566,13.339594397887755,0.32664196397479095,10.12590088321852,0.6774193548387096,9,17,3,2,1,19,0.14285714285714285,0.8571428571428571,0.7298070050035805,0.2,0.35667333523865385,0.3692742695570183,0.0,50.0,1.0
EARLY_RECLAIM,august,3,1.0,inf,1.4372739379019694,4.311821813705908,1.0,inf,1.2890204113439998,3.8670612340319996,-0.14825352655796964,-0.4447605796739085,0.6666666666666666,0,1,1,1,0,2,0.5,0.5,1.1432774864942847,0.15301403798513238,0.1494951459457663,0.9902634485091525,0.0,10.0,1.0
EARLY_RECLAIM,development,54,0.6666666666666666,1.0750174472319254,0.13783716210616578,7.443206753732952,0.5925925925925926,1.4157414763125356,0.7786611082088335,42.04769984327701,0.6408239461026677,34.60449308954406,0.6666666666666666,13,13,23,5,5,31,0.6388888888888888,0.3611111111111111,0.7637645856966451,0.18021021256569175,0.22392620544032552,0.5331985519781303,0.0,55.0,0.8888888888888888
EARLY_RECLAIM,external,43,0.7674418604651163,2.894985684744858,1.6198646988588175,69.65418205092915,0.7209302325581395,2.384941477859527,1.2030390296657623,51.730678275627774,-0.4168256691930552,-17.923503775301377,0.6976744186046512,2,10,19,12,2,27,0.6666666666666666,0.3333333333333333,0.4560155094418948,0.15349574015731,0.36697042430377513,0.29821196850775955,0.0,100.0,0.9393939393939394
EARLY_RECLAIM,reference_validation,21,0.7142857142857143,0.9784184386759252,-0.027926352234141333,-0.586453396916968,0.7142857142857143,1.3500966109414663,0.4530219628838455,9.513461220560755,0.48094831511798686,10.099914617477722,0.7142857142857143,5,10,4,2,1,13,0.26666666666666666,0.7333333333333333,0.5483633688856114,0.19999999999999754,0.49307794884228506,0.28763724002499724,0.0,50.0,1.0
SAME_BAR_REJECTION,august,1,1.0,inf,2.6529477668266304,2.6529477668266304,1.0,inf,2.6529477668266304,2.6529477668266304,0.0,0.0,0.0,0,0,0,1,0,0,,,,,,,,280.0,1.0
SAME_BAR_REJECTION,development,30,0.6666666666666666,1.169454844550486,0.305477199960904,9.16431599882712,0.6333333333333333,2.011174112035086,1.830771740459179,54.92315221377537,1.525294540498275,45.758836214948246,0.6666666666666666,7,9,11,3,5,15,0.55,0.45,0.9167311462336643,0.1887791654564807,0.27648038959215165,0.4909836081909953,0.0,95.0,0.95
SAME_BAR_REJECTION,external,27,0.7407407407407407,2.1760904251256123,1.34187409616372,36.230600596420445,0.6666666666666666,1.616638674445776,0.717153328490122,19.363139869233294,-0.6247207676735981,-16.86746072718715,0.6666666666666666,2,5,13,7,0,18,0.7222222222222222,0.2777777777777778,0.46503775465784014,0.1497420532829689,0.3166446777400039,0.30932765616089286,0.0,100.0,0.9
