exec_min,execution_utc,reference_start_min,reference_start_utc,development_positive_probes,development_pass,development_median_pf,development_median_expectancy,development_total_n,external_positive_probes,external_n_probes,external_pass,reference_validation_positive_probes,reference_validation_n_probes,reference_validation_pass,supported
0,00:00,1110,18:30,0,False,0.4735314033671573,-1.397101015466401,174,0,3,False,0,3,False,False
30,00:30,1140,19:00,0,False,0.4074541282487667,-1.9814329939230306,152,0,3,False,0,3,False,False
60,01:00,1170,19:30,0,False,0.5929916996724165,-0.9265346237107466,154,0,3,False,0,3,False,False
90,01:30,1200,20:00,0,False,0.8788027877078004,-0.2431166305038242,180,1,3,False,0,3,False,False
120,02:00,1230,20:30,0,False,0.8601116460093545,-0.25138602160489226,177,0,3,False,1,3,False,False
150,02:30,1260,21:00,1,False,1.0330649516316124,0.058366246897870525,197,3,3,True,3,3,True,False
180,03:00,1290,21:30,0,False,0.8390173837424578,-0.286979249094192,217,3,3,True,3,3,True,False
210,03:30,1320,22:00,0,False,0.6977198796728327,-0.5783991913123658,211,3,3,True,2,3,True,False
240,04:00,1350,22:30,1,False,1.077247449267917,0.10959393046499903,228,3,3,True,1,3,False,False
270,04:30,1380,23:00,1,False,1.0180634372144661,0.027948968362789373,215,3,3,True,3,3,True,False
300,05:00,1410,23:30,0,False,0.9731149817040262,-0.047031350267800164,212,2,3,True,3,3,True,False
330,05:30,0,00:00,0,False,0.9149049271485217,-0.18057089164992796,205,1,3,False,3,3,True,False
360,06:00,30,00:30,0,False,0.6989744379190236,-0.665149594187981,232,1,3,False,1,3,False,False
390,06:30,60,01:00,1,False,0.8590388539458086,-0.2695775684524674,256,3,3,True,3,3,True,False
420,07:00,90,01:30,1,False,1.070258933334459,0.11806904408543922,239,0,3,False,1,3,False,False
450,07:30,120,02:00,0,False,0.6339444879517301,-0.7651465921265211,285,3,3,True,3,3,True,False
480,08:00,150,02:30,0,False,0.740225249599049,-0.4775249471786585,306,2,3,True,1,3,False,False
510,08:30,180,03:00,0,False,0.8714076997637011,-0.22118287173754608,303,0,3,False,2,3,True,False
540,09:00,210,03:30,2,True,1.1590608646871636,0.2552600154791873,299,0,3,False,3,3,True,False
570,09:30,240,04:00,3,True,1.49530417870577,0.6316756696848388,284,3,3,True,3,3,True,True
600,10:00,270,04:30,2,True,1.1775927944260696,0.26743003074902955,323,3,3,True,1,3,False,False
630,10:30,300,05:00,0,False,0.7848947612191415,-0.457147257058508,302,3,3,True,3,3,True,False
660,11:00,330,05:30,0,False,0.7533461665365285,-0.518714446463024,259,1,3,False,1,3,False,False
690,11:30,360,06:00,0,False,0.6255443660173875,-0.8762537066411161,206,3,3,True,0,3,False,False
720,12:00,390,06:30,0,False,0.5296950730227024,-1.3266577533158688,224,0,3,False,0,3,False,False
750,12:30,420,07:00,0,False,0.5560335585203031,-1.1566251586232192,181,1,3,False,0,3,False,False
780,13:00,450,07:30,0,False,0.5699520504978615,-1.185700428794169,197,3,3,True,0,3,False,False
810,13:30,480,08:00,0,False,0.7081171695788854,-0.7567374568695031,204,2,3,True,3,3,True,False
840,14:00,510,08:30,0,False,0.7961367801041157,-0.5240059613975718,236,0,3,False,0,3,False,False
870,14:30,540,09:00,0,False,0.5687148071182948,-1.2163937408741021,195,1,3,False,3,3,True,False
900,15:00,570,09:30,0,False,0.9244693422367081,-0.17868423066090408,171,2,3,True,1,3,False,False
930,15:30,600,10:00,3,True,2.0059811330999917,1.04585353415752,147,2,3,True,1,3,False,False
960,16:00,630,10:30,2,True,1.3028584188748753,0.5776078565905937,175,2,3,True,3,3,True,True
990,16:30,660,11:00,3,True,1.2967964830242038,0.6249539899403036,156,2,3,True,0,3,False,False
1020,17:00,690,11:30,1,False,0.9402874861448227,-0.13433581660355465,133,2,3,True,0,3,False,False
1050,17:30,720,12:00,1,False,1.0868331650140215,0.1659647795127436,143,0,3,False,0,3,False,False
1080,18:00,750,12:30,1,False,0.9471046798928208,-0.10343961655014086,150,1,3,False,0,3,False,False
1110,18:30,780,13:00,1,False,0.7814920642595887,-0.47894936763119833,149,0,3,False,0,3,False,False
1140,19:00,810,13:30,1,False,0.823410268397333,-0.4004048690090399,171,0,3,False,0,3,False,False
1170,19:30,840,14:00,0,False,0.6564669435687976,-0.8097012815980197,146,0,3,False,0,3,False,False
1200,20:00,870,14:30,0,False,0.4731070442896673,-1.4870397657533092,158,0,3,False,0,3,False,False
1230,20:30,900,15:00,0,False,0.6184581368070973,-0.9755053903873315,145,0,3,False,2,3,True,False
1260,21:00,930,15:30,0,False,0.7905031543611092,-0.41867041784983144,144,0,3,False,0,3,False,False
1290,21:30,960,16:00,0,False,0.7721354841925951,-0.4409156918917737,159,0,3,False,0,3,False,False
1320,22:00,990,16:30,0,False,0.5496081389468827,-0.9704283790015298,158,0,3,False,0,3,False,False
1350,22:30,1020,17:00,0,False,0.5700314423614209,-0.9492302779158035,170,0,3,False,0,3,False,False
1380,23:00,1050,17:30,0,False,0.8342989927981684,-0.3047803859043742,190,0,3,False,0,3,False,False
1410,23:30,1080,18:00,0,False,0.4141792015040331,-1.5276441474251594,215,0,3,False,0,3,False,False
