partition,regime,k1_n,target_break_rate,f75_fills,h2_n,h2_rate,e10_reach_n,e10_reach_given_h2,fixed_n,fixed_wr,fixed_pf,fixed_exp,fixed_net,hybrid_wr,hybrid_pf,hybrid_exp,hybrid_net
external,BULL,69,0.8405797101449275,30,21,0.7,19,0.9047619047619048,28,0.6785714285714286,0.7579691080279057,-0.7795692386873718,-21.827938683246412,0.6785714285714286,0.929269333531805,-0.22781989258139235,-6.378956992278986
external,BEAR,23,0.8260869565217391,6,5,0.8333333333333334,5,1.0,6,0.8333333333333334,6.767810337750052,2.470190045202938,14.821140271217628,0.8333333333333334,6.635897282291857,2.413695414252184,14.482172485513102
external,SIDEWAYS,28,0.9285714285714286,6,5,0.8333333333333334,5,1.0,6,0.8333333333333334,15.830807617839094,4.504285996429836,27.025715978579015,0.8333333333333334,13.909062701787745,3.92063007308899,23.52378043853394
development,BULL,83,0.7590361445783133,38,26,0.6842105263157895,25,0.9615384615384616,33,0.696969696969697,0.8222896088486024,-0.4966145753619501,-16.388280986944352,0.6363636363636364,0.9009957133153921,-0.277784739266379,-9.166896395790506
development,BEAR,74,0.8243243243243243,24,20,0.8333333333333334,19,0.95,18,0.8333333333333334,3.411090865224599,1.5415347080554147,27.747624744997463,0.7777777777777778,2.9272588163603697,1.2459015483389966,22.42622787010194
development,SIDEWAYS,16,0.8125,3,2,0.6666666666666666,2,1.0,3,0.6666666666666666,0.4141430635216244,-1.1200099987496233,-3.3600299962488696,0.6666666666666666,0.4237585392686223,-1.1016276458084635,-3.3048829374253903
reference_validation,BULL,44,0.8409090909090909,17,12,0.7058823529411765,12,1.0,14,0.7142857142857143,0.7997018992327931,-0.4914843499843736,-6.8807808997812305,0.6428571428571429,0.6974947953566285,-0.7528899926045531,-10.540459896463744
reference_validation,BEAR,31,0.8064516129032258,8,6,0.75,6,1.0,8,0.75,1.7311240528816287,1.604351735688803,12.834813885510425,0.75,1.6786710684908213,1.4892508356188747,11.914006684950998
reference_validation,SIDEWAYS,10,0.7,6,4,0.6666666666666666,4,1.0,6,0.6666666666666666,0.8080039183254611,-0.7009063775950466,-4.2054382655702796,0.6666666666666666,0.6581659661036467,-1.2479090841194413,-7.4874545047166485
august,BULL,2,1.0,1,1,1.0,1,1.0,1,1.0,inf,4.662845825768991,4.662845825768991,1.0,inf,4.662845825768991,4.662845825768991
august,BEAR,1,0.0,1,0,0.0,0,,1,0.0,0.0,-6.132871459925404,-6.132871459925404,0.0,0.0,-6.132871459925404,-6.132871459925404
august,SIDEWAYS,0,,0,0,,0,,0,,,,0.0,,,,0.0
POOLED_MAJOR,BULL,196,0.8061224489795918,85,59,0.6941176470588235,56,0.9491525423728814,75,0.6933333333333334,0.7919480055905747,-0.6012933409329598,-45.09700056997199,0.6533333333333333,0.8801298238605821,-0.3478175104604429,-26.08631328453322
POOLED_MAJOR,BEAR,128,0.8203125,38,31,0.8157894736842105,30,0.967741935483871,32,0.8125,2.751456286684343,1.7313618406789222,55.40357890172551,0.78125,2.5371873122395936,1.525700220017689,48.82240704056605
POOLED_MAJOR,SIDEWAYS,54,0.8518518518518519,15,11,0.7333333333333333,11,1.0,15,0.7333333333333333,1.660536402071235,1.297349847783991,19.460247716759866,0.7333333333333333,1.4321415468298022,0.848762866426127,12.731442996391905
