phase,rows,eligible24,resolved24,resolved_rate,aligned_hit24,median_ret24,median_mfe24,median_mae24,ambiguous_share
EarlyExpansion,5761,5753,5737,0.9972188423431253,0.5030503747603277,-0.0021195396899953423,0.028969184327066078,0.028723376107950727,0.0020858682426560054
HealthyContinuation,2814,2814,2804,0.9964463397299218,0.5139087018544936,-0.0013660537786338023,0.027634861558299084,0.025167265340785283,0.0
MatureTrend,2813,2798,2791,0.9974982130092923,0.5327839484055894,0.0003775952270322902,0.027420253960719898,0.02505496664002882,0.00035739814152966406
Exhaustion,4851,4849,4818,0.9936069292637657,0.5126608551266085,-0.0006527770222488627,0.028406891211769203,0.02473532242540899,0.0
Transition,1305,1305,1301,0.9969348659003832,0.5065334358186011,0.0008457619077086864,0.026874007029030977,0.026254426116244955,0.0
