milestone,partition,n,activation_rate,wr,pf,expectancy,total_pnl,partial_gross_total,runner_gross_total,ceiling_hits,gap_exits,runner_time_exits,pre_invalidations,whole_time_exits,median_ratchets,median_capture,median_giveback_r
E05,external,50,0.66,0.66,1.1462475373593999,0.18245377747428151,9.122688873714075,43.52936310250963,41.1717359545862,8,25,0,6,11,0.0,0.026624992764947664,0.47805825242718236
E05,development,79,0.6835443037974683,0.6329113924050633,0.5299346360825323,-0.6932648504516441,-54.767923185679884,43.96722838216762,38.78151522739005,23,31,0,20,5,0.0,0.019227217317420803,0.5896241427704614
E05,reference_validation,34,0.6764705882352942,0.6470588235294118,0.47039487187382284,-0.7585889178594041,-25.79202320721974,16.992241246229167,14.868546595739762,11,11,1,10,1,0.0,0.029134412385639817,0.5913805341140935
E05,august,1,1.0,1.0,inf,0.08354447623047612,0.08354447623047612,0.33448669626874794,0.14905777996172817,0,1,0,0,0,0.0,0.0,0.2310814036763012
E05,POOLED_MAJOR,163,0.6748466257668712,0.6441717791411042,0.6861145016608419,-0.4382653835532856,-71.43725751918555,104.48883273090641,94.821797777716,42,67,1,36,17,0.0,0.02625742982151676,0.5401179992041137
E10,external,50,0.6,0.6,1.1972726493904735,0.2635222705932921,13.176113529664605,47.27658041726173,42.62476802610618,9,21,0,6,14,0.0,0.07756019942223093,0.5013766047431591
E10,development,79,0.6455696202531646,0.620253164556962,0.5890040152630655,-0.6409276022052743,-50.63328057421667,51.332507679542395,41.13865743573791,20,31,0,21,7,0.0,0.06623735050598602,0.5655743407778422
E10,reference_validation,34,0.5882352941176471,0.6176470588235294,0.4687598974822808,-0.8463371129070827,-28.775461838840812,18.748366687982845,14.455083844213622,11,9,0,11,3,0.0,0.09193228619434671,0.6863105608110001
E10,august,1,1.0,1.0,inf,0.16716615029766302,0.16716615029766302,0.4181083703359349,0.14905777996172817,0,1,0,0,0,0.0,0.0,0.2310814036763012
E10,POOLED_MAJOR,163,0.6196319018404908,0.6134969325153374,0.7287265725351089,-0.4063351465238827,-66.23262888339288,117.35745478478698,98.21850930605771,40,61,0,38,24,0.0,0.0748504878816457,0.5655743407778422
E15,external,50,0.6,0.62,1.4309623642607823,0.5752201527085699,28.761007635428495,56.731896500713965,48.75434604841784,10,20,0,6,14,0.0,0.10317768681040189,0.45284401608029434
E15,development,79,0.620253164556962,0.5949367088607594,0.68383741607197,-0.517713285749624,-40.8993495742203,58.97137753959868,48.75491716428225,17,32,0,22,8,0.0,0.160605594835538,0.5578515271689882
E15,reference_validation,34,0.5294117647058824,0.5588235294117647,0.4437554116496446,-1.0333159182282157,-35.13274121975933,19.627009849211625,15.41317561514762,10,8,0,12,4,0.0,0.13440882642827073,0.7164803479777189
E15,august,1,1.0,1.0,inf,0.25078782436485014,0.25078782436485014,0.501730044403122,0.14905777996172817,0,1,0,0,0,0.0,0.0,0.2310814036763012
E15,POOLED_MAJOR,163,0.5950920245398773,0.5950920245398773,0.8176685436633749,-0.29000664514448543,-47.27108315855112,135.33028388952425,112.9224388278477,37,60,0,40,26,0.0,0.1390625000000065,0.55815810487091
E20,external,50,0.56,0.58,1.5741447934916668,0.8627491010922306,43.13745505461153,62.60372342290822,64.85567084473522,8,20,0,7,15,0.0,0.2832502465620357,0.4097811432121736
E20,development,79,0.5949367088607594,0.569620253164557,0.8352078238741057,-0.2786885933646278,-22.016398875805596,64.83609141675163,65.36835404057311,14,33,0,22,10,0.0,0.16842818428184725,0.5856187290969856
E20,reference_validation,34,0.5,0.5294117647058824,0.48572855869539205,-1.0142077459723136,-34.48306336305866,21.83107264659916,17.350453868214224,8,9,0,13,4,0.0,0.21802816901408026,0.6645773843517889
E20,august,1,0.0,0.0,0.0,-2.419895610447034,-2.419895610447034,0.0,0.0,0,0,0,1,0,,,
E20,POOLED_MAJOR,163,0.5644171779141104,0.5644171779141104,0.9515494807017363,-0.08197550419786952,-13.36200718425273,149.270887486259,147.57447875352256,30,62,0,42,29,0.0,0.21316520468343553,0.5279071844456305
