partition,regime,clock_block,obs_start,obs_end,reclaim_complete_ts,H,L,R4,minutes_break_to_retest,eligible,outcome,persistent_like,reclaim_close,reclaim_close_ext_r4,reclaim_body_ratio,reclaim_close_pos,time_left_min,final_close_loc_r4,net_from_reclaim_r4,close_span_r4,directionality_efficiency,nb_class,RECLAIM_C05,RECLAIM_C10,RECLAIM_STRONG_BODY,QUICK_RECLAIM,SLOW_RECLAIM,TIME_LEFT_120,HOLD_5M_ABOVE_L,HIGHER_CLOSE_5M,HOLD_10M_ABOVE_L,EXT10_CLOSE_BEFORE_REBREAK,EXT25_CLOSE_BEFORE_REBREAK
development,BEAR,00-04,2022-01-03 00:00:00+00:00,2022-01-03 04:00:00+00:00,2022-01-03 03:55:00+00:00,47469.46,46815.75,653.7099999999991,5.0,True,REBREAK_LOW,False,46851.49,0.05467256122745256,0.9718934911242513,0.9791974852070998,5.0,,,,,,True,False,True,True,False,False,False,False,False,False,False
development,BEAR,16-20,2022-01-17 16:00:00+00:00,2022-01-17 20:00:00+00:00,2022-01-17 16:25:00+00:00,42768.95,42345.78,423.16999999999825,5.0,True,REBREAK_LOW,False,42431.5,0.20256634449512376,0.6327742978379429,0.8718124873711837,215.0,,,,,,True,True,True,True,False,True,False,False,False,False,False
development,BEAR,12-16,2022-01-18 12:00:00+00:00,2022-01-18 16:00:00+00:00,2022-01-18 14:40:00+00:00,42040.0,41379.39,660.6100000000006,0.0,True,REBREAK_LOW,False,41401.41,0.033332828749192495,0.4611239860950432,0.7100231749710542,80.0,,,,,,False,False,False,True,False,False,True,True,True,True,True
development,BEAR,20-00,2022-01-21 20:00:00+00:00,2022-01-22 00:00:00+00:00,2022-01-21 20:20:00+00:00,39045.0,37805.0,1240.0,0.0,True,REBREAK_LOW,False,37955.01,0.12097580645161454,0.6047405017095129,0.6975913334101717,220.0,,,,,,True,True,False,True,False,True,True,False,False,True,False
development,BULL,08-12,2022-01-29 08:00:00+00:00,2022-01-29 12:00:00+00:00,2022-01-29 09:25:00+00:00,37939.0,37575.06,363.9400000000023,0.0,True,NO_BOUNDARY,True,37634.85,0.1642853217563348,0.6859198138156913,0.6860256003385099,155.0,0.4080617684233695,0.24377644666703466,0.3986096609331175,0.6115668298063096,INTERNAL_UP,True,True,False,True,False,True,True,True,True,True,True
development,BULL,08-12,2022-02-05 08:00:00+00:00,2022-02-05 12:00:00+00:00,2022-02-05 08:45:00+00:00,41752.46,41352.85,399.6100000000006,0.0,True,REBREAK_LOW,False,41400.35,0.11886589424689055,0.6263622210690135,0.6925791385573112,195.0,,,,,,True,True,False,True,False,True,True,True,True,True,True
development,BULL,08-12,2022-02-08 08:00:00+00:00,2022-02-08 12:00:00+00:00,2022-02-08 08:40:00+00:00,45600.0,44063.38,1536.6200000000026,0.0,True,REBREAK_LOW,False,44121.22,0.0376410563444467,0.3043764637002366,0.42996194379391284,200.0,,,,,,False,False,False,True,False,True,True,False,True,True,False
development,BULL,16-20,2022-02-08 16:00:00+00:00,2022-02-08 20:00:00+00:00,2022-02-08 17:40:00+00:00,43978.64,42822.0,1156.6399999999994,0.0,True,REBREAK_LOW,False,42863.83,0.03616509890718094,0.374418042203274,0.6736501602273491,140.0,,,,,,False,False,False,True,False,True,True,True,True,True,True
development,BEAR,20-00,2022-02-11 20:00:00+00:00,2022-02-12 00:00:00+00:00,2022-02-11 23:15:00+00:00,43746.52,42046.11,1700.4099999999962,0.0,True,NO_BOUNDARY,True,42156.22,0.06475497085996955,0.4109602748407327,0.8071445248657477,45.0,0.18812521685946337,0.12337024599949382,0.09914667638981431,1.0,INTERNAL_UP,True,False,False,True,False,False,True,True,True,True,False
development,BEAR,16-20,2022-02-13 16:00:00+00:00,2022-02-13 20:00:00+00:00,2022-02-13 17:20:00+00:00,42755.97,42158.01,597.9599999999991,0.0,True,REBREAK_LOW,False,42175.01,0.02842999531741258,0.1654007866540049,0.8305303133053159,160.0,,,,,,False,False,False,True,False,True,True,True,True,True,True
