clock_min,reference_start_utc,execution_start_utc,execution_end_utc,partition,days,k1_opp0,clean_windows,f85_touches,trades,wins,wr,pf,expectancy,total_net,tp_rate,time_exit_rate,dev_eligible,is_london_baseline
90,01:30,07:00,13:30,development,782,179,130,83,44,31,0.7045454545454546,1.761723469934863,0.5103507358375997,22.455432376854386,0.5681818181818182,0.38636363636363635,True,False
660,11:00,16:30,23:00,development,782,127,92,56,26,18,0.6923076923076923,2.1553058968969916,1.1899824103198786,30.939542668316847,0.5384615384615384,0.34615384615384615,False,False
630,10:30,16:00,22:30,development,782,145,102,71,31,21,0.6774193548387096,1.4959934315280523,0.6144662615788504,19.048454108944362,0.5483870967741935,0.3225806451612903,False,False
210,03:30,09:00,15:30,development,782,214,159,109,37,25,0.6756756756756757,1.4886739997084404,0.5064932137200978,18.74024890764362,0.6756756756756757,0.13513513513513514,False,False
570,09:30,15:00,21:30,development,782,156,112,75,37,24,0.6486486486486487,1.405962530237365,0.6331541064349195,23.426701938092023,0.6486486486486487,0.16216216216216217,False,False
1410,23:30,05:00+1d,11:30+1d,development,782,159,112,68,31,20,0.6451612903225806,1.3905724607729473,0.27170734686407855,8.422927752786435,0.5161290322580645,0.3870967741935484,False,False
690,11:30,17:00,23:30,development,782,112,78,48,22,12,0.5454545454545454,1.3043659788935433,0.43842266145926895,9.645298552103917,0.45454545454545453,0.4090909090909091,False,False
330,05:30,11:00,17:30,development,782,221,165,115,46,30,0.6521739130434783,1.3027182834248974,0.34674938486853263,15.9504717039525,0.6521739130434783,0.15217391304347827,False,False
480,08:00,13:30,20:00,development,782,164,119,72,30,20,0.6666666666666666,1.1694548445504862,0.30547719996090394,9.164315998827119,0.6666666666666666,0.1,False,True
510,08:30,14:00,20:30,development,782,166,106,74,26,17,0.6538461538461539,1.1413892061096558,0.28951276962965794,7.527332010371106,0.6538461538461539,0.07692307692307693,False,False
300,05:00,10:30,17:00,development,782,208,146,101,41,26,0.6341463414634146,1.1371980952051421,0.19083770154456758,7.824345763327271,0.6097560975609756,0.0975609756097561,False,False
780,13:00,18:30,01:00+1d,development,781,113,78,44,22,13,0.5909090909090909,1.118078785957881,0.1799114777387537,3.9580525102525814,0.45454545454545453,0.4090909090909091,False,False
240,04:00,09:30,16:00,development,782,206,148,96,34,21,0.6176470588235294,1.0610556870578551,0.08476320249488281,2.8819488848260155,0.6176470588235294,0.08823529411764706,False,False
720,12:00,17:30,00:00+1d,development,782,113,77,43,26,12,0.46153846153846156,1.051295105098183,0.07298551496619411,1.8976233891210468,0.38461538461538464,0.5384615384615384,False,False
600,10:00,15:30,22:00,development,782,154,116,82,37,22,0.5945945945945946,1.0392131939300164,0.060953357940888145,2.2552742438128615,0.5135135135135135,0.2972972972972973,False,False
810,13:30,19:00,01:30+1d,development,781,119,80,52,25,17,0.68,1.033738698570009,0.04972460664357774,1.2431151660894435,0.48,0.36,False,False
1020,17:00,22:30,05:00+1d,development,781,143,106,80,37,22,0.5945945945945946,0.9861582060205776,-0.016449322689106732,-0.6086249394969491,0.5135135135135135,0.32432432432432434,False,False
0,00:00,05:30,12:00,development,782,156,110,72,33,17,0.5151515151515151,0.9554663963098414,-0.050879761025048285,-1.6790321138265933,0.5151515151515151,0.3333333333333333,False,False
750,12:30,18:00,00:30+1d,development,781,112,81,44,23,14,0.6086956521739131,0.9527249018209312,-0.07626002608143166,-1.753980599872928,0.43478260869565216,0.43478260869565216,False,False
390,06:30,12:00,18:30,development,782,202,150,96,32,20,0.625,0.9333371202240566,-0.08848700922569908,-2.8315842952223704,0.625,0.125,False,False
270,04:30,10:00,16:30,development,782,213,139,88,26,15,0.5769230769230769,0.9279245173887409,-0.1178410866852085,-3.063868253815421,0.5769230769230769,0.11538461538461539,False,False
