role,partition,visit,sessions_n,h1_opportunity_n,visit_opportunity_n,first_break_total_n,first_break_n,first_break_share,session_incidence,conditional_conversion,median_extension_R
CENTRAL,development,1,1088,617,617,566,406,0.7173144876325088,0.6580226904376013,0.6580226904376013,0.22378016337516235
CENTRAL,development,2,1088,617,173,566,128,0.22614840989399293,0.20745542949756887,0.7398843930635838,0.20785255019906204
CENTRAL,development,3,1088,617,38,566,22,0.038869257950530034,0.03565640194489465,0.5789473684210527,0.20414687614176014
CENTRAL,development,4,1088,617,13,566,8,0.014134275618374558,0.012965964343598054,0.6153846153846154,0.1050766821904613
CENTRAL,development,5,1088,617,4,566,2,0.0035335689045936395,0.0032414910858995136,0.5,0.3148148148148199
CENTRAL,external,1,473,273,273,257,210,0.8171206225680934,0.7692307692307693,0.7692307692307693,0.19506576635939088
CENTRAL,external,2,473,273,50,257,35,0.13618677042801555,0.1282051282051282,0.7,0.1645714285714294
CENTRAL,external,3,473,273,13,257,7,0.027237354085603113,0.02564102564102564,0.5384615384615384,0.3804347826087004
CENTRAL,external,4,473,273,6,257,5,0.019455252918287938,0.018315018315018316,0.8333333333333334,0.1823655913978532
CENTRAL,external,5,473,273,1,257,0,0.0,0.0,0.0,
CENTRAL,reference_validation,1,574,317,317,297,219,0.7373737373737373,0.6908517350157729,0.6908517350157729,0.19795918367347
CENTRAL,reference_validation,2,574,317,84,297,53,0.17845117845117844,0.167192429022082,0.6309523809523809,0.1365461847389567
CENTRAL,reference_validation,3,574,317,27,297,17,0.05723905723905724,0.05362776025236593,0.6296296296296297,0.213483146067413
CENTRAL,reference_validation,4,574,317,9,297,3,0.010101010101010102,0.00946372239747634,0.3333333333333333,0.5405405405405366
CENTRAL,reference_validation,5,574,317,6,297,5,0.016835016835016835,0.015772870662460567,0.8333333333333334,0.0193756727664162
CLOCK_SUPPORT,development,1,1088,591,591,543,390,0.7182320441988951,0.6598984771573604,0.6598984771573604,0.20844767654591795
CLOCK_SUPPORT,development,2,1088,591,162,543,109,0.2007366482504604,0.1844331641285956,0.6728395061728395,0.1704545454545402
CLOCK_SUPPORT,development,3,1088,591,49,543,35,0.06445672191528545,0.05922165820642978,0.7142857142857143,0.1378977820636459
CLOCK_SUPPORT,development,4,1088,591,12,543,7,0.01289134438305709,0.011844331641285956,0.5833333333333334,0.0958917835671337
CLOCK_SUPPORT,development,5,1088,591,5,543,2,0.003683241252302026,0.00338409475465313,0.4,0.3148148148148199
CLOCK_SUPPORT,external,1,473,284,284,267,215,0.8052434456928839,0.7570422535211268,0.7570422535211268,0.1753472222222219
CLOCK_SUPPORT,external,2,473,284,54,267,40,0.149812734082397,0.14084507042253522,0.7407407407407407,0.16275002334349475
CLOCK_SUPPORT,external,3,473,284,12,267,10,0.03745318352059925,0.035211267605633804,0.8333333333333334,0.3145420900160826
CLOCK_SUPPORT,external,4,473,284,2,267,2,0.00749063670411985,0.007042253521126761,1.0,0.3869225899140456
CLOCK_SUPPORT,external,5,473,284,0,267,0,0.0,0.0,,
CLOCK_SUPPORT,reference_validation,1,574,316,316,299,229,0.7658862876254181,0.7246835443037974,0.7246835443037974,0.2093023255813912
CLOCK_SUPPORT,reference_validation,2,574,316,73,299,52,0.17391304347826086,0.16455696202531644,0.7123287671232876,0.20365770504577957
CLOCK_SUPPORT,reference_validation,3,574,316,20,299,14,0.046822742474916385,0.04430379746835443,0.7,0.01297577854671245
CLOCK_SUPPORT,reference_validation,4,574,316,6,299,2,0.006688963210702341,0.006329113924050633,0.3333333333333333,0.9447968314944704
CLOCK_SUPPORT,reference_validation,5,574,316,4,299,2,0.006688963210702341,0.006329113924050633,0.5,0.1461794019933575
REF_SUPPORT,development,1,1088,689,689,637,463,0.7268445839874411,0.6719883889695211,0.6719883889695211,0.2559808612440171
REF_SUPPORT,development,2,1088,689,187,637,132,0.20722135007849293,0.19158200290275762,0.7058823529411765,0.22658674118240096
REF_SUPPORT,development,3,1088,689,46,637,29,0.04552590266875981,0.0420899854862119,0.6304347826086957,0.2081829121540288
REF_SUPPORT,development,4,1088,689,15,637,10,0.015698587127158554,0.01451378809869376,0.6666666666666666,0.1749718485301445
REF_SUPPORT,development,5,1088,689,4,637,3,0.004709576138147566,0.0043541364296081275,0.75,0.4387755102040827
REF_SUPPORT,external,1,473,300,300,279,226,0.8100358422939068,0.7533333333333333,0.7533333333333333,0.21535047451988265
REF_SUPPORT,external,2,473,300,58,279,35,0.12544802867383512,0.11666666666666667,0.603448275862069,0.2083333333333334
REF_SUPPORT,external,3,473,300,20,279,13,0.04659498207885305,0.043333333333333335,0.65,0.059911894273127
REF_SUPPORT,external,4,473,300,6,279,4,0.014336917562724014,0.013333333333333334,0.6666666666666666,0.1862821512081064
REF_SUPPORT,external,5,473,300,2,279,1,0.0035842293906810036,0.0033333333333333335,0.5,0.3106995884773654
REF_SUPPORT,reference_validation,1,574,349,349,330,235,0.7121212121212122,0.673352435530086,0.673352435530086,0.2147435897435964
REF_SUPPORT,reference_validation,2,574,349,100,330,67,0.20303030303030303,0.19197707736389685,0.67,0.2014134275618462
REF_SUPPORT,reference_validation,3,574,349,30,330,18,0.05454545454545454,0.05157593123209169,0.6,0.10817307692307765
REF_SUPPORT,reference_validation,4,574,349,11,330,5,0.015151515151515152,0.014326647564469915,0.45454545454545453,0.6891385767790307
REF_SUPPORT,reference_validation,5,574,349,6,330,5,0.015151515151515152,0.014326647564469915,0.8333333333333334,0.0193756727664162
