side,atoms,k,disc_n,disc_wr,disc_exp,val_n,val_wr,val_exp,pooled_n,pooled_wr,pooled_exp,val_quartiles,candidate80,validated80
SHORT,LOW_BREAKOUT_POS + NEG_4H + VIX_UP,3,859,0.220023282887078,-0.0017390426619824525,513,0.2709551656920078,-0.0005097677832385219,1372,0.239067055393586,-0.0012794085418690146,4,False,False
SHORT,NEG_FLOW + LOW_BREAKOUT_POS + VIX_UP,3,665,0.19699248120300752,-0.001527210845497836,412,0.2645631067961165,-0.00019257833727019574,1077,0.22284122562674094,-0.0010166550484785345,4,False,False
SHORT,NEG_FLOW + LOW_BREAKOUT_POS + SPX_DOWN,3,572,0.2062937062937063,-0.001548441487259958,365,0.25205479452054796,-0.0006142567708235259,937,0.22411953041622198,-0.0011845381558839734,4,False,False
SHORT,LOW_BREAKOUT_POS + HIGH_VOLUME + VIX_UP,3,565,0.23185840707964603,-0.0014129581536245868,305,0.24918032786885247,-0.0010049433945404675,870,0.23793103448275862,-0.0012699184967042922,4,False,False
SHORT,LOW_BREAKOUT_POS + HIGH_FUNDING + VIX_UP,3,1204,0.2101328903654485,-0.0015265540970650316,639,0.24569640062597808,-0.0002586634912459811,1843,0.2224633749321758,-0.0010869544784441023,4,False,False
SHORT,LOW_BREAKOUT_POS + NEG_4H + SPX_DOWN,3,738,0.22628726287262874,-0.0017864093298616585,444,0.24324324324324326,-0.0009929882788756133,1182,0.2326565143824027,-0.0014883729959887279,4,False,False
SHORT,LOW_BREAKOUT_POS + HIGH_FUNDING + SPX_DOWN,3,1040,0.20865384615384616,-0.0016197514119896238,484,0.23760330578512398,-0.00044115073371742993,1524,0.2178477690288714,-0.0012454451598349376,4,False,False
SHORT,LOW_BREAKOUT_POS + HIGH_VOLUME + DOLLAR_UP,3,506,0.23517786561264822,-0.001018610224223058,238,0.23529411764705882,-0.00041674545875686187,744,0.23521505376344087,-0.0008260782159153231,4,False,False
SHORT,LOW_BREAKOUT_POS + HIGH_VOLUME + SPX_DOWN,3,476,0.25210084033613445,-0.0011937361617955337,261,0.22988505747126436,-0.0015653220646695892,737,0.24423337856173677,-0.0013253289984985572,4,False,False
SHORT,COMPRESSED + HIGH_VOLUME + DOLLAR_UP,3,176,0.19318181818181818,-0.0018976883963067565,61,0.22950819672131148,0.0012378822779951892,237,0.20253164556962025,-0.001090642779714273,4,False,False
SHORT,NEG_FLOW + NEG_4H + VIX_UP,3,1074,0.1945996275605214,-0.0016448541595912155,558,0.22939068100358423,-0.0005503131109851302,1632,0.20649509803921567,-0.001270617698119282,4,False,False
SHORT,LOW_BREAKOUT_POS + VIX_UP,2,1284,0.20950155763239875,-0.001544790528295596,824,0.22936893203883496,-0.0006171197355903268,2108,0.21726755218216318,-0.0011821715846574833,4,False,False
SHORT,NEG_4H + HIGH_VOLUME + VIX_UP,3,837,0.24253285543608125,-0.0013486526833188706,372,0.22849462365591397,-0.0012621791738151268,1209,0.23821339950372208,-0.001322045449625411,4,False,False
SHORT,NEG_FLOW + HIGH_VOLUME + VIX_UP,3,663,0.22171945701357465,-0.0013405363478822968,321,0.22741433021806853,-0.0012634765825580514,984,0.22357723577235772,-0.001315397948828351,4,False,False
LONG,HIGH_VOLUME + LOW_FUNDING + YIELD_DOWN,3,619,0.19547657512116318,-0.0010667042172346007,264,0.22727272727272727,0.0003981617702211775,883,0.20498301245753114,-0.0006287374893882529,4,False,False
SHORT,NEG_FLOW + NEG_4H + SPX_DOWN,3,993,0.1772406847935549,-0.0022649593840809385,508,0.22244094488188976,-0.0010283945709596736,1501,0.19253830779480346,-0.0018464551035575528,4,False,False
SHORT,LOW_BREAKOUT_POS + DOLLAR_UP + VIX_UP,3,443,0.27539503386004516,-0.0007895383383239302,340,0.22058823529411764,-7.561630964549238e-05,783,0.2515964240102171,-0.0004795338814265242,4,False,False
SHORT,LOW_BREAKOUT_POS + VIX_UP + SPX_DOWN,3,808,0.22400990099009901,-0.00159155994696514,588,0.2193877551020408,-0.0009946694916977605,1396,0.22206303724928367,-0.001340147634861115,4,False,False
SHORT,NEG_4H + HIGH_VOLUME + DOLLAR_UP,3,718,0.23259052924791088,-0.001400274002829205,333,0.21921921921921922,-0.000977105923843363,1051,0.22835394862036157,-0.0012661969616281723,4,False,False
LONG,COMPRESSED + HIGH_VOLUME + YIELD_DOWN,3,215,0.16744186046511628,-0.002136516974913649,55,0.21818181818181817,0.0003097363222783652,270,0.17777777777777778,-0.0016382061180782387,4,False,False
SHORT,LOW_BREAKOUT_POS + NEG_4H + DOLLAR_UP,3,796,0.2198492462311558,-0.0014686444054492391,389,0.2159383033419023,-0.0009567609524957516,1185,0.21856540084388185,-0.00130060840274974,4,False,False
SHORT,NEG_4H + HIGH_VOLUME + SPX_DOWN,3,765,0.22745098039215686,-0.0018601899693886233,329,0.21580547112462006,-0.0016942806329559865,1094,0.22394881170018283,-0.0018102958453608926,4,False,False
SHORT,NEG_FLOW + HIGH_VOLUME + SPX_DOWN,3,589,0.2071307300509338,-0.0019116625598016009,285,0.21403508771929824,-0.0015091670717543501,874,0.20938215102974828,-0.0017804140310905409,4,False,False
SHORT,LOW_BREAKOUT_POS + DOLLAR_UP + SPX_DOWN,3,392,0.22959183673469388,-0.0014782186370650905,348,0.21264367816091953,-0.00018978771839168364,740,0.22162162162162163,-0.0008723078807159749,4,False,False
SHORT,LOW_BREAKOUT_POS + HIGH_FUNDING + DOLLAR_UP,3,1147,0.2083696599825632,-0.0009685644084416677,485,0.21237113402061855,-0.00021600034729402944,1632,0.20955882352941177,-0.0007449163878187482,4,False,False
SHORT,NEG_FLOW + HIGH_VOLUME + DOLLAR_UP,3,642,0.19781931464174454,-0.0016908862601372023,293,0.21160409556313994,-0.0007009717281286435,935,0.2021390374331551,-0.0013806777490371943,4,False,False
SHORT,COMPRESSED + NEG_4H + VIX_UP,3,467,0.17558886509635974,-0.0021145653456775206,246,0.21138211382113822,-0.0007998239495283806,713,0.1879382889200561,-0.0016609519046499068,4,False,False
SHORT,NEG_4H + HIGH_FUNDING + VIX_UP,3,1810,0.19889502762430938,-0.0016853699293574436,763,0.20969855832241152,-0.0009477754688890158,2573,0.20209871745044694,-0.0014666429284490058,4,False,False
SHORT,LOW_BREAKOUT_POS + SPX_DOWN,2,1127,0.21206743566992015,-0.0015417705456928419,716,0.20810055865921787,-0.0010300848722353219,1843,0.21052631578947367,-0.001342982188560132,4,False,False
SHORT,NEG_4H + DOLLAR_UP + VIX_UP,3,710,0.20985915492957746,-0.0017572770479694973,366,0.20765027322404372,-0.0012237229335969777,1076,0.20910780669144982,-0.001575789310181075,4,False,False
LONG,COMPRESSED + HIGH_VOLUME + DOLLAR_DOWN,3,178,0.19101123595505617,-0.001890424474823889,63,0.20634920634920634,-4.713025439997814e-05,241,0.1950207468879668,-0.0014085674794433647,4,False,False
SHORT,NEG_4H + HIGH_FUNDING + SPX_DOWN,3,1664,0.1778846153846154,-0.0022818447047885876,625,0.2048,-0.0013457841007982804,2289,0.1852337265181302,-0.002026258039216748,4,False,False
SHORT,NEG_4H + HIGH_FUNDING + DOLLAR_UP,3,1628,0.1904176904176904,-0.0016947959952546058,577,0.2045060658578856,-0.0009965177287104869,2205,0.19410430839002268,-0.0015120719318550786,4,False,False
SHORT,LOW_BREAKOUT_POS + NEG_4H + HIGH_FUNDING,3,2632,0.20250759878419453,-0.0017686957027104873,1142,0.2031523642732049,-0.0009968099423915868,3774,0.20270270270270271,-0.0015351256077756213,4,False,False
SHORT,COMPRESSED + NEG_FLOW + HIGH_VOLUME,3,185,0.21081081081081082,-0.0014342285550708262,94,0.20212765957446807,-0.0005687396102709265,279,0.2078853046594982,-0.001142630129224265,4,False,False
SHORT,COMPRESSED + LOW_BREAKOUT_POS + NEG_4H,3,372,0.18548387096774194,-0.0023033517746403206,218,0.2018348623853211,-0.0015404711181121428,590,0.19152542372881357,-0.0020214738371434685,4,False,False
SHORT,NEG_FLOW + LOW_BREAKOUT_POS + HIGH_VOLUME,3,1231,0.22014622258326563,-0.0014548339214671808,625,0.2016,-0.001002276251050706,1856,0.21390086206896552,-0.0013024370766340468,4,False,False
SHORT,NEG_FLOW + LOW_BREAKOUT_POS + NEG_4H,3,1801,0.19877845641310382,-0.001752101629723759,958,0.20146137787056367,-0.0009553739387174545,2759,0.19971003986951794,-0.0014754560595954373,4,False,False
SHORT,NEG_4H + VIX_UP,2,1969,0.19451498222447944,-0.0017882927331281542,994,0.2012072434607646,-0.0012798212268878503,2963,0.19676004049949375,-0.0016177153867890173,4,False,False
SHORT,COMPRESSED + LOW_BREAKOUT_POS + VIX_UP,3,348,0.20402298850574713,-0.0015750285249383183,306,0.19934640522875818,-0.0002863042637065666,654,0.2018348623853211,-0.0009720474485821777,4,False,False
SHORT,NEG_4H + DOLLAR_UP + SPX_DOWN,3,641,0.17628705148205928,-0.0024709726584664763,437,0.19908466819221968,-0.0013833856222362246,1078,0.18552875695732837,-0.00203008626251785,4,False,False
SHORT,COMPRESSED + NEG_4H + DOLLAR_UP,3,372,0.1478494623655914,-0.002440793635358286,173,0.19653179190751446,-0.000603947016679883,545,0.163302752293578,-0.001857721222456701,4,False,False
SHORT,COMPRESSED + NEG_4H + YIELD_UP,3,422,0.16350710900473933,-0.002049777010469134,112,0.19642857142857142,-0.00015387707815179256,534,0.1704119850187266,-0.0016521350770992043,4,False,False
SHORT,LOW_BREAKOUT_POS + YIELD_UP + SPX_DOWN,3,387,0.17829457364341086,-0.0020104350478367633,309,0.1941747572815534,5.0775250936467156e-05,696,0.1853448275862069,-0.0010953287513986482,4,False,False
SHORT,LOW_BREAKOUT_POS + NEG_4H + HIGH_VOLUME,3,1580,0.22531645569620254,-0.0015497483544648048,817,0.193390452876377,-0.0013755842505357415,2397,0.21443471005423445,-0.0014903857875436344,4,False,False
SHORT,NEG_FLOW + LOW_BREAKOUT_POS + HIGH_FUNDING,3,2067,0.185292694726657,-0.0017448580628750196,964,0.19294605809128632,-0.0008559350203869821,3031,0.18772682283074893,-0.0014621388900084844,4,False,False
SHORT,LOW_BREAKOUT_POS + HIGH_VOLUME + HIGH_FUNDING,3,1680,0.2244047619047619,-0.0013424524887132186,736,0.19293478260869565,-0.0012694060847268827,2416,0.214817880794702,-0.001320199941803474,4,False,False
LONG,POS_4H + HIGH_VOLUME + LOW_FUNDING,3,758,0.2612137203166227,-0.0003707427381564017,368,0.19293478260869565,-0.001267863635939905,1126,0.238898756660746,-0.0006639403317481683,4,False,False
SHORT,COMPRESSED + HIGH_VOLUME + VIX_UP,3,181,0.16574585635359115,-0.002772540346465657,83,0.1927710843373494,-0.0013241485581145884,264,0.17424242424242425,-0.002317174746340131,4,False,False
LONG,COMPRESSED + HIGH_VOLUME + SPX_UP,3,179,0.1787709497206704,-0.001894670541123205,73,0.1917808219178082,-0.0006088742216097253,252,0.18253968253968253,-0.0015221977977720783,4,False,False
SHORT,NEG_4H + YIELD_UP + VIX_UP,3,628,0.1624203821656051,-0.0023723076405515217,298,0.1912751677852349,-0.0004895381997404674,926,0.1717062634989201,-0.0017664055958844652,4,False,False
SHORT,LOW_BREAKOUT_POS + HIGH_VOLUME,2,1828,0.22319474835886213,-0.00136710918858238,931,0.19119226638023631,-0.0014142432826152829,2759,0.212395795578108,-0.0013830141692074732,4,False,False
SHORT,COMPRESSED + NEG_4H + SPX_DOWN,3,429,0.15151515151515152,-0.0028289999495543067,199,0.19095477386934673,-0.0013527030671291226,628,0.16401273885350318,-0.0023611924979577916,4,False,False
SHORT,HIGH_VOLUME + HIGH_FUNDING + DOLLAR_UP,3,1739,0.1799884991374353,-0.0016584746681986133,605,0.19008264462809918,-0.0007821334903042642,2344,0.1825938566552901,-0.0014322859256106948,4,False,False
SHORT,NEG_FLOW + NEG_4H + HIGH_VOLUME,3,1746,0.22107674684994272,-0.0015080212975589248,792,0.1893939393939394,-0.0012037038873211146,2538,0.2111899133175729,-0.0014130569993286858,4,False,False
SHORT,COMPRESSED + NEG_4H + HIGH_FUNDING,3,1245,0.1742971887550201,-0.001956792060696322,418,0.18899521531100477,-0.0008613247465177528,1663,0.17799158147925437,-0.0016814430905660502,4,False,False
SHORT,LOW_BREAKOUT_POS + DOLLAR_UP,2,1257,0.1917263325377884,-0.0011606220865385025,654,0.18807339449541285,-0.0005787029236092617,1911,0.19047619047619047,-0.0009614723573099713,4,False,False
SHORT,COMPRESSED + LOW_BREAKOUT_POS + SPX_DOWN,3,310,0.18064516129032257,-0.0018318699473127032,240,0.1875,-0.0004891624610751379,550,0.18363636363636363,-0.0012459612260454019,4,False,False
SHORT,LOW_BREAKOUT_POS + NEG_4H,2,2856,0.19922969187675071,-0.0017880364777965348,1505,0.18737541528239202,-0.0013555132870923972,4361,0.19513872964916304,-0.0016387708501859571,4,False,False
SHORT,NEG_4H + SPX_DOWN,2,1839,0.1756389342033714,-0.0023073221978604165,870,0.18735632183908046,-0.0017689470079022087,2709,0.17940199335548174,-0.002134422081484026,4,False,False
SHORT,COMPRESSED + NEG_4H,2,1419,0.17054263565891473,-0.0019732600567582376,578,0.18685121107266436,-0.0009867886611502506,1997,0.17526289434151227,-0.0016877415456608834,4,False,False
SHORT,NEG_4H + VIX_UP + SPX_DOWN,3,1294,0.1901081916537867,-0.0021682631216478785,697,0.18651362984218078,-0.0019611822345793816,1991,0.18884982420894023,-0.00209576920990165,4,False,False
SHORT,LOW_BREAKOUT_POS + YIELD_UP + VIX_UP,3,390,0.2282051282051282,-0.0012469289171560833,311,0.1864951768488746,-0.0002237985736747927,701,0.20970042796005706,-0.000793015169905468,4,False,False
SHORT,NEG_4H + DOLLAR_UP,2,1805,0.18005540166204986,-0.0018414815093013603,800,0.18625,-0.001288336213006101,2605,0.181957773512476,-0.0016716096332797835,4,False,False
SHORT,NEG_FLOW + HIGH_VOLUME,2,2128,0.20723684210526316,-0.001566580994793504,1030,0.18543689320388348,-0.0012189190578886044,3158,0.20012666244458518,-0.0014531890394382013,4,False,False
SHORT,NEG_FLOW + LOW_BREAKOUT_POS + DOLLAR_UP,3,659,0.17905918057663125,-0.0017691648507750545,356,0.1853932584269663,-0.0008084831069209022,1015,0.1812807881773399,-0.001432216377068574,4,False,False
SHORT,HIGH_VOLUME + DOLLAR_UP + SPX_DOWN,3,715,0.18601398601398603,-0.001999462051131534,455,0.18461538461538463,-0.0014132653388150367,1170,0.18547008547008548,-0.0017714966630084518,4,False,False
SHORT,HIGH_VOLUME + DOLLAR_UP,2,1918,0.17413972888425444,-0.0017380065775020742,776,0.18427835051546393,-0.0009774702892139638,2694,0.17706013363028952,-0.0015189359911206436,4,False,False
SHORT,NEG_FLOW + NEG_4H + DOLLAR_UP,3,1057,0.17313150425733206,-0.0020595098638757935,472,0.18220338983050846,-0.0010605584855806751,1529,0.17593198168737736,-0.001751135076069845,4,False,False
SHORT,NEG_4H + HIGH_VOLUME,2,2663,0.2223056702966579,-0.0015793394992725549,1184,0.18158783783783783,-0.0015048440299846614,3847,0.20977384975305433,-0.0015564118580880307,4,False,False
