partition,target_name,stop_name,trades,tp_count,tp_rate,close_invalidation_count,time_exit_count,wins,losses,wr,pf,net_exp,total_net,median_win,median_loss,median_hold_minutes,h2_before_exit_rate,accept_close_before_exit_rate,median_nominal_rr,screen_pass
external,E10,D30,46,36,0.782608695652174,4,6,37,9,0.8043478260869565,3.0533873244302576,1.3782447281802612,63.399257496292016,2.3588899542275725,-2.380181390957125,45.0,0.8478260869565217,0.30434782608695654,0.8333333333333334,False
external,E10,D40,46,37,0.8043478260869565,2,7,38,8,0.8260869565217391,2.9539099925442804,1.3639996523582822,62.743984008480986,2.352177463908101,-3.1391662031951144,50.0,0.8695652173913043,0.30434782608695654,0.625,False
external,E10,D50,46,38,0.8260869565217391,0,8,39,7,0.8478260869565217,4.865649671770432,1.7160677061341765,78.93911448217212,2.3588899542275725,-2.380181390957125,50.0,0.8913043478260869,0.32608695652173914,0.5,False
external,E10,D60,46,38,0.8260869565217391,0,8,39,7,0.8478260869565217,4.865649671770432,1.7160677061341765,78.93911448217212,2.3588899542275725,-2.380181390957125,50.0,0.8913043478260869,0.32608695652173914,0.4166666666666667,False
external,E15,D30,46,33,0.717391304347826,6,7,35,11,0.7608695652173914,3.0244856451066515,1.6099108338121568,74.05589835535922,2.910667945073065,-2.559833438597547,70.0,0.8478260869565217,0.5217391304347826,1.0,False
external,E15,D40,46,34,0.7391304347826086,3,9,36,10,0.782608695652174,3.1081608351245857,1.6427839276585268,75.56806067229223,2.9026129566897656,-2.470007414777336,70.0,0.8695652173913043,0.5217391304347826,0.7499999999999991,False
external,E15,D50,46,34,0.7391304347826086,1,11,37,9,0.8043478260869565,4.764243484200886,1.9765663587735207,90.92205250358195,2.910667945073065,-2.380181390957125,75.0,0.8913043478260869,0.5434782608695652,0.5999999999999988,False
external,E15,D60,46,34,0.7391304347826086,0,12,37,9,0.8043478260869565,5.258035177130788,2.025878514018454,93.1904116448489,2.910667945073065,-1.4041863418353002,77.5,0.8913043478260869,0.5434782608695652,0.5,False
external,E20,D30,46,31,0.6739130434782609,8,7,33,13,0.717391304347826,2.5751733593308264,1.6168229671775336,74.37385649016655,3.462445935918668,-2.559833438597547,95.0,0.8478260869565217,0.5869565217391305,1.1666666666666667,False
external,E20,D40,46,32,0.6956521739130435,5,9,34,12,0.7391304347826086,2.5002120803669534,1.5987507742045537,73.54253561340947,3.45304844947143,-2.470007414777336,95.0,0.8695652173913043,0.5869565217391305,0.875,False
external,E20,D50,46,32,0.6956521739130435,2,12,35,11,0.7608695652173914,3.402105196295037,1.9374804745957968,89.12410183140665,3.462445935918668,-2.380181390957125,97.5,0.8913043478260869,0.6086956521739131,0.7,False
external,E20,D60,46,32,0.6956521739130435,0,14,35,11,0.7608695652173914,4.057733570084559,2.067803011111303,95.11893851111994,3.462445935918668,-1.4041863418353002,102.5,0.8913043478260869,0.6086956521739131,0.5833333333333334,False
development,E10,D30,72,42,0.5833333333333334,28,2,44,28,0.6111111111111112,0.8664043019450239,-0.2012161609382785,-14.487563587556052,2.1072065265784317,-3.885373693020155,32.5,0.6666666666666666,0.19444444444444445,0.8333333333333334,False
development,E10,D40,72,44,0.6111111111111112,26,2,46,26,0.6388888888888888,0.7691653900747505,-0.4078518295405397,-29.36533172691886,2.1072065265784317,-4.590374546773235,40.0,0.6944444444444444,0.19444444444444445,0.6250000000000004,False
