block,continuation_n,continuation_hit,risk_n,risk_hit,gap
2023-H1,1961,0.5022947475777665,1632,0.5251225490196079,-0.022827801441841378
2023-H2,2124,0.5164783427495292,1585,0.49842271293375395,0.018055629815775243
2024-H1,2199,0.5043201455206913,1449,0.5169082125603864,-0.012588067039695172
2024-H2,2257,0.5033229951262738,1453,0.5044735030970406,-0.0011505079707668786
