partition,dev_block,ref_min,hour,execution_start,family,target_R,H,L,R,h1_ts,h1_break_ts,entry_ts,entry_price,entry_F,exit_ts,exit_price,exit_reason,return,pnl,return_5bps,pnl_5bps,won,won_5bps,h1_break_confirmed,invalidation_close_ts,candidate,role,candidate_scope
development,0,180,13,2022-01-01 13:00:00+00:00,E0_RESTING_H,0.4,173.37,170.52,2.8499999999999943,2022-01-01 15:25:00+00:00,2022-01-01 15:25:00+00:00,2022-01-01 15:25:00+00:00,173.37,1.0,2022-01-01 15:50:00+00:00,173.3,FAILED_BREAK,-0.000403760742919701,-0.2018803714598505,-0.000903760742919701,-0.4518803714598505,False,False,True,2022-01-01 15:45:00+00:00,Z1_R180_H13,CANDIDATE,A17
development,0,180,13,2022-01-02 13:00:00+00:00,E0_RESTING_H,0.4,176.75,175.0,1.75,2022-01-02 16:10:00+00:00,2022-01-02 16:10:00+00:00,2022-01-02 16:10:00+00:00,176.75,1.0,2022-01-02 16:20:00+00:00,176.53,FAILED_BREAK,-0.00124469589816123,-0.622347949080615,-0.00174469589816123,-0.872347949080615,False,False,True,2022-01-02 16:15:00+00:00,Z1_R180_H13,CANDIDATE,A17
development,0,180,13,2022-01-03 13:00:00+00:00,E0_RESTING_H,0.4,175.05,173.26,1.7900000000000205,2022-01-03 13:20:00+00:00,2022-01-03 13:20:00+00:00,2022-01-03 13:20:00+00:00,175.05,1.0,2022-01-03 13:35:00+00:00,175.04,FAILED_BREAK,-5.7126535275786594e-05,-0.028563267637893297,-0.0005571265352757866,-0.2785632676378933,False,False,True,2022-01-03 13:30:00+00:00,Z1_R180_H13,CANDIDATE,A17
development,0,180,13,2022-01-04 13:00:00+00:00,E0_RESTING_H,0.4,172.32,167.32,5.0,2022-01-04 14:20:00+00:00,2022-01-04 14:20:00+00:00,2022-01-04 14:20:00+00:00,172.32,1.0,2022-01-04 14:30:00+00:00,172.07,FAILED_BREAK,-0.001450789229340721,-0.7253946146703605,-0.001950789229340721,-0.9753946146703605,False,False,True,2022-01-04 14:25:00+00:00,Z1_R180_H13,CANDIDATE,A17
development,0,180,13,2022-01-06 13:00:00+00:00,E0_RESTING_H,0.4,149.09,146.22,2.8700000000000045,2022-01-06 13:00:00+00:00,2022-01-06 13:00:00+00:00,2022-01-06 13:00:00+00:00,149.09,1.0,2022-01-06 13:20:00+00:00,148.88,FAILED_BREAK,-0.0014085451740559751,-0.7042725870279876,-0.0019085451740559751,-0.9542725870279876,False,False,True,2022-01-06 13:15:00+00:00,Z1_R180_H13,CANDIDATE,A17
development,0,180,13,2022-01-07 13:00:00+00:00,E0_RESTING_H,0.4,141.88,138.36,3.519999999999982,2022-01-07 13:30:00+00:00,,2022-01-07 13:30:00+00:00,141.88,1.0,2022-01-07 13:45:00+00:00,137.22,REFERENCE_INVALIDATION,-0.03284465745700593,-16.422328728502965,-0.03334465745700593,-16.672328728502965,False,False,False,2022-01-07 13:40:00+00:00,Z1_R180_H13,CANDIDATE,A17
development,0,180,13,2022-01-09 13:00:00+00:00,E0_RESTING_H,0.4,141.07,137.8,3.269999999999982,2022-01-09 16:05:00+00:00,,2022-01-09 16:05:00+00:00,141.07,1.0,2022-01-09 16:50:00+00:00,142.378,TARGET,0.00927199262777334,4.63599631388667,0.00877199262777334,4.38599631388667,True,True,False,,Z1_R180_H13,CANDIDATE,A17
development,0,180,13,2022-01-11 13:00:00+00:00,E0_RESTING_H,0.4,137.06,134.23,2.8300000000000125,2022-01-11 14:00:00+00:00,2022-01-11 14:00:00+00:00,2022-01-11 14:00:00+00:00,137.06,1.0,2022-01-11 14:25:00+00:00,136.74,FAILED_BREAK,-0.002334743907777548,-1.167371953888774,-0.002834743907777548,-1.417371953888774,False,False,True,2022-01-11 14:20:00+00:00,Z1_R180_H13,CANDIDATE,A17
development,0,180,13,2022-01-12 13:00:00+00:00,E0_RESTING_H,0.4,143.7,140.0,3.6999999999999886,2022-01-12 13:00:00+00:00,2022-01-12 13:00:00+00:00,2022-01-12 13:00:00+00:00,143.7,1.0,2022-01-12 13:10:00+00:00,143.34,FAILED_BREAK,-0.0025052192066804535,-1.2526096033402268,-0.0030052192066804535,-1.5026096033402268,False,False,True,2022-01-12 13:05:00+00:00,Z1_R180_H13,CANDIDATE,A17
development,0,180,13,2022-01-13 13:00:00+00:00,E0_RESTING_H,0.4,153.9,149.8,4.099999999999994,2022-01-13 13:00:00+00:00,2022-01-13 13:00:00+00:00,2022-01-13 13:00:00+00:00,153.9,1.0,2022-01-13 13:25:00+00:00,153.88,FAILED_BREAK,-0.0001299545159194615,-0.06497725795973075,-0.0006299545159194615,-0.31497725795973075,False,False,True,2022-01-13 13:20:00+00:00,Z1_R180_H13,CANDIDATE,A17
