partition,regime,clock_block,obs_start,obs_end,reclaim_complete_ts,H,L,R4,entry_fraction,entry_px,filled,fill_ts,terminal_type,terminal_ts,minutes_reclaim_to_fill,minutes_fill_to_rebreak
development,BEAR,00-04,2022-01-03 00:00:00+00:00,2022-01-03 04:00:00+00:00,2022-01-03 03:55:00+00:00,47469.46,46815.75,653.7099999999991,0.05,46848.4355,True,2022-01-03 03:55:00+00:00,REBREAK_LOW_AFTER_FILL,2022-01-03 04:00:00+00:00,0.0,5.0
development,BEAR,00-04,2022-01-03 00:00:00+00:00,2022-01-03 04:00:00+00:00,2022-01-03 03:55:00+00:00,47469.46,46815.75,653.7099999999991,0.1,46881.121,False,,LOW_BREAK_BEFORE_FILL,2022-01-03 04:00:00+00:00,,
development,BEAR,00-04,2022-01-03 00:00:00+00:00,2022-01-03 04:00:00+00:00,2022-01-03 03:55:00+00:00,47469.46,46815.75,653.7099999999991,0.15,46913.8065,False,,LOW_BREAK_BEFORE_FILL,2022-01-03 04:00:00+00:00,,
development,BEAR,00-04,2022-01-03 00:00:00+00:00,2022-01-03 04:00:00+00:00,2022-01-03 03:55:00+00:00,47469.46,46815.75,653.7099999999991,0.25,46979.1775,False,,LOW_BREAK_BEFORE_FILL,2022-01-03 04:00:00+00:00,,
development,BEAR,00-04,2022-01-03 00:00:00+00:00,2022-01-03 04:00:00+00:00,2022-01-03 03:55:00+00:00,47469.46,46815.75,653.7099999999991,0.5,47142.604999999996,False,,LOW_BREAK_BEFORE_FILL,2022-01-03 04:00:00+00:00,,
development,BEAR,16-20,2022-01-17 16:00:00+00:00,2022-01-17 20:00:00+00:00,2022-01-17 16:25:00+00:00,42768.95,42345.78,423.16999999999825,0.05,42366.9385,True,2022-01-17 16:25:00+00:00,REBREAK_LOW_AFTER_FILL,2022-01-17 16:30:00+00:00,0.0,5.0
development,BEAR,16-20,2022-01-17 16:00:00+00:00,2022-01-17 20:00:00+00:00,2022-01-17 16:25:00+00:00,42768.95,42345.78,423.16999999999825,0.1,42388.097,True,2022-01-17 16:25:00+00:00,REBREAK_LOW_AFTER_FILL,2022-01-17 16:30:00+00:00,0.0,5.0
development,BEAR,16-20,2022-01-17 16:00:00+00:00,2022-01-17 20:00:00+00:00,2022-01-17 16:25:00+00:00,42768.95,42345.78,423.16999999999825,0.15,42409.2555,True,2022-01-17 16:25:00+00:00,REBREAK_LOW_AFTER_FILL,2022-01-17 16:30:00+00:00,0.0,5.0
development,BEAR,16-20,2022-01-17 16:00:00+00:00,2022-01-17 20:00:00+00:00,2022-01-17 16:25:00+00:00,42768.95,42345.78,423.16999999999825,0.25,42451.572499999995,False,,LOW_BREAK_BEFORE_FILL,2022-01-17 16:30:00+00:00,,
development,BEAR,16-20,2022-01-17 16:00:00+00:00,2022-01-17 20:00:00+00:00,2022-01-17 16:25:00+00:00,42768.95,42345.78,423.16999999999825,0.5,42557.365,False,,LOW_BREAK_BEFORE_FILL,2022-01-17 16:30:00+00:00,,
development,BEAR,12-16,2022-01-18 12:00:00+00:00,2022-01-18 16:00:00+00:00,2022-01-18 14:40:00+00:00,42040.0,41379.39,660.6100000000006,0.05,41412.4205,True,2022-01-18 14:40:00+00:00,REBREAK_LOW_AFTER_FILL,2022-01-18 14:55:00+00:00,0.0,15.0
development,BEAR,12-16,2022-01-18 12:00:00+00:00,2022-01-18 16:00:00+00:00,2022-01-18 14:40:00+00:00,42040.0,41379.39,660.6100000000006,0.1,41445.451,True,2022-01-18 14:40:00+00:00,REBREAK_LOW_AFTER_FILL,2022-01-18 14:55:00+00:00,0.0,15.0
development,BEAR,12-16,2022-01-18 12:00:00+00:00,2022-01-18 16:00:00+00:00,2022-01-18 14:40:00+00:00,42040.0,41379.39,660.6100000000006,0.15,41478.4815,True,2022-01-18 14:40:00+00:00,REBREAK_LOW_AFTER_FILL,2022-01-18 14:55:00+00:00,0.0,15.0
development,BEAR,12-16,2022-01-18 12:00:00+00:00,2022-01-18 16:00:00+00:00,2022-01-18 14:40:00+00:00,42040.0,41379.39,660.6100000000006,0.25,41544.542499999996,True,2022-01-18 14:40:00+00:00,REBREAK_LOW_AFTER_FILL,2022-01-18 14:55:00+00:00,0.0,15.0
development,BEAR,12-16,2022-01-18 12:00:00+00:00,2022-01-18 16:00:00+00:00,2022-01-18 14:40:00+00:00,42040.0,41379.39,660.6100000000006,0.5,41709.695,False,,LOW_BREAK_BEFORE_FILL,2022-01-18 14:55:00+00:00,,
development,BEAR,20-00,2022-01-21 20:00:00+00:00,2022-01-22 00:00:00+00:00,2022-01-21 20:20:00+00:00,39045.0,37805.0,1240.0,0.05,37867.0,True,2022-01-21 20:20:00+00:00,REBREAK_LOW_AFTER_FILL,2022-01-21 20:30:00+00:00,0.0,10.0
development,BEAR,20-00,2022-01-21 20:00:00+00:00,2022-01-22 00:00:00+00:00,2022-01-21 20:20:00+00:00,39045.0,37805.0,1240.0,0.1,37929.0,True,2022-01-21 20:20:00+00:00,REBREAK_LOW_AFTER_FILL,2022-01-21 20:30:00+00:00,0.0,10.0
development,BEAR,20-00,2022-01-21 20:00:00+00:00,2022-01-22 00:00:00+00:00,2022-01-21 20:20:00+00:00,39045.0,37805.0,1240.0,0.15,37991.0,False,,LOW_BREAK_BEFORE_FILL,2022-01-21 20:30:00+00:00,,
development,BEAR,20-00,2022-01-21 20:00:00+00:00,2022-01-22 00:00:00+00:00,2022-01-21 20:20:00+00:00,39045.0,37805.0,1240.0,0.25,38115.0,False,,LOW_BREAK_BEFORE_FILL,2022-01-21 20:30:00+00:00,,
development,BEAR,20-00,2022-01-21 20:00:00+00:00,2022-01-22 00:00:00+00:00,2022-01-21 20:20:00+00:00,39045.0,37805.0,1240.0,0.5,38425.0,False,,LOW_BREAK_BEFORE_FILL,2022-01-21 20:30:00+00:00,,
