partition,date_utc,signal_ts,entry_ts,entry_px,H,L,range,b27w_target_hit,h2_bar_start,session_end,has_h2,first_close_break_bar_start,first_close_break_ts,max_high_extension,max_close_extension,E05_price,E05_high_reach,E05_high_reach_bar_start,E05_minutes_from_h2,E05_close_reach,E05_close_reach_ts,E10_price,E10_high_reach,E10_high_reach_bar_start,E10_minutes_from_h2,E10_close_reach,E10_close_reach_ts,E15_price,E15_high_reach,E15_high_reach_bar_start,E15_minutes_from_h2,E15_close_reach,E15_close_reach_ts,E20_price,E20_high_reach,E20_high_reach_bar_start,E20_minutes_from_h2,E20_close_reach,E20_close_reach_ts,E25_price,E25_high_reach,E25_high_reach_bar_start,E25_minutes_from_h2,E25_close_reach,E25_close_reach_ts,E30_price,E30_high_reach,E30_high_reach_bar_start,E30_minutes_from_h2,E30_close_reach,E30_close_reach_ts,E40_price,E40_high_reach,E40_high_reach_bar_start,E40_minutes_from_h2,E40_close_reach,E40_close_reach_ts,E50_price,E50_high_reach,E50_high_reach_bar_start,E50_minutes_from_h2,E50_close_reach,E50_close_reach_ts
august,2026-08-04,2026-08-04 13:40:00+00:00,2026-08-04 14:30:00+00:00,63943.475000000006,64034.3,63428.8,605.5,True,2026-08-04 14:40:00+00:00,2026-08-04 20:00:00+00:00,True,2026-08-04 14:40:00+00:00,2026-08-04 14:45:00+00:00,0.584145334434347,0.5232039636663842,64064.575000000004,True,2026-08-04 14:40:00+00:00,0.0,True,2026-08-04 14:45:00+00:00,64094.850000000006,True,2026-08-04 14:40:00+00:00,0.0,True,2026-08-04 14:45:00+00:00,64125.125,True,2026-08-04 14:40:00+00:00,0.0,True,2026-08-04 15:05:00+00:00,64155.4,True,2026-08-04 14:40:00+00:00,0.0,True,2026-08-04 18:15:00+00:00,64185.675,True,2026-08-04 15:00:00+00:00,20.0,True,2026-08-04 18:15:00+00:00,64215.950000000004,True,2026-08-04 18:15:00+00:00,215.0,True,2026-08-04 18:20:00+00:00,64276.5,True,2026-08-04 18:15:00+00:00,215.0,True,2026-08-04 18:20:00+00:00,64337.05,True,2026-08-04 18:20:00+00:00,220.0,True,2026-08-04 18:25:00+00:00
august,2026-08-17,2026-08-17 13:45:00+00:00,2026-08-17 13:50:00+00:00,63678.3,63753.0,63255.0,498.0,True,2026-08-17 14:50:00+00:00,2026-08-17 20:00:00+00:00,True,2026-08-17 14:55:00+00:00,2026-08-17 15:00:00+00:00,1.7024096385542227,1.5269076305220912,63777.9,True,2026-08-17 14:50:00+00:00,0.0,True,2026-08-17 15:00:00+00:00,63802.8,True,2026-08-17 14:50:00+00:00,0.0,True,2026-08-17 15:00:00+00:00,63827.7,True,2026-08-17 14:55:00+00:00,5.0,True,2026-08-17 15:00:00+00:00,63852.6,True,2026-08-17 14:55:00+00:00,5.0,True,2026-08-17 15:00:00+00:00,63877.5,True,2026-08-17 14:55:00+00:00,5.0,True,2026-08-17 15:05:00+00:00,63902.4,True,2026-08-17 15:05:00+00:00,15.0,True,2026-08-17 15:30:00+00:00,63952.2,True,2026-08-17 15:05:00+00:00,15.0,True,2026-08-17 15:30:00+00:00,64002.0,True,2026-08-17 15:25:00+00:00,35.0,True,2026-08-17 15:30:00+00:00
august,2026-08-20,2026-08-20 15:05:00+00:00,2026-08-20 15:15:00+00:00,72080.145,72487.5,69771.8,2715.699999999997,True,2026-08-20 15:30:00+00:00,2026-08-20 20:00:00+00:00,True,2026-08-20 16:40:00+00:00,2026-08-20 16:45:00+00:00,0.1685753212799659,0.1345141215892784,72623.285,True,2026-08-20 15:30:00+00:00,0.0,True,2026-08-20 17:00:00+00:00,72759.07,True,2026-08-20 15:30:00+00:00,0.0,True,2026-08-20 17:00:00+00:00,72894.855,True,2026-08-20 17:50:00+00:00,140.0,False,,73030.64,False,,,False,,73166.425,False,,,False,,73302.20999999999,False,,,False,,73573.78,False,,,False,,73845.35,False,,,False,
development,2022-01-28,2022-01-28 13:40:00+00:00,2022-01-28 13:50:00+00:00,36774.501,36884.88,36149.02,735.8600000000006,True,2022-01-28 13:55:00+00:00,2022-01-28 20:00:00+00:00,True,2022-01-28 13:55:00+00:00,2022-01-28 14:00:00+00:00,0.6443073410703153,0.5912945397222301,36921.672999999995,True,2022-01-28 13:55:00+00:00,0.0,True,2022-01-28 14:10:00+00:00,36958.466,True,2022-01-28 14:05:00+00:00,10.0,True,2022-01-28 14:10:00+00:00,36995.259,True,2022-01-28 14:05:00+00:00,10.0,True,2022-01-28 14:30:00+00:00,37032.051999999996,True,2022-01-28 14:05:00+00:00,10.0,True,2022-01-28 14:30:00+00:00,37068.845,True,2022-01-28 14:05:00+00:00,10.0,True,2022-01-28 15:15:00+00:00,37105.638,True,2022-01-28 15:10:00+00:00,75.0,True,2022-01-28 15:15:00+00:00,37179.223999999995,True,2022-01-28 15:10:00+00:00,75.0,True,2022-01-28 15:20:00+00:00,37252.81,True,2022-01-28 15:15:00+00:00,80.0,True,2022-01-28 15:20:00+00:00
development,2022-02-01,2022-02-01 17:00:00+00:00,2022-02-01 17:10:00+00:00,38930.35,39100.0,37969.0,1131.0,False,,2022-02-01 20:00:00+00:00,False,,,,,39156.55,False,,,False,,39213.1,False,,,False,,39269.65,False,,,False,,39326.2,False,,,False,,39382.75,False,,,False,,39439.3,False,,,False,,39552.4,False,,,False,,39665.5,False,,,False,
development,2022-02-03,2022-02-03 16:15:00+00:00,2022-02-03 16:20:00+00:00,36952.5805,37084.63,36204.3,880.3299999999945,False,,2022-02-03 20:00:00+00:00,False,,,,,37128.646499999995,False,,,False,,37172.663,False,,,False,,37216.6795,False,,,False,,37260.695999999996,False,,,False,,37304.712499999994,False,,,False,,37348.72899999999,False,,,False,,37436.761999999995,False,,,False,,37524.795,False,,,False,
development,2022-02-22,2022-02-22 14:00:00+00:00,2022-02-22 14:10:00+00:00,37696.865,37868.0,36727.1,1140.9000000000015,True,2022-02-22 14:45:00+00:00,2022-02-22 20:00:00+00:00,True,2022-02-22 14:50:00+00:00,2022-02-22 14:55:00+00:00,0.3944254535892711,0.2726794635813815,37925.045,True,2022-02-22 14:50:00+00:00,5.0,True,2022-02-22 14:55:00+00:00,37982.09,True,2022-02-22 14:50:00+00:00,5.0,True,2022-02-22 14:55:00+00:00,38039.135,True,2022-02-22 14:50:00+00:00,5.0,True,2022-02-22 14:55:00+00:00,38096.18,True,2022-02-22 14:50:00+00:00,5.0,True,2022-02-22 14:55:00+00:00,38153.225,True,2022-02-22 14:50:00+00:00,5.0,True,2022-02-22 14:55:00+00:00,38210.270000000004,True,2022-02-22 14:50:00+00:00,5.0,False,,38324.36,False,,,False,,38438.45,False,,,False,
development,2022-02-24,2022-02-24 14:35:00+00:00,2022-02-24 14:50:00+00:00,35703.98,35870.0,34763.2,1106.800000000003,True,2022-02-24 15:20:00+00:00,2022-02-24 20:00:00+00:00,True,2022-02-24 15:50:00+00:00,2022-02-24 15:55:00+00:00,1.350831225153591,1.2669859053126122,35925.34,True,2022-02-24 15:20:00+00:00,0.0,True,2022-02-24 15:55:00+00:00,35980.68,True,2022-02-24 15:20:00+00:00,0.0,True,2022-02-24 16:10:00+00:00,36036.020000000004,True,2022-02-24 15:20:00+00:00,0.0,True,2022-02-24 16:10:00+00:00,36091.36,True,2022-02-24 15:20:00+00:00,0.0,True,2022-02-24 16:10:00+00:00,36146.7,True,2022-02-24 16:00:00+00:00,40.0,True,2022-02-24 16:20:00+00:00,36202.04,True,2022-02-24 16:10:00+00:00,50.0,True,2022-02-24 16:20:00+00:00,36312.72,True,2022-02-24 18:45:00+00:00,205.0,True,2022-02-24 18:50:00+00:00,36423.4,True,2022-02-24 18:45:00+00:00,205.0,True,2022-02-24 18:55:00+00:00
development,2022-03-16,2022-03-16 14:05:00+00:00,2022-03-16 14:10:00+00:00,40576.7,40760.0,39538.0,1222.0,True,2022-03-16 14:15:00+00:00,2022-03-16 20:00:00+00:00,True,2022-03-16 14:15:00+00:00,2022-03-16 14:20:00+00:00,0.3502454991816694,0.16153846153846274,40821.1,True,2022-03-16 14:15:00+00:00,0.0,True,2022-03-16 14:20:00+00:00,40882.2,True,2022-03-16 14:15:00+00:00,0.0,True,2022-03-16 14:25:00+00:00,40943.3,True,2022-03-16 14:15:00+00:00,0.0,True,2022-03-16 14:35:00+00:00,41004.4,True,2022-03-16 14:15:00+00:00,0.0,False,,41065.5,True,2022-03-16 14:15:00+00:00,0.0,False,,41126.6,True,2022-03-16 14:15:00+00:00,0.0,False,,41248.8,False,,,False,,41371.0,False,,,False,
development,2022-03-18,2022-03-18 14:15:00+00:00,2022-03-18 14:20:00+00:00,40650.13,40750.0,40084.2,665.8000000000029,True,2022-03-18 14:25:00+00:00,2022-03-18 20:00:00+00:00,True,2022-03-18 15:35:00+00:00,2022-03-18 15:40:00+00:00,2.0153199158906534,1.9079303094022189,40783.29,True,2022-03-18 14:30:00+00:00,5.0,True,2022-03-18 15:40:00+00:00,40816.58,True,2022-03-18 15:35:00+00:00,70.0,True,2022-03-18 15:45:00+00:00,40849.87,True,2022-03-18 15:35:00+00:00,70.0,True,2022-03-18 15:45:00+00:00,40883.16,True,2022-03-18 15:40:00+00:00,75.0,True,2022-03-18 16:00:00+00:00,40916.45,True,2022-03-18 15:40:00+00:00,75.0,True,2022-03-18 16:05:00+00:00,40949.74,True,2022-03-18 15:40:00+00:00,75.0,True,2022-03-18 16:05:00+00:00,41016.32,True,2022-03-18 15:45:00+00:00,80.0,True,2022-03-18 16:20:00+00:00,41082.9,True,2022-03-18 15:45:00+00:00,80.0,True,2022-03-18 16:30:00+00:00
