regime,partition,bad_total,bad_too_late_by15,bad_flagged,bad_capture,good_total,good_resolved_before15,good_flagged,good_sacrifice,flagged_n,flag_precision_bad
BULL,development,17,1,12,0.7058823529411765,57,18,0,0.0,12,1.0
BULL,external,13,1,4,0.3076923076923077,47,12,7,0.14893617021276595,11,0.36363636363636365
BULL,reference_validation,5,0,2,0.4,42,13,6,0.14285714285714285,8,0.25
BULL,POOLED_MAJOR,35,2,18,0.5142857142857142,146,43,13,0.08904109589041095,31,0.5806451612903226
BEAR,development,16,2,6,0.375,87,37,3,0.034482758620689655,9,0.6666666666666666
BEAR,external,7,0,1,0.14285714285714285,24,15,1,0.041666666666666664,2,0.5
BEAR,reference_validation,8,0,1,0.125,43,17,2,0.046511627906976744,3,0.3333333333333333
BEAR,POOLED_MAJOR,31,2,8,0.25806451612903225,154,69,6,0.03896103896103896,14,0.5714285714285714
SIDEWAYS,development,5,0,4,0.8,15,7,0,0.0,4,1.0
SIDEWAYS,external,3,0,2,0.6666666666666666,27,15,3,0.1111111111111111,5,0.4
SIDEWAYS,reference_validation,4,1,1,0.25,6,0,1,0.16666666666666666,2,0.5
SIDEWAYS,POOLED_MAJOR,12,1,7,0.5833333333333334,48,22,4,0.08333333333333333,11,0.6363636363636364
