stop_f,stop,exec_min,execution_utc
0.6,F60,300,05:00
0.55,F55,300,05:00
0.5,F50,300,05:00
0.45,F45,300,05:00
0.45,F45,540,09:00
0.4,F40,300,05:00
0.35,F35,300,05:00
0.35,F35,540,09:00
0.3,F30,300,05:00
0.25,F25,300,05:00
0.2,F20,300,05:00
0.2,F20,540,09:00
