group,feature,n,wins,losses,winner_median,loser_median,median_diff,auc,spearman_r
POOLED,oi_value,188,115,73,744932833.84,864759998.553,-119827164.71299994,0.4699225729600953,-0.00032861390819892606
POOLED,top_position_ratio,188,115,73,1.785667,1.803911,-0.01824400000000015,0.48266825491363907,0.007867403566880172
POOLED,top_account_ratio,188,115,73,2.63689147,2.98691677,-0.3500253,0.4283502084574151,-0.10674060898783101
POOLED,global_account_ratio,188,115,73,2.54865359,2.84789804,-0.2992444500000002,0.42191780821917807,-0.10466214903065124
POOLED,taker_ratio,188,115,73,0.992068,1.027717,-0.03564900000000004,0.45729600952948185,-0.03767461806351217
POOLED,oi_change_1h,188,115,73,0.0025086098998128303,0.0026206810881568288,-0.00011207118834399843,0.4849315068493151,-0.001506837444598437
POOLED,oi_change_4h,188,115,73,-0.0011001631738550843,0.00029933152698391474,-0.001399494700838999,0.48755211435378204,-0.01692867895150266
POOLED,taker_log,188,115,73,-0.00796362565950086,0.027339837304428263,-0.035303462963929125,0.45729600952948185,-0.03767461806351217
POOLED,global_log,188,115,73,0.9355652158056089,1.0465811923470763,-0.11101597654146733,0.42191780821917807,-0.10466214903065124
POOLED,top_position_log,188,115,73,0.5797920149023407,0.5899570856119002,-0.01016507070955952,0.48266825491363907,0.007867403566880172
POOLED,sweep_taker_pressure,188,115,73,-0.2763293737403045,-0.317516045882778,0.04118667214247351,0.4905300774270399,-0.046927354772799586
POOLED,sweep_crowd_pressure,188,115,73,-0.2162142417672069,-0.30469468627751356,0.08848044451030665,0.5368671828469327,0.06791446151491587
POOLED,sweep_top_position_pressure,188,115,73,-0.04502052059210832,-0.05521762662172659,0.01019710602961827,0.5248362120309709,0.03435165949601043
POOLED,oi_trap_interaction_1h,188,115,73,6.054983036654931e-05,-4.505636073048801e-05,0.00010560619109703731,0.5475878499106611,0.018753084458646277
