partition,feature,winner_mean,loser_mean,winner_median,loser_median,smd,abs_smd,auc_oriented,n
development,aligned_ret1,6.195187221208273e-05,-4.288120499222991e-05,9.62754470129612e-06,0.0,0.017151243758859992,0.017151243758859992,0.502203111526548,40836
development,aligned_ret3,0.0002745041005159802,-0.00018823557500941685,7.696997466793976e-05,-4.419049828607857e-05,0.043706429580026566,0.043706429580026566,0.5094882004850058,40836
development,aligned_ret6,0.0005567945975549951,-0.0003836682090486246,0.000260759751454287,-0.00017802208296491262,0.06263547277817019,0.06263547277817019,0.5175197476130071,40836
development,aligned_ret12,0.0009127441358498994,-0.0006316906561396587,0.0007001696192331375,-0.00045839246314471893,0.07196137439861229,0.07196137439861229,0.5252761539693336,40836
development,aligned_ret24,0.0007021091601839677,-0.0004734858774408485,0.0005729732692798528,-0.00032312657015171053,0.03816907275471867,0.03816907275471867,0.5124486129783925,40836
development,aligned_ret48,0.0013442770314278777,-0.0008848856004074509,0.0007344810583351791,-0.0003829094686045309,0.05301445155903808,0.05301445155903808,0.5168059352752918,40836
development,eff3,0.010124044447012079,-0.006911444435923973,0.012366035281141476,-0.00797359370262783,0.025969958282011697,0.025969958282011697,0.507374107199299,40836
development,eff6,0.0172429362866902,-0.011832445303297433,0.018548945331458306,-0.013111348738008979,0.06071208623131108,0.06071208623131108,0.5178373274715753,40836
development,eff12,0.022524250632018326,-0.01546767088517219,0.02260133823511163,-0.01524169705606317,0.10532048714896682,0.10532048714896682,0.5297664244631426,40836
development,eff24,0.010978547585965285,-0.007405803083513035,0.008119142834189883,-0.004664685343865242,0.06538904444031125,0.06538904444031125,0.5171861279305988,40836
development,dirfrac3,0.5021903859815298,0.49864962690722797,0.6666666666666666,0.33333333333333337,0.013095193281017789,0.013095193281017789,0.5021350507526481,40836
development,dirfrac6,0.504370905359539,0.49716004009355164,0.5,0.5,0.03939051677917468,0.03939051677917468,0.5122281139218284,40836
development,dirfrac12,0.5054463651432631,0.49630039536696735,0.5,0.5,0.07326624702307755,0.07326624702307755,0.5231814988485644,40836
development,ema8_dist_aligned,0.04399084838511318,-0.03043602324150483,0.030807598574843484,-0.021520219743100658,0.09545849135733395,0.09545849135733395,0.5254887796048543,40836
