feature,development_smd,development_auc,development_winner_median,development_loser_median,external_smd,external_auc,external_winner_median,external_loser_median,reference_validation_smd,reference_validation_auc,reference_validation_winner_median,reference_validation_loser_median,stable,dev_abs_smd
f_taker_imbalance_6h,0.32044444206024586,0.5726654298082869,0.04978114366361064,0.04723973119912661,0.6343681789403882,0.6557539682539683,0.03924541035715334,0.021247647087237698,0.33234171628942594,0.5706521739130436,0.030915544280573304,0.032484587435517076,True,0.32044444206024586
oi_chg4h,0.690176993602211,0.7030303030303031,0.025874526998411085,0.002747813381127173,-0.30051872172167376,0.5625,0.03587108917897197,0.027730267793943497,0.19462732628558355,0.5452898550724637,0.018714132163779595,0.0171778304013408,False,0.690176993602211
oi_chg60,0.4379488661414743,0.6521212121212121,0.016212370017733235,0.006558318719072531,-0.28463489162650374,0.5416666666666666,0.015266375154762812,0.022267516355674033,0.3378978668178199,0.6213768115942029,0.013922483447739609,0.009636955078661913,False,0.4379488661414743
oi_chg15,0.40323302864367544,0.6521212121212121,0.0037841664262288077,0.00038515395246463413,-0.3147442484168819,0.548611111111111,0.003366712103247238,0.005588958590573512,0.1666831380664655,0.5652173913043478,0.0017075176805825265,0.001251344775024421,False,0.40323302864367544
break_close_pos,-0.3767138348079934,0.5757575757575758,0.7749521465682178,0.7802209823870454,0.12827637237216802,0.5049603174603174,0.8350119508100866,0.8374004791821225,-0.17170184738825137,0.552536231884058,0.7692288023876368,0.8157284419144014,False,0.3767138348079934
f_taker_imbalance_3h,0.2479672091255926,0.5584415584415585,0.06068304099784094,0.06374812998418644,0.6492309644761897,0.6418650793650793,0.0738807582706662,0.05011239253753075,0.46084843948916393,0.6322463768115942,0.05708139271938173,0.03203086013121381,False,0.2479672091255926
basis_now,-0.2243125423098445,0.5269016697588126,-0.0003522719501812821,-0.000401879874575517,-0.45028518676260587,0.625,1.219576512134779e-05,0.00030260202803977787,0.16515355530502737,0.5507246376811594,-0.0004412849054883927,-0.0004416898064945052,False,0.2243125423098445
break_range_atr,0.22177720764953124,0.6431663574520717,2.2651056999964596,1.52279564915529,-0.050027836446114055,0.5357142857142857,1.7016983359404052,1.6935483822749007,0.06529136928714635,0.532608695652174,1.5045253109262644,1.5532756607325708,False,0.22177720764953124
spot_ret_3h,0.20723922825205562,0.546691403834261,0.012988211619858525,0.012207549576605858,-0.478439252969526,0.6170634920634921,0.015830954694389887,0.023753750838377163,0.0817547529808474,0.532608695652174,0.008763213190079,0.008701790670721632,False,0.20723922825205562
prior3h_ret,0.2028439589409968,0.5485466914038343,0.012710791270649002,0.01209094327925131,-0.48675346414907544,0.6150793650793651,0.016094122273301537,0.02401912599387601,0.08490073461825724,0.536231884057971,0.008727237459606463,0.008574621959237527,False,0.2028439589409968
break_close_above_vah_atr,-0.19760276091499882,0.5015460729746444,0.5073164725650197,0.48057859117341967,-0.31034224675634947,0.5674603174603174,0.48921382557203735,0.538498094173759,0.3080880830307886,0.5253623188405797,0.3899167630987479,0.34046489191861445,False,0.19760276091499882
premium_now,-0.18500002884546637,0.5176252319109461,-0.00028642,-0.00031363,-0.49154492249281184,0.6483134920634921,0.000119315,0.00042725,-0.07177013950269623,0.5108695652173914,-0.000440175,-0.00042249,False,0.18500002884546637
spot_taker_imbalance_3h,0.18038684468323105,0.5578231292517007,0.05429522176030521,0.05428123002582241,-0.0374304557149749,0.5089285714285714,0.07219768599880771,0.07853312234585708,0.2527202439797252,0.5398550724637681,0.08041074229940726,0.06703636518238065,False,0.18038684468323105
spot_minus_fut_ret_3h,0.16371905797068736,0.510204081632653,-3.7162674843660426e-05,-4.1809059172059904e-05,0.420739692406615,0.5753968253968255,-3.536744867616015e-05,-0.00013239518550378637,-0.266402946160603,0.5869565217391304,2.172251994414509e-05,4.7640767231182934e-05,False,0.16371905797068736
f_taker_imbalance_1h,0.158931264611031,0.525664811379097,0.09291435990580821,0.09739630499514096,0.47410710205259254,0.5952380952380952,0.0822139267316927,0.06917334665458164,0.1762676735989914,0.5706521739130435,0.08850286784161432,0.08060393084521245,False,0.158931264611031
top_vs_global,-0.15244339598458814,0.5466666666666666,0.005519983633615166,0.12047398464670223,-0.09904755496182584,0.5023148148148148,-0.22101192706391243,-0.2544516779620352,0.6596363526598027,0.6684782608695652,0.5806259230503248,0.1954612029642422,False,0.15244339598458814
prior6h_ret,0.14657166033049027,0.5374149659863945,0.01676466470670568,0.016716058967779723,-0.27873177081149264,0.5704365079365079,0.019579023859773836,0.024065181203135055,-0.03178428884548943,0.5380434782608695,0.008853825205508925,0.0111142249283398,False,0.14657166033049027
top_pos_chg15,-0.1342603462691963,0.5672727272727273,-0.0008859236216939154,-0.0001158744799990008,0.07320844188615903,0.5277777777777778,0.0006857270894698314,0.000731516501418214,0.10620324602809376,0.5090579710144927,-0.0010264644445556192,-0.00043168410071758867,False,0.1342603462691963
f_qvol_rate_3h,-0.11383707096334979,0.5442176870748299,1.5581923369543658,1.3043454620509793,-0.22552449669153538,0.5823412698412699,1.1681014148609865,1.4979758678387607,-0.12305245482716701,0.532608695652174,1.6461309560613597,1.6241093130911086,False,0.11383707096334979
metrics_taker_log,0.1127324384792726,0.5672727272727273,0.0099440635067957,-0.09350221515781165,-0.7947466071240818,0.7060185185185186,-0.034654123322194474,0.08354485312019597,0.056721121694975805,0.5434782608695652,0.022877645928410954,-0.0046889760861315915,False,0.1127324384792726
spot_taker_imbalance_1h,0.09279077330790783,0.53865182436611,0.07452493979693786,0.07376998897417697,-0.31398616132092694,0.5753968253968254,0.09912420440232805,0.10128057323341,0.23618657974361223,0.5688405797101449,0.13198856613240828,0.08214628112494538,False,0.09279077330790783
f_taker_accel_1h_vs_6h,-0.0746386730257722,0.5225726654298083,0.04909507850358974,0.05466970275336691,-0.17127638902161352,0.5446428571428572,0.04053243465057821,0.04961129598030378,-0.08180205817495594,0.5072463768115942,0.05175134031263123,0.046785085584422736,False,0.0746386730257722
