clock,year,n,wins,wr,pf,expectancy,net
SHORT_0000,2020,11,5,0.45454545454545453,0.7102675052753564,-0.45277297787701565,-4.980502756647172
SHORT_0000,2021,11,9,0.8181818181818182,3.439394293567209,2.5828717283169245,28.41158901148617
SHORT_0000,2022,10,6,0.6,1.6013184491762515,0.4756617439961703,4.756617439961703
SHORT_0000,2023,11,6,0.5454545454545454,0.886252232781082,-0.09735613889569962,-1.070917527852696
SHORT_0000,2024,11,8,0.7272727272727273,1.1231201539235809,0.1578445610222885,1.7362901712451735
SHORT_0000,2025,9,7,0.7777777777777778,2.357337374712037,0.7214123580477094,6.492711222429385
SHORT_0000,2026,2,2,1.0,inf,1.957210235390539,3.914420470781078
SHORT_0300,2020,10,6,0.6,0.5354265839559186,-1.044783828629081,-10.447838286290809
SHORT_0300,2021,9,8,0.8888888888888888,2.328879197723983,2.6619615281425437,23.957653753282894
SHORT_0300,2022,14,12,0.8571428571428571,1.2175838874876868,0.2240861537236409,3.1372061521309726
SHORT_0300,2023,13,11,0.8461538461538461,1.2768444918817101,0.14004190218694448,1.8205447284302783
SHORT_0300,2024,10,8,0.8,3.2594896672085714,1.2965856628484098,12.965856628484097
SHORT_0300,2025,8,4,0.5,0.8342615431889138,-0.21262380335522701,-1.7009904268418161
SHORT_0300,2026,3,2,0.6666666666666666,0.5393745713524304,-0.815348305095505,-2.446044915286515
SHORT_0330,2020,12,7,0.5833333333333334,0.4693709425261204,-1.3255806591559798,-15.906967909871756
SHORT_0330,2021,9,6,0.6666666666666666,0.7982422838072712,-0.6984983813227872,-6.286485431905085
SHORT_0330,2022,17,13,0.7647058823529411,1.8969760808789435,1.0432131102491944,17.734622874236305
SHORT_0330,2023,16,15,0.9375,9.289462175790884,1.0467233107726026,16.74757297236164
SHORT_0330,2024,13,8,0.6153846153846154,0.7371217449921611,-0.4929579469991504,-6.408453310988955
SHORT_0330,2025,9,7,0.7777777777777778,1.7984527732517142,0.561021594971159,5.049194354740431
SHORT_0330,2026,13,9,0.6923076923076923,1.067918899966559,0.08851891801423509,1.150745934185056
SHORT_0430,2020,11,7,0.6363636363636364,0.6078849084176626,-0.8795234039604832,-9.674757443565316
SHORT_0430,2021,6,5,0.8333333333333334,2.9821062037424952,2.0619195380303306,12.371517228181983
SHORT_0430,2022,17,12,0.7058823529411765,0.7770274260636257,-0.4672440902486864,-7.943149534227669
SHORT_0430,2023,13,10,0.7692307692307693,2.199215396551838,0.3732198868585271,4.851858529160852
SHORT_0430,2024,9,7,0.7777777777777778,2.9472163494122103,1.1220449882608252,10.098404894347427
SHORT_0430,2025,9,8,0.8888888888888888,7.475780208925387,0.9252898226997489,8.32760840429774
SHORT_0430,2026,8,5,0.625,0.6657701699058448,-0.5860468030697172,-4.688374424557738
SHORT_2100,2020,17,10,0.5882352941176471,1.1207839861496414,0.13102099273983123,2.2273568765771308
SHORT_2100,2021,9,8,0.8888888888888888,2.942468796504234,2.039840347754734,18.358563129792607
SHORT_2100,2022,10,6,0.6,1.1780354711892045,0.1374878143914573,1.374878143914573
SHORT_2100,2023,8,3,0.375,0.9708555445604766,-0.01583080452149485,-0.1266464361719588
SHORT_2100,2024,10,7,0.7,1.2566422329787579,0.7335566208494964,7.3355662084949635
SHORT_2100,2025,9,9,1.0,inf,2.2490155029911127,20.241139526920016
SHORT_2100,2026,6,2,0.3333333333333333,0.3206377819012659,-1.125129162272418,-6.750774973634508
