local_date,partition,duration_regime,H,L,R,leave_ts,terminal,terminal_start,measurement_end_exclusive,preterminal_bars,preterminal_low,preterminal_low_bar_start,depth_from_H_R,lowest_level_fraction,h2,F95_reached_preterminal,F95_first_touch_bar_start,F95_first_touch_signal_ts,F95_minutes_leave_to_touch,F90_reached_preterminal,F90_first_touch_bar_start,F90_first_touch_signal_ts,F90_minutes_leave_to_touch,F85_reached_preterminal,F85_first_touch_bar_start,F85_first_touch_signal_ts,F85_minutes_leave_to_touch,F80_reached_preterminal,F80_first_touch_bar_start,F80_first_touch_signal_ts,F80_minutes_leave_to_touch,F75_reached_preterminal,F75_first_touch_bar_start,F75_first_touch_signal_ts,F75_minutes_leave_to_touch,F70_reached_preterminal,F70_first_touch_bar_start,F70_first_touch_signal_ts,F70_minutes_leave_to_touch,F65_reached_preterminal,F65_first_touch_bar_start,F65_first_touch_signal_ts,F65_minutes_leave_to_touch,F60_reached_preterminal,F60_first_touch_bar_start,F60_first_touch_signal_ts,F60_minutes_leave_to_touch,F55_reached_preterminal,F55_first_touch_bar_start,F55_first_touch_signal_ts,F55_minutes_leave_to_touch,F50_reached_preterminal,F50_first_touch_bar_start,F50_first_touch_signal_ts,F50_minutes_leave_to_touch,F45_reached_preterminal,F45_first_touch_bar_start,F45_first_touch_signal_ts,F45_minutes_leave_to_touch,F40_reached_preterminal,F40_first_touch_bar_start,F40_first_touch_signal_ts,F40_minutes_leave_to_touch,F35_reached_preterminal,F35_first_touch_bar_start,F35_first_touch_signal_ts,F35_minutes_leave_to_touch
2022-01-03,development,NORMAL_6H30,532.54,524.0,8.539999999999964,2022-01-03 14:45:00+00:00,OPPOSITE_BREAK_BEFORE_H2,2022-01-03 16:15:00+00:00,2022-01-03 16:15:00+00:00,18,525.49,2022-01-03 16:05:00+00:00,0.8255269320843073,0.17447306791569267,False,True,2022-01-03 14:45:00+00:00,2022-01-03 14:50:00+00:00,5.0,True,2022-01-03 14:45:00+00:00,2022-01-03 14:50:00+00:00,5.0,True,2022-01-03 14:45:00+00:00,2022-01-03 14:50:00+00:00,5.0,True,2022-01-03 14:45:00+00:00,2022-01-03 14:50:00+00:00,5.0,True,2022-01-03 14:45:00+00:00,2022-01-03 14:50:00+00:00,5.0,True,2022-01-03 14:45:00+00:00,2022-01-03 14:50:00+00:00,5.0,True,2022-01-03 14:45:00+00:00,2022-01-03 14:50:00+00:00,5.0,True,2022-01-03 14:45:00+00:00,2022-01-03 14:50:00+00:00,5.0,True,2022-01-03 14:45:00+00:00,2022-01-03 14:50:00+00:00,5.0,True,2022-01-03 14:50:00+00:00,2022-01-03 14:55:00+00:00,10.0,True,2022-01-03 15:05:00+00:00,2022-01-03 15:10:00+00:00,25.0,True,2022-01-03 15:05:00+00:00,2022-01-03 15:10:00+00:00,25.0,True,2022-01-03 15:50:00+00:00,2022-01-03 15:55:00+00:00,70.0
2022-01-11,development,NORMAL_6H30,458.0,442.36,15.639999999999986,2022-01-11 16:25:00+00:00,H2_ARRIVAL,2022-01-11 16:30:00+00:00,2022-01-11 16:30:00+00:00,1,455.92,2022-01-11 16:25:00+00:00,0.132992327365728,0.867007672634272,True,True,2022-01-11 16:25:00+00:00,2022-01-11 16:30:00+00:00,5.0,True,2022-01-11 16:25:00+00:00,2022-01-11 16:30:00+00:00,5.0,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,
2022-01-12,development,NORMAL_6H30,482.69,457.8,24.889999999999986,2022-01-12 14:40:00+00:00,H2_ARRIVAL,2022-01-12 15:10:00+00:00,2022-01-12 15:10:00+00:00,6,479.85,2022-01-12 14:40:00+00:00,0.114102049015668,0.885897950984332,True,True,2022-01-12 14:40:00+00:00,2022-01-12 14:45:00+00:00,5.0,True,2022-01-12 14:40:00+00:00,2022-01-12 14:45:00+00:00,5.0,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,
2022-01-27,development,NORMAL_6H30,376.94,364.77,12.170000000000016,2022-01-27 14:40:00+00:00,H2_ARRIVAL,2022-01-27 14:50:00+00:00,2022-01-27 14:50:00+00:00,2,374.1,2022-01-27 14:40:00+00:00,0.23336072308956216,0.7666392769104379,True,True,2022-01-27 14:40:00+00:00,2022-01-27 14:45:00+00:00,5.0,True,2022-01-27 14:40:00+00:00,2022-01-27 14:45:00+00:00,5.0,True,2022-01-27 14:40:00+00:00,2022-01-27 14:45:00+00:00,5.0,True,2022-01-27 14:40:00+00:00,2022-01-27 14:45:00+00:00,5.0,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,
2022-02-01,development,NORMAL_6H30,387.66,378.94,8.720000000000027,2022-02-01 17:15:00+00:00,NO_H2_BY_END,,2022-02-01 21:00:00+00:00,45,382.28,2022-02-01 19:20:00+00:00,0.6169724770642242,0.38302752293577574,False,True,2022-02-01 17:15:00+00:00,2022-02-01 17:20:00+00:00,5.0,True,2022-02-01 17:15:00+00:00,2022-02-01 17:20:00+00:00,5.0,True,2022-02-01 17:15:00+00:00,2022-02-01 17:20:00+00:00,5.0,True,2022-02-01 17:15:00+00:00,2022-02-01 17:20:00+00:00,5.0,True,2022-02-01 17:15:00+00:00,2022-02-01 17:20:00+00:00,5.0,True,2022-02-01 17:15:00+00:00,2022-02-01 17:20:00+00:00,5.0,True,2022-02-01 17:25:00+00:00,2022-02-01 17:30:00+00:00,15.0,True,2022-02-01 17:25:00+00:00,2022-02-01 17:30:00+00:00,15.0,True,2022-02-01 17:30:00+00:00,2022-02-01 17:35:00+00:00,20.0,True,2022-02-01 19:15:00+00:00,2022-02-01 19:20:00+00:00,125.0,True,2022-02-01 19:20:00+00:00,2022-02-01 19:25:00+00:00,130.0,True,2022-02-01 19:20:00+00:00,2022-02-01 19:25:00+00:00,130.0,False,,,
2022-02-14,development,NORMAL_6H30,404.03,392.72,11.309999999999945,2022-02-14 14:40:00+00:00,NO_H2_BY_END,,2022-02-14 21:00:00+00:00,76,395.62,2022-02-14 19:25:00+00:00,0.7435897435897444,0.2564102564102556,False,True,2022-02-14 14:40:00+00:00,2022-02-14 14:45:00+00:00,5.0,True,2022-02-14 14:40:00+00:00,2022-02-14 14:45:00+00:00,5.0,True,2022-02-14 14:40:00+00:00,2022-02-14 14:45:00+00:00,5.0,True,2022-02-14 14:40:00+00:00,2022-02-14 14:45:00+00:00,5.0,True,2022-02-14 14:45:00+00:00,2022-02-14 14:50:00+00:00,10.0,True,2022-02-14 15:00:00+00:00,2022-02-14 15:05:00+00:00,25.0,True,2022-02-14 15:00:00+00:00,2022-02-14 15:05:00+00:00,25.0,True,2022-02-14 15:30:00+00:00,2022-02-14 15:35:00+00:00,55.0,True,2022-02-14 18:55:00+00:00,2022-02-14 19:00:00+00:00,260.0,True,2022-02-14 19:00:00+00:00,2022-02-14 19:05:00+00:00,265.0,True,2022-02-14 19:05:00+00:00,2022-02-14 19:10:00+00:00,270.0,True,2022-02-14 19:05:00+00:00,2022-02-14 19:10:00+00:00,270.0,True,2022-02-14 19:20:00+00:00,2022-02-14 19:25:00+00:00,285.0
2022-03-18,development,DST_MISMATCH_5H30,389.54,384.01,5.53000000000003,2022-03-18 14:40:00+00:00,H2_ARRIVAL,2022-03-18 15:00:00+00:00,2022-03-18 15:00:00+00:00,4,388.16,2022-03-18 14:50:00+00:00,0.24954792043399424,0.7504520795660058,True,True,2022-03-18 14:40:00+00:00,2022-03-18 14:45:00+00:00,5.0,True,2022-03-18 14:40:00+00:00,2022-03-18 14:45:00+00:00,5.0,True,2022-03-18 14:40:00+00:00,2022-03-18 14:45:00+00:00,5.0,True,2022-03-18 14:50:00+00:00,2022-03-18 14:55:00+00:00,15.0,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,
2022-04-18,development,NORMAL_6H30,406.59,396.01,10.579999999999984,2022-04-18 13:40:00+00:00,H2_ARRIVAL,2022-04-18 14:15:00+00:00,2022-04-18 14:15:00+00:00,7,403.25,2022-04-18 13:50:00+00:00,0.31568998109640645,0.6843100189035936,True,True,2022-04-18 13:40:00+00:00,2022-04-18 13:45:00+00:00,5.0,True,2022-04-18 13:40:00+00:00,2022-04-18 13:45:00+00:00,5.0,True,2022-04-18 13:40:00+00:00,2022-04-18 13:45:00+00:00,5.0,True,2022-04-18 13:40:00+00:00,2022-04-18 13:45:00+00:00,5.0,True,2022-04-18 13:40:00+00:00,2022-04-18 13:45:00+00:00,5.0,True,2022-04-18 13:50:00+00:00,2022-04-18 13:55:00+00:00,15.0,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,
2022-04-25,development,NORMAL_6H30,394.29,381.79,12.5,2022-04-25 13:50:00+00:00,H2_ARRIVAL,2022-04-25 13:50:00+00:00,2022-04-25 13:50:00+00:00,0,394.29,,0.0,1.0,True,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,
2022-05-19,development,NORMAL_6H30,303.76,293.23,10.529999999999973,2022-05-19 13:45:00+00:00,H2_ARRIVAL,2022-05-19 14:15:00+00:00,2022-05-19 14:15:00+00:00,6,298.68,2022-05-19 13:45:00+00:00,0.4824311490978155,0.5175688509021845,True,True,2022-05-19 13:45:00+00:00,2022-05-19 13:50:00+00:00,5.0,True,2022-05-19 13:45:00+00:00,2022-05-19 13:50:00+00:00,5.0,True,2022-05-19 13:45:00+00:00,2022-05-19 13:50:00+00:00,5.0,True,2022-05-19 13:45:00+00:00,2022-05-19 13:50:00+00:00,5.0,True,2022-05-19 13:45:00+00:00,2022-05-19 13:50:00+00:00,5.0,True,2022-05-19 13:45:00+00:00,2022-05-19 13:50:00+00:00,5.0,True,2022-05-19 13:45:00+00:00,2022-05-19 13:50:00+00:00,5.0,True,2022-05-19 13:45:00+00:00,2022-05-19 13:50:00+00:00,5.0,True,2022-05-19 13:45:00+00:00,2022-05-19 13:50:00+00:00,5.0,False,,,,False,,,,False,,,,False,,,
2022-06-20,development,NORMAL_6H30,217.46,204.51,12.950000000000017,2022-06-20 14:45:00+00:00,H2_ARRIVAL,2022-06-20 14:45:00+00:00,2022-06-20 14:45:00+00:00,0,217.46,,0.0,1.0,True,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,
2022-06-22,development,NORMAL_6H30,217.29,211.0,6.289999999999992,2022-06-22 13:40:00+00:00,H2_ARRIVAL,2022-06-22 13:45:00+00:00,2022-06-22 13:45:00+00:00,1,215.8,2022-06-22 13:40:00+00:00,0.23688394276629293,0.763116057233707,True,True,2022-06-22 13:40:00+00:00,2022-06-22 13:45:00+00:00,5.0,True,2022-06-22 13:40:00+00:00,2022-06-22 13:45:00+00:00,5.0,True,2022-06-22 13:40:00+00:00,2022-06-22 13:45:00+00:00,5.0,True,2022-06-22 13:40:00+00:00,2022-06-22 13:45:00+00:00,5.0,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,
2022-07-06,development,NORMAL_6H30,238.99,233.46,5.530000000000001,2022-07-06 13:40:00+00:00,H2_ARRIVAL,2022-07-06 18:40:00+00:00,2022-07-06 18:40:00+00:00,60,235.42,2022-07-06 15:25:00+00:00,0.6455696202531683,0.35443037974683167,True,True,2022-07-06 13:40:00+00:00,2022-07-06 13:45:00+00:00,5.0,True,2022-07-06 13:40:00+00:00,2022-07-06 13:45:00+00:00,5.0,True,2022-07-06 13:40:00+00:00,2022-07-06 13:45:00+00:00,5.0,True,2022-07-06 13:40:00+00:00,2022-07-06 13:45:00+00:00,5.0,True,2022-07-06 13:40:00+00:00,2022-07-06 13:45:00+00:00,5.0,True,2022-07-06 13:40:00+00:00,2022-07-06 13:45:00+00:00,5.0,True,2022-07-06 13:40:00+00:00,2022-07-06 13:45:00+00:00,5.0,True,2022-07-06 13:40:00+00:00,2022-07-06 13:45:00+00:00,5.0,True,2022-07-06 13:40:00+00:00,2022-07-06 13:45:00+00:00,5.0,True,2022-07-06 13:45:00+00:00,2022-07-06 13:50:00+00:00,10.0,True,2022-07-06 13:45:00+00:00,2022-07-06 13:50:00+00:00,10.0,True,2022-07-06 15:25:00+00:00,2022-07-06 15:30:00+00:00,110.0,False,,,
