study,character_rule,center_lb,center_hold,formal_pass_cells,supportive_cells,supportive_pct,axial_supportive,axial_supportive_pct,median_wr,median_expectancy,median_pf,min_expectancy,max_expectancy,min_pf,max_dd_worst,plateau_status,jackknife_passes,jackknife_total,robustness_class
PRIMARY_RV_HIGH_RANGE_MID,RV_HIGH__RANGE_MID,150,300,1,2,0.2222222222222222,1,0.25,0.5327868852459017,0.2840057512571478,1.0923210680892832,-0.1034803364065678,1.0701025603085668,0.9676405577781648,173.34850002791586,SPIKE_RISK,3,3,OVERFIT_RISK_HIGH
SECONDARY_DRIVE_DOWN_STR_B60_80,DRIVE_DOWN__STR_B60_80,120,330,1,3,0.3333333333333333,1,0.25,0.5819935691318328,0.7859886313709845,1.2565645537839647,0.4345472669053062,0.9975087001454802,1.155406110171984,159.85273019001633,SPIKE_RISK,1,3,OVERFIT_RISK_HIGH
