role,partition,dev_block,execution_start,lane,horizon_min,required_closes_above_H,H,L,R,parent_entry_ts,parent_exit_ts,parent_pnl,parent_pnl_5bps,signal_ts,signal_delay_min,signal_close,reentry_ts,reentry_price,exit_ts,exit_price,exit_reason,invalidation_close_ts,recovery_pnl,recovery_pnl_5bps,combined_episode_pnl,combined_episode_pnl_5bps,rescued,rescued_5bps,parent_mae_R,scope
CENTRAL,development,0,2022-01-01 15:00:00+00:00,RC30_C2,30,2,173.37,170.52,2.8499999999999943,2022-01-01 15:25:00+00:00,2022-01-01 15:50:00+00:00,-0.2018803714598505,-0.4518803714598505,2022-01-01 16:00:00+00:00,15.0,173.94,2022-01-01 16:05:00+00:00,173.95,2022-01-01 16:25:00+00:00,174.51,TARGET,,1.6096579476860828,1.3596579476860828,1.4077775762262323,0.9077775762262323,True,True,0.12631578947368924,DEVELOPMENT_FROZEN
CENTRAL,development,0,2022-01-06 15:00:00+00:00,RC30_C2,30,2,151.09,146.22,4.8700000000000045,2022-01-06 17:05:00+00:00,2022-01-06 17:15:00+00:00,-1.0920643325170731,-1.3420643325170731,2022-01-06 17:25:00+00:00,15.0,152.14,2022-01-06 17:30:00+00:00,152.13,2022-01-06 18:10:00+00:00,153.038,TARGET,,2.984289752185676,2.734289752185676,1.8922254196686028,1.3922254196686028,True,True,0.14168377823408565,DEVELOPMENT_FROZEN
CENTRAL,development,0,2022-01-12 15:00:00+00:00,RC30_C2,30,2,147.67,139.5,8.169999999999987,2022-01-12 15:15:00+00:00,2022-01-12 15:35:00+00:00,-1.4898083564705011,-1.7398083564705011,2022-01-12 16:00:00+00:00,30.0,148.3,2022-01-12 16:05:00+00:00,148.3,2022-01-12 16:30:00+00:00,150.938,TARGET,,8.894133513148939,8.644133513148939,7.404325156678437,6.904325156678437,True,True,0.1272949816401461,DEVELOPMENT_FROZEN
CENTRAL,development,0,2022-01-20 15:00:00+00:00,RC30_C2,30,2,141.9,135.58,6.319999999999993,2022-01-20 15:00:00+00:00,2022-01-20 15:20:00+00:00,-0.21141649048628253,-0.4614164904862825,2022-01-20 15:25:00+00:00,10.0,142.72,2022-01-20 15:30:00+00:00,142.71,2022-01-20 17:35:00+00:00,141.89,FAILED_RECLAIM,2022-01-20 17:30:00+00:00,-2.8729591479224603,-3.1229591479224608,-3.084375638408743,-3.5843756384087433,False,False,0.10759493670886196,DEVELOPMENT_FROZEN
CENTRAL,development,0,2022-02-20 15:00:00+00:00,RC30_C2,30,2,90.98,87.37,3.6099999999999994,2022-02-20 17:40:00+00:00,2022-02-20 18:00:00+00:00,-0.16487140030774228,-0.4148714003077423,2022-02-20 18:05:00+00:00,10.0,91.19,2022-02-20 18:10:00+00:00,91.18,2022-02-20 18:40:00+00:00,92.424,TARGET,,6.821671419170894,6.571671419170894,6.6568000188631515,6.1568000188631515,True,True,0.08310249307479146,DEVELOPMENT_FROZEN
CENTRAL,development,0,2022-03-15 15:00:00+00:00,RC30_C2,30,2,80.84,78.94,1.9000000000000057,2022-03-15 15:15:00+00:00,2022-03-15 15:25:00+00:00,-0.5566551212271564,-0.8066551212271564,2022-03-15 15:30:00+00:00,10.0,81.02,2022-03-15 15:35:00+00:00,81.03,2022-03-15 16:15:00+00:00,81.60000000000001,TARGET,,3.5172158459829683,3.2672158459829683,2.960560724755812,2.460560724755812,True,True,0.13157894736842066,DEVELOPMENT_FROZEN
CENTRAL,development,0,2022-03-30 15:00:00+00:00,RC30_C2,30,2,120.11,110.7,9.409999999999997,2022-03-30 15:15:00+00:00,2022-03-30 15:30:00+00:00,-0.5411705936225197,-0.7911705936225197,2022-03-30 15:35:00+00:00,10.0,121.23,2022-03-30 15:40:00+00:00,121.22,2022-03-30 15:45:00+00:00,123.874,TARGET,,10.947038442501222,10.697038442501222,10.405867848878703,9.905867848878703,True,True,0.08926673751328414,DEVELOPMENT_FROZEN
CENTRAL,development,0,2022-04-17 15:00:00+00:00,RC30_C2,30,2,104.61,101.8,2.8100000000000023,2022-04-17 15:15:00+00:00,2022-04-17 15:30:00+00:00,-0.2867794665902257,-0.5367794665902257,2022-04-17 15:35:00+00:00,10.0,104.82,2022-04-17 15:40:00+00:00,104.82,2022-04-17 17:00:00+00:00,104.48,FAILED_RECLAIM,2022-04-17 16:55:00+00:00,-1.6218278954397425,-1.8718278954397425,-1.9086073620299682,-2.408607362029968,False,False,0.12455516014234663,DEVELOPMENT_FROZEN
CENTRAL,development,0,2022-05-19 15:00:00+00:00,RC30_C2,30,2,52.81,48.2,4.609999999999999,2022-05-19 15:20:00+00:00,2022-05-19 16:40:00+00:00,-1.3255065328536264,-1.5755065328536264,2022-05-19 16:45:00+00:00,10.0,52.84,2022-05-19 16:50:00+00:00,52.85,2022-05-19 17:15:00+00:00,52.77,FAILED_RECLAIM,2022-05-19 17:10:00+00:00,-0.75685903500472,-1.00685903500472,-2.0823655678583464,-2.5823655678583464,False,False,0.07375271149674695,DEVELOPMENT_FROZEN
CENTRAL,development,0,2022-06-07 15:00:00+00:00,RC30_C2,30,2,39.64,37.06,2.5799999999999983,2022-06-07 18:10:00+00:00,2022-06-07 18:20:00+00:00,-0.6306760847628046,-0.8806760847628046,2022-06-07 18:25:00+00:00,10.0,39.76,2022-06-07 18:30:00+00:00,39.76,2022-06-07 18:45:00+00:00,39.56,FAILED_RECLAIM,2022-06-07 18:40:00+00:00,-2.5150905432594906,-2.7650905432594906,-3.145766628022295,-3.645766628022295,False,False,0.1434108527131774,DEVELOPMENT_FROZEN
