partition,transition,date_utc,previous_session_start,previous_session_end,active_session_start,active_session_end,previous_session_high,previous_session_low,breakout_side,breakout_bar_start,breakout_ts,level,visit_no,visit_bar_start,visit_ts,same_visits_at_event,opp_visits_at_event
external,LONDON_TO_NEWYORK,2020-01-02,2020-01-02 08:00:00+00:00,2020-01-02 13:30:00+00:00,2020-01-02 13:30:00+00:00,2020-01-02 20:00:00+00:00,7175.0,7106.75,LOW,2020-01-02 16:45:00+00:00,2020-01-02 16:50:00+00:00,LOW,1,2020-01-02 13:50:00+00:00,2020-01-02 13:55:00+00:00,1,0
external,ASIA_TO_LONDON,2020-01-03,2020-01-03 00:00:00+00:00,2020-01-03 08:00:00+00:00,2020-01-03 08:00:00+00:00,2020-01-03 13:30:00+00:00,7300.0,6863.44,HIGH,2020-01-03 09:10:00+00:00,2020-01-03 09:15:00+00:00,HIGH,1,2020-01-03 08:40:00+00:00,2020-01-03 08:45:00+00:00,1,0
external,ASIA_TO_LONDON,2020-01-03,2020-01-03 00:00:00+00:00,2020-01-03 08:00:00+00:00,2020-01-03 08:00:00+00:00,2020-01-03 13:30:00+00:00,7300.0,6863.44,HIGH,2020-01-03 09:10:00+00:00,2020-01-03 09:15:00+00:00,HIGH,2,2020-01-03 09:05:00+00:00,2020-01-03 09:10:00+00:00,2,0
external,LONDON_TO_NEWYORK,2020-01-03,2020-01-03 08:00:00+00:00,2020-01-03 13:30:00+00:00,2020-01-03 13:30:00+00:00,2020-01-03 20:00:00+00:00,7368.33,7198.0,HIGH,2020-01-03 16:40:00+00:00,2020-01-03 16:45:00+00:00,HIGH,1,2020-01-03 13:55:00+00:00,2020-01-03 14:00:00+00:00,1,0
external,LONDON_TO_NEWYORK,2020-01-03,2020-01-03 08:00:00+00:00,2020-01-03 13:30:00+00:00,2020-01-03 13:30:00+00:00,2020-01-03 20:00:00+00:00,7368.33,7198.0,HIGH,2020-01-03 16:40:00+00:00,2020-01-03 16:45:00+00:00,HIGH,2,2020-01-03 16:10:00+00:00,2020-01-03 16:15:00+00:00,2,0
external,LONDON_TO_NEWYORK,2020-01-03,2020-01-03 08:00:00+00:00,2020-01-03 13:30:00+00:00,2020-01-03 13:30:00+00:00,2020-01-03 20:00:00+00:00,7368.33,7198.0,HIGH,2020-01-03 16:40:00+00:00,2020-01-03 16:45:00+00:00,HIGH,3,2020-01-03 16:30:00+00:00,2020-01-03 16:35:00+00:00,3,0
external,LONDON_TO_NEWYORK,2020-01-06,2020-01-06 08:00:00+00:00,2020-01-06 13:30:00+00:00,2020-01-06 13:30:00+00:00,2020-01-06 20:00:00+00:00,7576.0,7505.35,,,,HIGH,1,2020-01-06 13:50:00+00:00,2020-01-06 13:55:00+00:00,1,0
external,LONDON_TO_NEWYORK,2020-01-06,2020-01-06 08:00:00+00:00,2020-01-06 13:30:00+00:00,2020-01-06 13:30:00+00:00,2020-01-06 20:00:00+00:00,7576.0,7505.35,,,,LOW,1,2020-01-06 13:55:00+00:00,2020-01-06 14:00:00+00:00,1,1
external,ASIA_TO_LONDON,2020-01-09,2020-01-09 00:00:00+00:00,2020-01-09 08:00:00+00:00,2020-01-09 08:00:00+00:00,2020-01-09 13:30:00+00:00,8060.0,7898.0,LOW,2020-01-09 09:05:00+00:00,2020-01-09 09:10:00+00:00,LOW,1,2020-01-09 09:00:00+00:00,2020-01-09 09:05:00+00:00,1,0
external,LONDON_TO_NEWYORK,2020-01-10,2020-01-10 08:00:00+00:00,2020-01-10 13:30:00+00:00,2020-01-10 13:30:00+00:00,2020-01-10 20:00:00+00:00,7929.0,7670.0,HIGH,2020-01-10 13:35:00+00:00,2020-01-10 13:40:00+00:00,HIGH,1,2020-01-10 13:30:00+00:00,2020-01-10 13:35:00+00:00,1,0
external,ASIA_TO_LONDON,2020-01-14,2020-01-14 00:00:00+00:00,2020-01-14 08:00:00+00:00,2020-01-14 08:00:00+00:00,2020-01-14 13:30:00+00:00,8598.27,8109.02,,,,HIGH,1,2020-01-14 12:30:00+00:00,2020-01-14 12:35:00+00:00,1,0
external,ASIA_TO_LONDON,2020-01-17,2020-01-17 00:00:00+00:00,2020-01-17 08:00:00+00:00,2020-01-17 08:00:00+00:00,2020-01-17 13:30:00+00:00,9020.0,8680.0,,,,HIGH,1,2020-01-17 10:15:00+00:00,2020-01-17 10:20:00+00:00,1,0
external,LONDON_TO_NEWYORK,2020-01-17,2020-01-17 08:00:00+00:00,2020-01-17 13:30:00+00:00,2020-01-17 13:30:00+00:00,2020-01-17 20:00:00+00:00,9039.0,8800.0,LOW,2020-01-17 14:55:00+00:00,2020-01-17 15:00:00+00:00,LOW,1,2020-01-17 14:20:00+00:00,2020-01-17 14:25:00+00:00,1,0
external,ASIA_TO_LONDON,2020-01-20,2020-01-20 00:00:00+00:00,2020-01-20 08:00:00+00:00,2020-01-20 08:00:00+00:00,2020-01-20 13:30:00+00:00,8740.0,8628.06,LOW,2020-01-20 11:55:00+00:00,2020-01-20 12:00:00+00:00,LOW,1,2020-01-20 08:45:00+00:00,2020-01-20 08:50:00+00:00,1,0
external,LONDON_TO_NEWYORK,2020-01-20,2020-01-20 08:00:00+00:00,2020-01-20 13:30:00+00:00,2020-01-20 13:30:00+00:00,2020-01-20 20:00:00+00:00,8686.0,8526.06,HIGH,2020-01-20 16:00:00+00:00,2020-01-20 16:05:00+00:00,HIGH,1,2020-01-20 15:50:00+00:00,2020-01-20 15:55:00+00:00,1,0
external,ASIA_TO_LONDON,2020-01-21,2020-01-21 00:00:00+00:00,2020-01-21 08:00:00+00:00,2020-01-21 08:00:00+00:00,2020-01-21 13:30:00+00:00,8700.0,8621.27,,,,LOW,1,2020-01-21 08:10:00+00:00,2020-01-21 08:15:00+00:00,1,0
external,ASIA_TO_LONDON,2020-01-21,2020-01-21 00:00:00+00:00,2020-01-21 08:00:00+00:00,2020-01-21 08:00:00+00:00,2020-01-21 13:30:00+00:00,8700.0,8621.27,,,,LOW,2,2020-01-21 10:25:00+00:00,2020-01-21 10:30:00+00:00,2,0
external,LONDON_TO_NEWYORK,2020-01-22,2020-01-22 08:00:00+00:00,2020-01-22 13:30:00+00:00,2020-01-22 13:30:00+00:00,2020-01-22 20:00:00+00:00,8749.0,8616.09,,,,LOW,1,2020-01-22 16:35:00+00:00,2020-01-22 16:40:00+00:00,1,0
