hour_wib,character_rule,component_size,component_cells,positive_halo,positive_exp_cells,wr_min,wr_mean,exp_floor,exp_mean,pf_median,dd_max,ls_max
0,EFF_HIGH__RANGE_LOW,3,LB360/H240;LB360/H360;LB360/H480,0,3,0.578125,0.625,2.2466064571971116,2.9297193995748976,2.5275664165318035,102.47993254051357,16
0,DRIVE_DOWN__STR_B40_60,2,LB180/H240;LB240/H240,0,2,0.6122448979591837,0.6160398043514927,1.2067890186179986,1.2604838438544472,1.4286282458064274,93.21388189682477,6
1,EFF_HIGH__EXT_MID,3,LB360/H120;LB360/H240;LB360/H360,0,3,0.5614035087719298,0.5730994152046783,1.276212773339038,1.4711660953860513,1.5248326704287163,119.26411433499297,11
1,RV_LOW__RANGE_MID,3,LB60/H240;LB120/H240;LB180/H240,5,3,0.5692307692307692,0.5925914628510158,1.5314609741501606,1.7133951882139062,1.6680628482997326,85.39913731994649,8
2,EFF_LOW__RV_MID,3,LB60/H120;LB120/H120;LB180/H120,0,3,0.6375,0.6383243766907948,1.2666646264581112,1.3502558682380095,1.8820110891856032,56.59787206171144,9
2,EFF_HIGH__RV_LOW,3,LB240/H240;LB240/H360;LB240/H480,3,3,0.5566037735849056,0.5691823899371069,0.9267077224613649,1.260371835845125,1.4568870564588057,123.5169243130376,14
2,EFF_LOW__RANGE_MID,2,LB60/H120;LB120/H120,0,2,0.6571428571428571,0.6742504409171075,1.741849514162743,1.9505361733805069,2.7004993888440962,28.464698400515267,4
2,RV_LOW__RANGE_MID,2,LB180/H240;LB240/H240,0,2,0.5866666666666667,0.6221004566210045,1.131911211656304,1.3058502862385477,1.509179460126093,112.90661773842503,7
2,RV_HIGH__RANGE_MID,2,LB60/H120;LB120/H120,1,2,0.5833333333333334,0.6359289617486339,1.5293862624991497,1.5449316438946066,1.8780243177367941,53.31633868282807,8
2,DRIVE_UP__EFF_HIGH,2,LB180/H360;LB180/H480,1,2,0.5630252100840336,0.5630252100840336,2.326019872921324,2.5393918875138155,1.7456735933845846,77.38661966449493,11
2,DRIVE_UP__EXT_HIGH,2,LB240/H360;LB240/H480,2,2,0.5666666666666667,0.5666666666666667,1.9538740883569181,2.218310889038943,1.6010474992584691,97.80473626490426,8
2,DRIVE_UP__STR_B80_100,4,LB60/H480;LB120/H480;LB180/H360;LB180/H480,1,4,0.5915492957746479,0.6124543637747863,4.127831573745003,5.372438484716066,2.2930595485219425,98.91607653795904,6
2,DRIVE_DOWN__RV_LOW,3,LB120/H120;LB180/H120;LB240/H120,1,3,0.5525114155251142,0.568289649289226,0.5565573492619392,0.6955245059768501,1.4113130972020551,77.98072347999305,12
2,DRIVE_DOWN__RANGE_LOW,3,LB120/H120;LB180/H120;LB240/H120,1,3,0.5545023696682464,0.5773893181580375,0.5187912806938338,0.7970248402590707,1.6074625495269839,64.95273852054362,9
2,DRIVE_DOWN__STR_B40_60,2,LB60/H120;LB60/H240,0,2,0.625,0.63125,0.9264983149453329,1.2880764139522642,1.56812974268051,58.80411853065514,4
3,EFF_HIGH__RANGE_LOW,2,LB120/H120;LB120/H240,0,2,0.6,0.6,0.7443773356922001,0.9406839320474081,1.5675188257550354,34.841177931817,7
3,DRIVE_UP__STR_B40_60,2,LB360/H360;LB360/H480,1,2,0.620253164556962,0.6329113924050633,2.7726899215457563,2.7815719732042616,1.8431259176347639,104.76675968882009,9
3,DRIVE_UP__STR_B60_80,2,LB360/H240;LB360/H360,1,2,0.5522388059701493,0.5671641791044777,2.944681071920461,3.3066044155922647,1.9000380751353467,69.00102438639979,7
4,EFF_MID__RANGE_MID,2,LB120/H360;LB120/H480,0,2,0.5918367346938775,0.596938775510204,2.743610123444652,2.914125394087433,1.7205930757948296,103.52491285678889,5
5,EFF_MID__RV_LOW,2,LB180/H240;LB180/H360,0,2,0.5546875,0.56640625,0.6521797276130404,1.166027217392326,1.3477335580348861,119.77113540045895,10
5,EFF_HIGH__RV_HIGH,2,LB120/H120;LB180/H120,2,2,0.5765765765765766,0.5771771771771772,3.527939062103468,3.7662526664109945,2.323146875923885,120.76688786621364,10
5,RV_MID__RANGE_HIGH,2,LB240/H360;LB240/H480,0,2,0.5846153846153846,0.5846153846153846,2.9904440957708713,3.0908365079266105,2.119006011238037,84.59610595807399,7
5,DRIVE_UP__RANGE_HIGH,2,LB360/H120;LB360/H240,1,2,0.5803571428571429,0.5892857142857143,1.269237810845562,1.626766818491908,1.561938115219923,111.97553774994869,14
5,DRIVE_DOWN__STR_B80_100,4,LB180/H120;LB180/H240;LB240/H120;LB360/H120,2,4,0.5760869565217391,0.6192539372728496,7.29046467139505,8.85701506325605,4.179027749299432,102.30372446992212,9
6,EFF_LOW__RV_LOW,3,LB180/H240;LB180/H360;LB180/H480,3,3,0.5578231292517006,0.5623582766439909,0.7323564912738503,1.2898754228998004,1.390232551128717,111.74768440314497,7
6,EFF_LOW__RANGE_LOW,3,LB180/H360;LB240/H240;LB240/H360,3,3,0.5527950310559007,0.5787423279062076,1.2791359050225208,1.6474426141774081,1.4693747629415406,122.79874167163268,13
6,RV_MID__RANGE_LOW,2,LB120/H240;LB120/H360,0,2,0.5846153846153846,0.6153846153846154,0.5672353485491771,1.2509692926202904,1.441732672992594,51.339965479167034,11
6,DRIVE_DOWN__RANGE_HIGH,2,LB180/H120;LB240/H120,1,2,0.564935064935065,0.5949675324675325,1.213346054107217,1.6750585231056196,1.6741134929423513,77.88893233590514,9
6,DRIVE_DOWN__STR_B20_40,2,LB180/H360;LB180/H480,1,2,0.5753424657534246,0.595890410958904,2.369177895106331,2.46745980958322,1.885889112038269,89.52641748297539,6
6,DRIVE_DOWN__STR_B80_100,3,LB180/H120;LB240/H120;LB360/H120,1,3,0.5730337078651685,0.5946266146908202,1.5194560078304868,2.1668376414007593,1.7793307234911364,108.58142384121987,8
7,EFF_MID__RV_LOW,4,LB120/H240;LB180/H240;LB180/H360;LB180/H480,0,4,0.5625,0.6064268867924528,1.7281477398238851,2.7403939210418926,1.9236412474462377,88.11949034775529,9
7,EFF_MID__RANGE_LOW,4,LB120/H240;LB180/H240;LB180/H360;LB240/H240,1,4,0.5514018691588785,0.5904603573996098,1.0795704314650914,2.011673527217359,1.779589711769894,91.65699660177575,10
7,RV_LOW__RANGE_LOW,3,LB120/H240;LB180/H240;LB240/H240,0,3,0.5508474576271186,0.5652864056592329,1.4354533039430424,1.6321211175559907,1.536296173676157,113.7543722394825,12
7,DRIVE_UP__STR_B40_60,2,LB60/H240;LB60/H360,0,2,0.5769230769230769,0.6025641025641025,2.47596112547305,2.6984667108330576,1.7459535180581889,82.34124846385936,8
7,DRIVE_DOWN__RV_LOW,4,LB120/H240;LB180/H120;LB180/H240;LB240/H240,0,4,0.56353591160221,0.5863027272083561,1.1103625103989498,1.5214036782980065,1.6835386903594198,121.61435370300458,15
7,DRIVE_DOWN__EXT_LOW,4,LB180/H240;LB240/H240;LB240/H360;LB240/H480,2,4,0.5694444444444444,0.6175820707070707,1.4538119531209384,3.547646156697151,2.7911501031442487,105.99712758044276,8
7,DRIVE_DOWN__STR_B20_40,3,LB180/H240;LB240/H240;LB360/H240,0,3,0.5604395604395604,0.5943212774280735,1.5941884993121314,1.909669810433071,1.683101756068072,85.95927102501939,6
7,DRIVE_DOWN__STR_B40_60,3,LB240/H240;LB240/H360;LB240/H480,0,3,0.5578947368421052,0.5754385964912281,1.4731753920699355,2.3591181300496977,1.6585255319092351,110.3860937077055,8
7,DRIVE_DOWN__STR_B60_80,2,LB120/H360;LB120/H480,0,2,0.5806451612903226,0.6129032258064516,2.2658610887201767,2.6529573959292456,1.7043668919489596,100.71137449904518,5
8,EFF_LOW__RV_LOW,2,LB120/H120;LB180/H120,2,2,0.5555555555555556,0.558390022675737,0.5866882596460558,0.6271948644267227,1.34700890722444,93.67759388907744,6
8,EFF_LOW__RV_MID,2,LB120/H240;LB120/H360,0,2,0.6125,0.66875,1.4404987085686767,1.7182692868732024,1.7864645122758365,65.74354814710486,7
8,EFF_MID__RV_MID,3,LB60/H120;LB60/H240;LB60/H360,1,3,0.55,0.5566666666666668,0.7944786434794042,2.0738196982439443,1.9952487530698118,74.65283133839581,9
8,EFF_LOW__RANGE_MID,2,LB60/H240;LB120/H240,0,2,0.5774647887323944,0.5828500414250207,0.6611359613691186,0.8507021524656309,1.309671017302398,65.24109843481664,7
8,EFF_HIGH__RANGE_LOW,2,LB60/H240;LB60/H360,0,2,0.5522388059701493,0.5671641791044777,0.894467738700598,1.1612432065413743,1.4396597037777639,107.43545196362638,8
8,DRIVE_UP__EFF_LOW,3,LB120/H240;LB120/H360;LB120/H480,0,3,0.6204379562043796,0.6301703163017032,3.4159056262529415,4.012631936436098,2.395442680633036,61.6629324049494,5
8,DRIVE_UP__RV_MID,2,LB60/H120;LB60/H240,1,2,0.5539568345323741,0.5755395683453237,0.6229775955554132,1.3466625632304239,1.5384760628136935,89.60954549750294,7
8,DRIVE_UP__STR_B0_20,4,LB120/H120;LB120/H240;LB120/H360;LB120/H480,0,4,0.573170731707317,0.5975609756097561,0.7721864032719521,1.4132254095956238,1.6036302686004331,48.96544733578584,7
8,DRIVE_DOWN__EFF_LOW,2,LB180/H240;LB180/H360,0,2,0.5586206896551724,0.5620689655172414,1.8353637017180542,2.340423077547888,1.6035896653213975,102.88208476503877,7
8,DRIVE_DOWN__RANGE_LOW,3,LB180/H120;LB240/H120;LB360/H120,1,3,0.5508982035928144,0.5736394414390534,0.683226246756558,1.0136595551787793,1.469419468263276,108.56550026161969,13
8,DRIVE_DOWN__EXT_LOW,2,LB180/H240;LB180/H360,1,2,0.5680473372781065,0.5976331360946745,1.778257654248765,1.8203080664960725,1.6444870698279395,123.28652546186663,10
8,DRIVE_DOWN__STR_B20_40,4,LB240/H120;LB240/H240;LB360/H240;LB360/H360,0,4,0.55,0.5853365384615384,1.0452037691522063,1.3095141268895285,1.4912460496444964,100.43430749449435,7
8,DRIVE_DOWN__STR_B40_60,5,LB180/H120;LB180/H240;LB180/H360;LB180/H480;LB240/H360,0,5,0.5517241379310345,0.5921630094043888,0.8242144594439718,2.9882787870163154,1.979189598401273,79.35419667458046,6
9,EFF_LOW__RV_LOW,2,LB120/H120;LB180/H120,0,2,0.5740740740740741,0.5861823361823362,0.6537881885951308,0.7323552118514138,1.5371106050916938,92.42004907414074,8
9,EFF_MID__RV_LOW,2,LB360/H360;LB360/H480,0,2,0.5538461538461539,0.5538461538461539,2.576189923573919,2.6502043123349064,2.2087002102439017,104.66768844927208,13
9,EFF_LOW__RANGE_MID,2,LB120/H120;LB120/H240,1,2,0.5846153846153846,0.5923076923076923,1.5961618204215837,1.9923372003521918,1.9283358551074605,54.95985694033871,5
9,EFF_MID__RANGE_LOW,2,LB360/H360;LB360/H480,0,2,0.5503875968992248,0.562015503875969,2.013494992310168,2.0951019712734222,1.883031207164334,99.56620470731679,13
9,EFF_LOW__EXT_MID,2,LB240/H360;LB240/H480,0,2,0.5633802816901409,0.5704225352112676,2.103651485387372,2.6184031415292397,1.999098048598419,64.96612368332052,6
9,DRIVE_UP__STR_B20_40,2,LB360/H360;LB360/H480,1,2,0.5842696629213483,0.5898876404494382,2.3787588756819456,2.9325051804153803,1.8359490290685614,73.58868078461282,7
9,DRIVE_UP__STR_B60_80,2,LB180/H360;LB180/H480,0,2,0.5540540540540541,0.5540540540540541,3.183968044986331,3.832085695843805,2.160290800488797,73.13556452196893,4
10,RV_MID__RANGE_LOW,2,LB240/H360;LB360/H360,0,2,0.5970149253731343,0.6025615167406212,3.254614428494286,3.410730790693451,2.27450708575807,104.36712182741076,9
10,DRIVE_DOWN__STR_B0_20,2,LB240/H120;LB240/H240,0,2,0.5584415584415584,0.5649350649350648,1.0111533497376315,1.3599012556318475,1.6539707110408708,45.4663762411392,5
11,DRIVE_UP__EXT_HIGH,2,LB60/H480;LB120/H480,1,2,0.5548780487804879,0.5801601128256181,2.183338168756741,2.36792712009845,1.6157713003120335,99.06801336178273,9
11,DRIVE_UP__STR_B60_80,2,LB360/H240;LB360/H360,1,2,0.569620253164557,0.5822784810126582,1.7297150861673778,2.370399483287565,1.6590652472007434,118.39330369110903,12
11,DRIVE_UP__STR_B80_100,3,LB60/H480;LB120/H360;LB120/H480,2,3,0.5529411764705883,0.5719948849104859,2.3898882385412055,5.213381639894888,2.2685452466472276,121.06255108477471,8
12,EFF_HIGH__RV_MID,2,LB180/H360;LB180/H480,1,2,0.5617977528089888,0.5674157303370786,1.3503009186786992,1.9564047173960672,1.4678795001748597,109.99578762965365,8
13,EFF_LOW__RV_HIGH,3,LB120/H360;LB180/H240;LB180/H360,3,3,0.5606060606060606,0.5733421168203776,3.676809818129965,5.452893992837818,2.077247039939205,115.2857183858689,9
13,EFF_LOW__RV_HIGH,2,LB360/H240;LB360/H360,2,2,0.625,0.625,4.815197976794236,5.588643487731888,2.58140569463596,107.07245200369209,8
13,EFF_HIGH__RV_MID,3,LB240/H120;LB240/H240;LB240/H360,0,3,0.5569620253164557,0.5949367088607594,0.8021516727154783,2.684876563010542,2.8349252165873366,86.42435183384711,14
14,EFF_LOW__RV_LOW,2,LB180/H240;LB240/H240,0,2,0.5642857142857143,0.5751116071428571,1.1496450867637535,1.2390543636511722,1.4749993183711605,103.26234913211182,14
14,EFF_LOW__RV_HIGH,2,LB120/H240;LB180/H240,2,2,0.5641025641025641,0.5796703296703296,3.067035177484839,3.558780873714456,1.9294609335916824,109.53450632386783,6
14,RV_HIGH__RANGE_MID,4,LB120/H120;LB120/H240;LB180/H240;LB180/H360,1,4,0.5645161290322581,0.6330645161290323,3.9127720226644085,5.827746047749471,3.8395691772972746,122.87990198343071,8
14,DRIVE_UP__STR_B0_20,2,LB180/H240;LB240/H240,1,2,0.5903614457831325,0.591692350798543,1.0373460051526007,1.1663582870322111,1.4060206806338749,84.00149717445308,8
14,DRIVE_UP__STR_B80_100,3,LB120/H360;LB180/H360;LB240/H360,0,3,0.5612244897959183,0.5741964802115178,2.3053957468927258,3.3339377318843044,2.265765463517044,111.74336087262324,10
15,EFF_MID__RV_HIGH,2,LB120/H240;LB120/H360,2,2,0.5531914893617021,0.5585106382978724,5.39483790324263,6.584796174642846,2.525030096131887,92.10980878834329,5
15,RV_LOW__RANGE_MID,3,LB180/H120;LB180/H240;LB240/H120,1,3,0.5679012345679012,0.5994363929146539,1.3144292323110582,1.6487954417487989,2.2525024967681326,37.384507404717,8
15,RV_HIGH__RANGE_MID,2,LB60/H240;LB60/H360,2,2,0.5571428571428572,0.5857142857142857,0.7233057836000109,1.929863545001292,1.5433984291649456,69.93526555467861,8
15,RV_HIGH__RANGE_MID,3,LB180/H120;LB180/H240;LB180/H360,5,3,0.6,0.6166666666666667,2.961544918793304,3.354676579742655,2.091284920167095,85.70460761378786,7
