anchor_hour_wib,original_eligible_sessions,first_eligible_local_date,last_eligible_local_date,normalized_common_sessions,extra_vs_common_count,extra_vs_common_dates,missing_common_count,missing_common_dates
0,1095,2022-01-02,2024-12-31,1095,0,,0,
1,1095,2022-01-02,2024-12-31,1095,0,,0,
2,1095,2022-01-02,2024-12-31,1095,0,,0,
3,1095,2022-01-02,2024-12-31,1095,0,,0,
4,1095,2022-01-02,2024-12-31,1095,0,,0,
5,1095,2022-01-02,2024-12-31,1095,0,,0,
6,1095,2022-01-02,2024-12-31,1095,0,,0,
7,1096,2022-01-01,2024-12-31,1095,1,2022-01-01,0,
8,1096,2022-01-01,2024-12-31,1095,1,2022-01-01,0,
9,1096,2022-01-01,2024-12-31,1095,1,2022-01-01,0,
10,1096,2022-01-01,2024-12-31,1095,1,2022-01-01,0,
11,1096,2022-01-01,2024-12-31,1095,1,2022-01-01,0,
12,1096,2022-01-01,2024-12-31,1095,1,2022-01-01,0,
13,1096,2022-01-01,2024-12-31,1095,1,2022-01-01,0,
14,1096,2022-01-01,2024-12-31,1095,1,2022-01-01,0,
15,1096,2022-01-01,2024-12-31,1095,1,2022-01-01,0,
16,1096,2022-01-01,2024-12-31,1095,1,2022-01-01,0,
17,1096,2022-01-01,2024-12-31,1095,1,2022-01-01,0,
18,1096,2022-01-01,2024-12-31,1095,1,2022-01-01,0,
19,1096,2022-01-01,2024-12-31,1095,1,2022-01-01,0,
20,1096,2022-01-01,2024-12-31,1095,1,2022-01-01,0,
21,1096,2022-01-01,2024-12-31,1095,1,2022-01-01,0,
22,1096,2022-01-01,2024-12-31,1095,1,2022-01-01,0,
23,1096,2022-01-01,2024-12-31,1095,1,2022-01-01,0,
