partition,dev_block,ref_min,hour,execution_start,family,target_R,H,L,R,h1_ts,h1_break_ts,entry_ts,entry_price,entry_F,exit_ts,exit_price,exit_reason,return,pnl,return_5bps,pnl_5bps,won,won_5bps,h1_break_confirmed,invalidation_close_ts,candidate,role,candidate_scope
development,0,420,11,2022-01-01 11:00:00+00:00,E0_RESTING_H,0.4,174.31,170.52,3.789999999999992,2022-01-01 16:05:00+00:00,,2022-01-01 16:05:00+00:00,174.31,1.0,2022-01-01 19:00:00+00:00,175.826,TARGET,0.008697148757959905,4.3485743789799525,0.008197148757959904,4.0985743789799525,True,True,False,,A21_Z1_R420_H11,CANDIDATE,A17
development,0,420,11,2022-01-02 11:00:00+00:00,E0_RESTING_H,0.4,178.07,174.46,3.609999999999985,2022-01-02 16:55:00+00:00,2022-01-02 17:00:00+00:00,2022-01-02 16:55:00+00:00,178.07,1.0,2022-01-02 17:10:00+00:00,177.86,FAILED_BREAK,-0.0011793115067106896,-0.5896557533553448,-0.0016793115067106896,-0.8396557533553448,False,False,True,2022-01-02 17:05:00+00:00,A21_Z1_R420_H11,CANDIDATE,A17
development,0,420,11,2022-01-03 11:00:00+00:00,E0_RESTING_H,0.4,174.56,172.0,2.5600000000000023,2022-01-03 11:00:00+00:00,2022-01-03 11:00:00+00:00,2022-01-03 11:00:00+00:00,174.56,1.0,2022-01-03 11:20:00+00:00,174.52,FAILED_BREAK,-0.0002291475710356483,-0.11457378551782416,-0.0007291475710356483,-0.36457378551782416,False,False,True,2022-01-03 11:15:00+00:00,A21_Z1_R420_H11,CANDIDATE,A17
development,0,420,11,2022-01-04 11:00:00+00:00,E0_RESTING_H,0.4,170.37,166.38,3.990000000000009,2022-01-04 11:00:00+00:00,2022-01-04 11:00:00+00:00,2022-01-04 11:00:00+00:00,170.37,1.0,2022-01-04 11:10:00+00:00,170.32,FAILED_BREAK,-0.00029347889886721656,-0.14673944943360828,-0.0007934788988672166,-0.3967394494336083,False,False,True,2022-01-04 11:05:00+00:00,A21_Z1_R420_H11,CANDIDATE,A17
development,0,420,11,2022-01-06 11:00:00+00:00,E0_RESTING_H,0.4,150.96,146.22,4.740000000000009,2022-01-06 14:40:00+00:00,,2022-01-06 14:40:00+00:00,150.96,1.0,2022-01-06 18:05:00+00:00,152.85600000000002,TARGET,0.012559618441971399,6.279809220985699,0.012059618441971398,6.029809220985699,True,True,False,,A21_Z1_R420_H11,CANDIDATE,A17
development,0,420,11,2022-01-09 11:00:00+00:00,E0_RESTING_H,0.4,143.7,137.8,5.899999999999977,2022-01-09 17:00:00+00:00,2022-01-09 17:00:00+00:00,2022-01-09 17:00:00+00:00,143.7,1.0,2022-01-09 17:10:00+00:00,143.14,FAILED_BREAK,-0.0038970076548364707,-1.9485038274182354,-0.004397007654836471,-2.198503827418236,False,False,True,2022-01-09 17:05:00+00:00,A21_Z1_R420_H11,CANDIDATE,A17
development,0,420,11,2022-01-11 11:00:00+00:00,E0_RESTING_H,0.4,138.38,134.23,4.150000000000006,2022-01-11 16:05:00+00:00,2022-01-11 16:10:00+00:00,2022-01-11 16:05:00+00:00,138.38,1.0,2022-01-11 16:35:00+00:00,140.04,TARGET,0.011995953172423635,5.997976586211817,0.011495953172423634,5.747976586211817,True,True,True,,A21_Z1_R420_H11,CANDIDATE,A17
development,0,420,11,2022-01-12 11:00:00+00:00,E0_RESTING_H,0.4,144.14,138.17,5.969999999999999,2022-01-12 13:30:00+00:00,2022-01-12 13:40:00+00:00,2022-01-12 13:30:00+00:00,144.14,1.0,2022-01-12 13:50:00+00:00,146.528,TARGET,0.01656722630775631,8.283613153878155,0.01606722630775631,8.033613153878155,True,True,True,,A21_Z1_R420_H11,CANDIDATE,A17
development,0,420,11,2022-01-13 11:00:00+00:00,E0_RESTING_H,0.4,152.87,148.61,4.259999999999991,2022-01-13 12:55:00+00:00,2022-01-13 12:55:00+00:00,2022-01-13 12:55:00+00:00,152.87,1.0,2022-01-13 13:05:00+00:00,154.574,TARGET,0.011146725976319827,5.573362988159913,0.010646725976319826,5.323362988159913,True,True,True,,A21_Z1_R420_H11,CANDIDATE,A17
development,0,420,11,2022-01-15 11:00:00+00:00,E0_RESTING_H,0.4,146.32,144.5,1.8199999999999932,2022-01-15 11:35:00+00:00,2022-01-15 11:35:00+00:00,2022-01-15 11:35:00+00:00,146.32,1.0,2022-01-15 11:55:00+00:00,145.94,FAILED_BREAK,-0.0025970475669764292,-1.2985237834882146,-0.0030970475669764293,-1.5485237834882146,False,False,True,2022-01-15 11:50:00+00:00,A21_Z1_R420_H11,CANDIDATE,A17
development,0,420,11,2022-01-16 11:00:00+00:00,E0_RESTING_H,0.4,150.72,146.31,4.409999999999997,2022-01-16 14:30:00+00:00,2022-01-16 14:30:00+00:00,2022-01-16 14:30:00+00:00,150.72,1.0,2022-01-16 15:15:00+00:00,150.5,FAILED_BREAK,-0.0014596602972398731,-0.7298301486199366,-0.001959660297239873,-0.9798301486199366,False,False,True,2022-01-16 15:10:00+00:00,A21_Z1_R420_H11,CANDIDATE,A17
development,0,420,11,2022-01-18 11:00:00+00:00,E0_RESTING_H,0.4,140.8,135.81,4.990000000000009,2022-01-18 21:50:00+00:00,,2022-01-18 21:50:00+00:00,140.8,1.0,2022-01-18 22:55:00+00:00,140.8,TIME,0.0,0.0,-0.0005,-0.25,False,False,False,,A21_Z1_R420_H11,CANDIDATE,A17
development,0,420,11,2022-01-20 11:00:00+00:00,E0_RESTING_H,0.4,137.85,135.58,2.269999999999982,2022-01-20 11:05:00+00:00,2022-01-20 11:05:00+00:00,2022-01-20 11:05:00+00:00,137.85,1.0,2022-01-20 11:15:00+00:00,137.78,FAILED_BREAK,-0.0005077983315197043,-0.25389916575985216,-0.0010077983315197043,-0.5038991657598522,False,False,True,2022-01-20 11:10:00+00:00,A21_Z1_R420_H11,CANDIDATE,A17
development,0,420,11,2022-01-24 11:00:00+00:00,E0_RESTING_H,0.4,92.76,81.58,11.180000000000007,2022-01-24 20:25:00+00:00,2022-01-24 20:25:00+00:00,2022-01-24 20:25:00+00:00,92.76,1.0,2022-01-24 21:05:00+00:00,92.45,FAILED_BREAK,-0.0033419577404053546,-1.6709788702026773,-0.0038419577404053547,-1.9209788702026773,False,False,True,2022-01-24 21:00:00+00:00,A21_Z1_R420_H11,CANDIDATE,A17
development,0,420,11,2022-01-25 11:00:00+00:00,E0_RESTING_H,0.4,94.58,87.39,7.189999999999998,2022-01-25 14:35:00+00:00,,2022-01-25 14:35:00+00:00,94.58,1.0,2022-01-25 17:25:00+00:00,97.456,TARGET,0.03040812010995997,15.204060054979983,0.029908120109959968,14.954060054979983,True,True,False,,A21_Z1_R420_H11,CANDIDATE,A17
development,0,420,11,2022-01-26 11:00:00+00:00,E0_RESTING_H,0.4,97.88,93.56,4.319999999999993,2022-01-26 11:50:00+00:00,2022-01-26 11:55:00+00:00,2022-01-26 11:50:00+00:00,97.88,1.0,2022-01-26 12:05:00+00:00,97.34,FAILED_BREAK,-0.0055169595422965845,-2.7584797711482922,-0.006016959542296585,-3.0084797711482922,False,False,True,2022-01-26 12:00:00+00:00,A21_Z1_R420_H11,CANDIDATE,A17
development,0,420,11,2022-01-27 11:00:00+00:00,E0_RESTING_H,0.4,91.22,86.3,4.920000000000002,2022-01-27 11:35:00+00:00,,2022-01-27 11:35:00+00:00,91.22,1.0,2022-01-27 13:25:00+00:00,93.188,TARGET,0.021574216180662242,10.78710809033112,0.021074216180662242,10.53710809033112,True,True,False,,A21_Z1_R420_H11,CANDIDATE,A17
