source_tf,level_type,mode,partition,candidate_n,raw_wr,coverage,weekly_wr,long_n,short_n,median_hours
D1,POC,BODY,development,907,0.4178610804851158,1.0,0.4358974358974359,463,444,5.0
D1,POC,BODY,external,682,0.4178885630498534,1.0,0.4563106796116505,344,338,3.0
D1,POC,BODY,reference_validation,466,0.4227467811158798,1.0,0.37037037037037035,228,238,6.0
D1,POC,HOLD,development,1003,0.4107676969092722,1.0,0.41025641025641024,515,488,5.0
D1,POC,HOLD,external,732,0.40710382513661203,1.0,0.4174757281553398,373,359,3.0
D1,POC,HOLD,reference_validation,514,0.433852140077821,1.0,0.4074074074074074,256,258,6.0
D1,POC,RECLAIM,development,1003,0.4107676969092722,1.0,0.41025641025641024,515,488,5.0
D1,POC,RECLAIM,external,732,0.40710382513661203,1.0,0.4174757281553398,373,359,3.0
D1,POC,RECLAIM,reference_validation,514,0.433852140077821,1.0,0.4074074074074074,256,258,6.0
D1,POC,WICK,development,759,0.39920948616600793,1.0,0.3717948717948718,391,368,5.0
D1,POC,WICK,external,583,0.41852487135506006,1.0,0.46601941747572817,311,272,3.0
D1,POC,WICK,reference_validation,384,0.40625,1.0,0.41975308641975306,194,190,6.0
D1,VAH,BODY,development,770,0.42337662337662335,0.9871794871794872,0.4675324675324675,383,387,5.0
D1,VAH,BODY,external,568,0.43133802816901406,1.0,0.4368932038834951,279,289,3.0
D1,VAH,BODY,reference_validation,386,0.43005181347150256,0.9753086419753086,0.4177215189873418,197,189,6.0
D1,VAH,HOLD,development,879,0.4243458475540387,0.9935897435897436,0.4645161290322581,421,458,4.0
D1,VAH,HOLD,external,619,0.41518578352180935,1.0,0.42718446601941745,295,324,3.0
D1,VAH,HOLD,reference_validation,446,0.4327354260089686,1.0,0.4074074074074074,218,228,6.0
D1,VAH,RECLAIM,development,879,0.4243458475540387,0.9935897435897436,0.4645161290322581,421,458,4.0
D1,VAH,RECLAIM,external,619,0.41518578352180935,1.0,0.42718446601941745,295,324,3.0
D1,VAH,RECLAIM,reference_validation,446,0.4327354260089686,1.0,0.4074074074074074,218,228,6.0
D1,VAH,WICK,development,674,0.413946587537092,0.9935897435897436,0.45806451612903226,303,371,4.0
D1,VAH,WICK,external,469,0.3752665245202559,1.0,0.3883495145631068,212,257,3.0
D1,VAH,WICK,reference_validation,336,0.44047619047619047,0.9876543209876543,0.4125,164,172,6.0
D1,VAL,BODY,development,743,0.3728129205921938,0.9743589743589743,0.4144736842105263,376,367,5.0
D1,VAL,BODY,external,477,0.3857442348008386,0.9805825242718447,0.40594059405940597,241,236,2.0
D1,VAL,BODY,reference_validation,389,0.4318766066838046,0.9876543209876543,0.525,186,203,5.0
D1,VAL,HOLD,development,834,0.37290167865707435,0.9871794871794872,0.4025974025974026,442,392,5.0
D1,VAL,HOLD,external,524,0.3816793893129771,0.9902912621359223,0.4215686274509804,277,247,2.0
D1,VAL,HOLD,reference_validation,433,0.43648960739030024,0.9876543209876543,0.5375,221,212,5.0
D1,VAL,RECLAIM,development,834,0.37290167865707435,0.9871794871794872,0.4025974025974026,442,392,5.0
D1,VAL,RECLAIM,external,524,0.3816793893129771,0.9902912621359223,0.4215686274509804,277,247,2.0
D1,VAL,RECLAIM,reference_validation,433,0.43648960739030024,0.9876543209876543,0.5375,221,212,5.0
D1,VAL,WICK,development,639,0.37245696400625977,0.967948717948718,0.3708609271523179,349,290,5.0
D1,VAL,WICK,external,406,0.3866995073891626,0.9902912621359223,0.4215686274509804,233,173,2.0
D1,VAL,WICK,reference_validation,336,0.3869047619047619,0.9876543209876543,0.45,182,154,5.0
D1,VWAP,BODY,development,869,0.383199079401611,0.9935897435897436,0.38064516129032255,432,437,5.0
D1,VWAP,BODY,external,615,0.45203252032520325,1.0,0.44660194174757284,306,309,3.0
D1,VWAP,BODY,reference_validation,446,0.4125560538116592,1.0,0.4074074074074074,233,213,6.0
D1,VWAP,HOLD,development,979,0.37793667007150156,1.0,0.391025641025641,494,485,5.0
D1,VWAP,HOLD,external,672,0.44642857142857145,1.0,0.4174757281553398,335,337,3.0
D1,VWAP,HOLD,reference_validation,504,0.42658730158730157,1.0,0.4074074074074074,263,241,6.0
D1,VWAP,RECLAIM,development,979,0.37793667007150156,1.0,0.391025641025641,494,485,5.0
D1,VWAP,RECLAIM,external,672,0.44642857142857145,1.0,0.4174757281553398,335,337,3.0
D1,VWAP,RECLAIM,reference_validation,504,0.42658730158730157,1.0,0.4074074074074074,263,241,6.0
D1,VWAP,WICK,development,745,0.3906040268456376,0.9871794871794872,0.33766233766233766,382,363,5.0
D1,VWAP,WICK,external,535,0.42990654205607476,1.0,0.33980582524271846,275,260,3.0
D1,VWAP,WICK,reference_validation,389,0.42930591259640105,1.0,0.4567901234567901,196,193,6.0
H1,POC,BODY,development,10992,0.4025655021834061,1.0,0.4551282051282051,5600,5392,5.0
H1,POC,BODY,external,7263,0.39749414842351644,1.0,0.49514563106796117,3683,3580,3.0
H1,POC,BODY,reference_validation,5489,0.41738021497540534,1.0,0.4444444444444444,2756,2733,6.0
H1,POC,HOLD,development,13105,0.40022892025944296,1.0,0.46153846153846156,6698,6407,4.0
H1,POC,HOLD,external,8824,0.3975521305530372,1.0,0.46601941747572817,4529,4295,3.0
H1,POC,HOLD,reference_validation,6582,0.4155271953813431,1.0,0.5185185185185185,3343,3239,6.0
H1,POC,RECLAIM,development,13105,0.40022892025944296,1.0,0.46153846153846156,6698,6407,4.0
