phase,signature,year,trigger_n,median_saved_r,saved_positive
DISCOVERY_2020_2024,ABS_DD_025R,2020,2,-1.227168766193165,False
DISCOVERY_2020_2024,ABS_DD_025R,2021,10,-0.4687079451345748,False
DISCOVERY_2020_2024,ABS_DD_025R,2022,14,-0.7412990196078426,False
DISCOVERY_2020_2024,ABS_DD_025R,2023,15,-0.2511450381679403,False
DISCOVERY_2020_2024,ABS_DD_025R,2024,21,-0.430722891566268,False
DISCOVERY_2020_2024,ABS_DD_050R,2020,2,-0.42551892551892456,False
DISCOVERY_2020_2024,ABS_DD_050R,2021,8,-0.6198876078835487,False
DISCOVERY_2020_2024,ABS_DD_050R,2022,10,-0.8161880073674888,False
DISCOVERY_2020_2024,ABS_DD_050R,2023,9,-0.6227106227106232,False
DISCOVERY_2020_2024,ABS_DD_050R,2024,9,-1.0194778284293398,False
DISCOVERY_2020_2024,FRAC_DD_25PCT,2020,3,-0.8786324786324806,False
DISCOVERY_2020_2024,FRAC_DD_25PCT,2021,10,-0.47894505697709266,False
DISCOVERY_2020_2024,FRAC_DD_25PCT,2022,15,-0.6285714285714228,False
DISCOVERY_2020_2024,FRAC_DD_25PCT,2023,15,-0.33333333333333764,False
DISCOVERY_2020_2024,FRAC_DD_25PCT,2024,22,-0.4288389513108619,False
DISCOVERY_2020_2024,FRAC_DD_50PCT,2020,1,-1.0495726495726478,False
DISCOVERY_2020_2024,FRAC_DD_50PCT,2021,9,-0.49322493224932384,False
DISCOVERY_2020_2024,FRAC_DD_50PCT,2022,13,-0.7787878787878774,False
DISCOVERY_2020_2024,FRAC_DD_50PCT,2023,11,-0.5093167701863304,False
DISCOVERY_2020_2024,FRAC_DD_50PCT,2024,13,-0.7749689183588876,False
DISCOVERY_2020_2024,TWO_OPPOSITE_CLOSES,2020,3,-0.9282051282051285,False
DISCOVERY_2020_2024,TWO_OPPOSITE_CLOSES,2021,9,-0.4753623188405787,False
DISCOVERY_2020_2024,TWO_OPPOSITE_CLOSES,2022,13,-0.7787878787878774,False
DISCOVERY_2020_2024,TWO_OPPOSITE_CLOSES,2023,13,-0.415648854961833,False
DISCOVERY_2020_2024,TWO_OPPOSITE_CLOSES,2024,15,-0.3857677902621745,False
DISCOVERY_2020_2024,MICRO_BREAK_3BAR,2020,2,-0.6447479370703941,False
DISCOVERY_2020_2024,MICRO_BREAK_3BAR,2021,9,-0.42657004830917805,False
DISCOVERY_2020_2024,MICRO_BREAK_3BAR,2022,12,-0.8014423076923063,False
DISCOVERY_2020_2024,MICRO_BREAK_3BAR,2023,9,-0.38206106870228784,False
DISCOVERY_2020_2024,MICRO_BREAK_3BAR,2024,13,-0.430722891566268,False
