zone,partition,distance,stop_frac,winner_n,pre_survive,conservative_survive
F05,external,0.1,0.15000000000000002,4,0.0,0.0
F05,external,0.2,0.25,4,0.75,0.75
F05,external,0.3,0.35,4,1.0,1.0
F05,external,0.4,0.45,4,1.0,1.0
F05,external,0.5,0.55,4,1.0,1.0
F05,external,0.6,0.65,4,1.0,1.0
F05,development,0.1,0.15000000000000002,12,0.16666666666666666,0.16666666666666666
F05,development,0.2,0.25,12,0.5833333333333334,0.5833333333333334
F05,development,0.3,0.35,12,0.8333333333333334,0.8333333333333334
F05,development,0.4,0.45,12,0.9166666666666666,0.9166666666666666
F05,development,0.5,0.55,12,0.9166666666666666,0.9166666666666666
F05,development,0.6,0.65,12,0.9166666666666666,0.9166666666666666
F05,reference_validation,0.1,0.15000000000000002,1,0.0,0.0
F05,reference_validation,0.2,0.25,1,1.0,1.0
F05,reference_validation,0.3,0.35,1,1.0,1.0
F05,reference_validation,0.4,0.45,1,1.0,1.0
F05,reference_validation,0.5,0.55,1,1.0,1.0
F05,reference_validation,0.6,0.65,1,1.0,1.0
F05,august,0.1,0.15000000000000002,0,,
F05,august,0.2,0.25,0,,
F05,august,0.3,0.35,0,,
F05,august,0.4,0.45,0,,
F05,august,0.5,0.55,0,,
F05,august,0.6,0.65,0,,
F05,POOLED_MAJOR,0.1,0.15000000000000002,17,0.11764705882352941,0.11764705882352941
F05,POOLED_MAJOR,0.2,0.25,17,0.6470588235294118,0.6470588235294118
F05,POOLED_MAJOR,0.3,0.35,17,0.8823529411764706,0.8823529411764706
F05,POOLED_MAJOR,0.4,0.45,17,0.9411764705882353,0.9411764705882353
F05,POOLED_MAJOR,0.5,0.55,17,0.9411764705882353,0.9411764705882353
F05,POOLED_MAJOR,0.6,0.65,17,0.9411764705882353,0.9411764705882353
F10,external,0.1,0.2,4,0.75,0.75
F10,external,0.2,0.30000000000000004,4,0.75,0.75
F10,external,0.3,0.4,4,1.0,1.0
F10,external,0.4,0.5,4,1.0,1.0
F10,external,0.5,0.6,4,1.0,1.0
F10,external,0.6,0.7,4,1.0,1.0
F10,development,0.1,0.2,16,0.25,0.25
F10,development,0.2,0.30000000000000004,16,0.5,0.5
F10,development,0.3,0.4,16,0.8125,0.8125
F10,development,0.4,0.5,16,0.875,0.875
F10,development,0.5,0.6,16,0.875,0.875
F10,development,0.6,0.7,16,0.875,0.875
F10,reference_validation,0.1,0.2,2,0.0,0.0
F10,reference_validation,0.2,0.30000000000000004,2,0.5,0.5
F10,reference_validation,0.3,0.4,2,0.5,0.5
F10,reference_validation,0.4,0.5,2,1.0,1.0
F10,reference_validation,0.5,0.6,2,1.0,1.0
F10,reference_validation,0.6,0.7,2,1.0,1.0
F10,august,0.1,0.2,0,,
F10,august,0.2,0.30000000000000004,0,,
F10,august,0.3,0.4,0,,
F10,august,0.4,0.5,0,,
F10,august,0.5,0.6,0,,
F10,august,0.6,0.7,0,,
F10,POOLED_MAJOR,0.1,0.2,22,0.3181818181818182,0.3181818181818182
F10,POOLED_MAJOR,0.2,0.30000000000000004,22,0.5454545454545454,0.5454545454545454
F10,POOLED_MAJOR,0.3,0.4,22,0.8181818181818182,0.8181818181818182
F10,POOLED_MAJOR,0.4,0.5,22,0.9090909090909091,0.9090909090909091
F10,POOLED_MAJOR,0.5,0.6,22,0.9090909090909091,0.9090909090909091
F10,POOLED_MAJOR,0.6,0.7,22,0.9090909090909091,0.9090909090909091
F15,external,0.1,0.25,3,1.0,1.0
F15,external,0.2,0.35,3,1.0,1.0
F15,external,0.3,0.44999999999999996,3,1.0,1.0
F15,external,0.4,0.55,3,1.0,1.0
F15,external,0.5,0.65,3,1.0,1.0
F15,external,0.6,0.75,3,1.0,1.0
F15,development,0.1,0.25,18,0.2222222222222222,0.2222222222222222
F15,development,0.2,0.35,18,0.4444444444444444,0.4444444444444444
F15,development,0.3,0.44999999999999996,18,0.7777777777777778,0.7777777777777778
F15,development,0.4,0.55,18,0.8888888888888888,0.8888888888888888
F15,development,0.5,0.65,18,0.8888888888888888,0.8888888888888888
F15,development,0.6,0.75,18,1.0,1.0
F15,reference_validation,0.1,0.25,3,0.3333333333333333,0.3333333333333333
F15,reference_validation,0.2,0.35,3,0.3333333333333333,0.3333333333333333
F15,reference_validation,0.3,0.44999999999999996,3,0.6666666666666666,0.6666666666666666
F15,reference_validation,0.4,0.55,3,0.6666666666666666,0.6666666666666666
F15,reference_validation,0.5,0.65,3,1.0,1.0
F15,reference_validation,0.6,0.75,3,1.0,1.0
F15,august,0.1,0.25,0,,
F15,august,0.2,0.35,0,,
F15,august,0.3,0.44999999999999996,0,,
F15,august,0.4,0.55,0,,
F15,august,0.5,0.65,0,,
F15,august,0.6,0.75,0,,
F15,POOLED_MAJOR,0.1,0.25,24,0.3333333333333333,0.3333333333333333
F15,POOLED_MAJOR,0.2,0.35,24,0.5,0.5
F15,POOLED_MAJOR,0.3,0.44999999999999996,24,0.7916666666666666,0.7916666666666666
F15,POOLED_MAJOR,0.4,0.55,24,0.875,0.875
F15,POOLED_MAJOR,0.5,0.65,24,0.9166666666666666,0.9166666666666666
F15,POOLED_MAJOR,0.6,0.75,24,1.0,1.0
