feature,n23,n24,eligible,type,orientation,rule_value,auc23_raw,auc23_oriented,auc24_raw,auc24_oriented,auc24_6h_oriented,auc24_12h_oriented,fav_n23,fav_hit23,fav_lift23,fav_n24,fav_hit24,fav_lift24,positive_blocks,tier
SIDE:acceptance_beyond_prior24_atr,8690,8737,True,CONTINUOUS,HIGH,-0.6963237283897471,0.5020489076779006,0.5020489076779006,0.5026574251443083,0.5026574251443083,0.504920368092559,0.5027039318475227,1738,0.5178365937859609,0.0014262196753342948,2431,0.5084327437268614,-9.421060528924663e-05,2,NO_EDGE
SIDE:accepted_beyond_prior24,8714,8737,True,BINARY,LOW,0.0,0.4984611612086695,0.5015388387913304,0.4980002874478686,0.5019997125521314,0.5015412474668273,0.5017020897507641,8184,0.5172287390029325,0.0008183648923059117,8006,0.509617786660005,0.0010908323278543408,4,NO_EDGE
SIDE:adverse_wick_3h,8712,8734,True,CONTINUOUS,HIGH,0.40846495524329446,0.5084175899546269,0.5084175899546269,0.513091176877856,0.513091176877856,0.5127799398490831,0.5123813464932391,1743,0.5111876075731497,-0.005222766537476886,1424,0.5140449438202247,0.0055179894880740266,3,NO_EDGE
SIDE:adverse_wick_6h,8709,8731,True,CONTINUOUS,HIGH,0.3791242295961405,0.5023694893402018,0.5023694893402018,0.5117540615976568,0.5117540615976568,0.512995840468971,0.5110639195696597,1742,0.5103329506314581,-0.006077423479168509,1329,0.509405568096313,0.0008786137641623171,2,NO_EDGE
SIDE:adverse_wick_frac,8714,8736,True,CONTINUOUS,HIGH,0.4710384477182851,0.5109090070136582,0.5109090070136582,0.5161955458827926,0.5161955458827926,0.5169890151975712,0.5162969196360311,1743,0.5306942053930006,0.014283831282373982,1686,0.529655990510083,0.02112903617793238,4,NO_EDGE
SIDE:aligned_body_frac_6h,8709,8731,True,CONTINUOUS,HIGH,0.22527488841781868,0.511583730140084,0.511583730140084,0.49181334837389656,0.49181334837389656,0.49437819120201043,0.4921895858021424,1742,0.5350172215843858,0.01860684747375918,1961,0.5058643549209587,-0.002662599411191957,2,NO_EDGE
SIDE:aligned_close_frac_12h,8703,8737,True,CONTINUOUS,LOW,0.5,0.49333308907475804,0.506666910925242,0.502934101580219,0.497065898419781,0.4974914819885474,0.4967764369800499,3419,0.5229599298040363,0.006549555693409648,3411,0.5095279976546467,0.0010010433224960646,2,NO_EDGE
SIDE:aligned_close_frac_24h,8691,8737,True,CONTINUOUS,LOW,0.4583333333333333,0.4817050651126675,0.5182949348873325,0.5016985317619936,0.49830146823800636,0.5004315764878051,0.49830949776924294,1870,0.551336898395722,0.03492652428509535,1844,0.5010845986984815,-0.007442355633669129,3,NO_EDGE
SIDE:aligned_close_frac_6h,8709,8737,True,CONTINUOUS,HIGH,0.6666666666666666,0.5000892518210698,0.5000892518210698,0.48996249235123446,0.48996249235123446,0.4890174588785858,0.4896701511437839,5063,0.5182698005135296,0.0018594264029029306,5068,0.5007892659826362,-0.007737688349514493,1,NO_EDGE
SIDE:aligned_clv,8714,8736,True,CONTINUOUS,HIGH,0.6649087666346365,0.5018117650160839,0.5018117650160839,0.4843433567083228,0.4843433567083228,0.4851969692382006,0.4848864452459015,1743,0.5324153757888698,0.016005001678243147,2006,0.48205383848454636,-0.02647311584760431,1,NO_EDGE
