clock,side,partition,reference_start,execution_start,H,L,level,fraction,price,filled,fill_ts,outcome,minutes_to_h2,mae_ru,tail_frac
ALT_0330,LONG,external,2020-01-01 03:30:00+00:00,2020-01-01 09:00:00+00:00,130.67,129.75,F95,0.95,130.624,False,,H2,,,
ALT_0330,LONG,external,2020-01-01 03:30:00+00:00,2020-01-01 09:00:00+00:00,130.67,129.75,F90,0.9,130.57799999999997,True,2020-01-01 11:00:00+00:00,H2,10.0,0.052173913043465525,0.8478260869565345
ALT_0330,LONG,external,2020-01-01 03:30:00+00:00,2020-01-01 09:00:00+00:00,130.67,129.75,F85,0.85,130.53199999999998,True,2020-01-01 11:00:00+00:00,H2,10.0,0.0021739130434654808,0.8478260869565345
ALT_0330,LONG,external,2020-01-01 03:30:00+00:00,2020-01-01 09:00:00+00:00,130.67,129.75,F80,0.8,130.486,False,,H2,,,
ALT_0330,LONG,external,2020-01-01 03:30:00+00:00,2020-01-01 09:00:00+00:00,130.67,129.75,F75,0.75,130.44,False,,H2,,,
SHORT_2000,SHORT,external,2020-01-01 20:00:00+00:00,2020-01-02 01:30:00+00:00,132.25,129.54,F05,0.05,129.6755,False,,H2,,,
SHORT_2000,SHORT,external,2020-01-01 20:00:00+00:00,2020-01-02 01:30:00+00:00,132.25,129.54,F10,0.1,129.81099999999998,False,,H2,,,
SHORT_2000,SHORT,external,2020-01-01 20:00:00+00:00,2020-01-02 01:30:00+00:00,132.25,129.54,F15,0.15,129.9465,False,,H2,,,
SHORT_2000,SHORT,external,2020-01-01 20:00:00+00:00,2020-01-02 01:30:00+00:00,132.25,129.54,F20,0.2,130.082,False,,H2,,,
SHORT_2000,SHORT,external,2020-01-01 20:00:00+00:00,2020-01-02 01:30:00+00:00,132.25,129.54,F25,0.25,130.2175,False,,H2,,,
ALT_0330,LONG,external,2020-01-02 03:30:00+00:00,2020-01-02 09:00:00+00:00,130.22,128.67,F95,0.95,130.14249999999998,False,,NO_H2,,,
ALT_0330,LONG,external,2020-01-02 03:30:00+00:00,2020-01-02 09:00:00+00:00,130.22,128.67,F90,0.9,130.065,True,2020-01-02 10:25:00+00:00,NO_H2,,0.822580645161288,0.07741935483871204
ALT_0330,LONG,external,2020-01-02 03:30:00+00:00,2020-01-02 09:00:00+00:00,130.22,128.67,F85,0.85,129.9875,True,2020-01-02 10:25:00+00:00,NO_H2,,0.772580645161288,0.07741935483871204
ALT_0330,LONG,external,2020-01-02 03:30:00+00:00,2020-01-02 09:00:00+00:00,130.22,128.67,F80,0.8,129.91,True,2020-01-02 10:30:00+00:00,NO_H2,,0.722580645161288,0.07741935483871204
ALT_0330,LONG,external,2020-01-02 03:30:00+00:00,2020-01-02 09:00:00+00:00,130.22,128.67,F75,0.75,129.83249999999998,True,2020-01-02 10:35:00+00:00,NO_H2,,0.6725806451612879,0.07741935483871204
RAW_0530,LONG,external,2020-01-06 05:30:00+00:00,2020-01-06 11:00:00+00:00,142.48,138.47,F95,0.95,142.27949999999998,False,,H2,,,
RAW_0530,LONG,external,2020-01-06 05:30:00+00:00,2020-01-06 11:00:00+00:00,142.48,138.47,F90,0.9,142.07899999999998,False,,H2,,,
RAW_0530,LONG,external,2020-01-06 05:30:00+00:00,2020-01-06 11:00:00+00:00,142.48,138.47,F85,0.85,141.8785,False,,H2,,,
RAW_0530,LONG,external,2020-01-06 05:30:00+00:00,2020-01-06 11:00:00+00:00,142.48,138.47,F80,0.8,141.678,False,,H2,,,
RAW_0530,LONG,external,2020-01-06 05:30:00+00:00,2020-01-06 11:00:00+00:00,142.48,138.47,F75,0.75,141.4775,False,,H2,,,
RAW_0530,LONG,external,2020-01-07 05:30:00+00:00,2020-01-07 11:00:00+00:00,143.45,142.39,F95,0.95,143.397,False,,H2,,,
RAW_0530,LONG,external,2020-01-07 05:30:00+00:00,2020-01-07 11:00:00+00:00,143.45,142.39,F90,0.9,143.344,False,,H2,,,
RAW_0530,LONG,external,2020-01-07 05:30:00+00:00,2020-01-07 11:00:00+00:00,143.45,142.39,F85,0.85,143.291,False,,H2,,,
RAW_0530,LONG,external,2020-01-07 05:30:00+00:00,2020-01-07 11:00:00+00:00,143.45,142.39,F80,0.8,143.238,False,,H2,,,
RAW_0530,LONG,external,2020-01-07 05:30:00+00:00,2020-01-07 11:00:00+00:00,143.45,142.39,F75,0.75,143.185,False,,H2,,,
LONDON,LONG,external,2020-01-10 08:00:00+00:00,2020-01-10 13:30:00+00:00,139.99,135.3,F95,0.95,139.7555,False,,H2,,,
LONDON,LONG,external,2020-01-10 08:00:00+00:00,2020-01-10 13:30:00+00:00,139.99,135.3,F90,0.9,139.52100000000002,False,,H2,,,
LONDON,LONG,external,2020-01-10 08:00:00+00:00,2020-01-10 13:30:00+00:00,139.99,135.3,F85,0.85,139.28650000000002,False,,H2,,,
LONDON,LONG,external,2020-01-10 08:00:00+00:00,2020-01-10 13:30:00+00:00,139.99,135.3,F80,0.8,139.05200000000002,False,,H2,,,
LONDON,LONG,external,2020-01-10 08:00:00+00:00,2020-01-10 13:30:00+00:00,139.99,135.3,F75,0.75,138.8175,False,,H2,,,
SHORT_2000,SHORT,external,2020-01-12 20:00:00+00:00,2020-01-13 01:30:00+00:00,147.0,144.3,F05,0.05,144.435,False,,H2,,,
SHORT_2000,SHORT,external,2020-01-12 20:00:00+00:00,2020-01-13 01:30:00+00:00,147.0,144.3,F10,0.1,144.57000000000002,False,,H2,,,
SHORT_2000,SHORT,external,2020-01-12 20:00:00+00:00,2020-01-13 01:30:00+00:00,147.0,144.3,F15,0.15,144.705,False,,H2,,,
SHORT_2000,SHORT,external,2020-01-12 20:00:00+00:00,2020-01-13 01:30:00+00:00,147.0,144.3,F20,0.2,144.84,False,,H2,,,
SHORT_2000,SHORT,external,2020-01-12 20:00:00+00:00,2020-01-13 01:30:00+00:00,147.0,144.3,F25,0.25,144.97500000000002,False,,H2,,,
ALT_0330,LONG,external,2020-01-13 03:30:00+00:00,2020-01-13 09:00:00+00:00,144.07,142.32,F95,0.95,143.9825,False,,NO_H2,,,
ALT_0330,LONG,external,2020-01-13 03:30:00+00:00,2020-01-13 09:00:00+00:00,144.07,142.32,F90,0.9,143.89499999999998,True,2020-01-13 11:15:00+00:00,NO_H2,,0.7971428571428533,0.10285714285714675
ALT_0330,LONG,external,2020-01-13 03:30:00+00:00,2020-01-13 09:00:00+00:00,144.07,142.32,F85,0.85,143.8075,True,2020-01-13 11:15:00+00:00,NO_H2,,0.7471428571428532,0.10285714285714675
ALT_0330,LONG,external,2020-01-13 03:30:00+00:00,2020-01-13 09:00:00+00:00,144.07,142.32,F80,0.8,143.72,True,2020-01-13 11:15:00+00:00,NO_H2,,0.6971428571428533,0.10285714285714675
ALT_0330,LONG,external,2020-01-13 03:30:00+00:00,2020-01-13 09:00:00+00:00,144.07,142.32,F75,0.75,143.6325,True,2020-01-13 11:20:00+00:00,NO_H2,,0.6471428571428532,0.10285714285714675
RAW_2330,LONG,external,2020-01-13 23:30:00+00:00,2020-01-14 05:00:00+00:00,150.78,143.45,F95,0.95,150.4135,False,,H2,,,
RAW_2330,LONG,external,2020-01-13 23:30:00+00:00,2020-01-14 05:00:00+00:00,150.78,143.45,F90,0.9,150.047,False,,H2,,,
RAW_2330,LONG,external,2020-01-13 23:30:00+00:00,2020-01-14 05:00:00+00:00,150.78,143.45,F85,0.85,149.6805,False,,H2,,,
RAW_2330,LONG,external,2020-01-13 23:30:00+00:00,2020-01-14 05:00:00+00:00,150.78,143.45,F80,0.8,149.314,False,,H2,,,
RAW_2330,LONG,external,2020-01-13 23:30:00+00:00,2020-01-14 05:00:00+00:00,150.78,143.45,F75,0.75,148.9475,False,,H2,,,
ALT_0330,LONG,external,2020-01-14 03:30:00+00:00,2020-01-14 09:00:00+00:00,150.78,147.22,F95,0.95,150.602,False,,H2,,,
ALT_0330,LONG,external,2020-01-14 03:30:00+00:00,2020-01-14 09:00:00+00:00,150.78,147.22,F90,0.9,150.424,False,,H2,,,
ALT_0330,LONG,external,2020-01-14 03:30:00+00:00,2020-01-14 09:00:00+00:00,150.78,147.22,F85,0.85,150.246,False,,H2,,,
ALT_0330,LONG,external,2020-01-14 03:30:00+00:00,2020-01-14 09:00:00+00:00,150.78,147.22,F80,0.8,150.068,False,,H2,,,
ALT_0330,LONG,external,2020-01-14 03:30:00+00:00,2020-01-14 09:00:00+00:00,150.78,147.22,F75,0.75,149.89,False,,H2,,,
ALT_0330,LONG,external,2020-01-16 03:30:00+00:00,2020-01-16 09:00:00+00:00,162.8,159.38,F95,0.95,162.62900000000002,False,,H2,,,
ALT_0330,LONG,external,2020-01-16 03:30:00+00:00,2020-01-16 09:00:00+00:00,162.8,159.38,F90,0.9,162.458,False,,H2,,,
ALT_0330,LONG,external,2020-01-16 03:30:00+00:00,2020-01-16 09:00:00+00:00,162.8,159.38,F85,0.85,162.287,True,2020-01-16 11:25:00+00:00,H2,5.0,0.18333333333333612,0.6666666666666639
ALT_0330,LONG,external,2020-01-16 03:30:00+00:00,2020-01-16 09:00:00+00:00,162.8,159.38,F80,0.8,162.116,True,2020-01-16 11:25:00+00:00,H2,5.0,0.1333333333333362,0.6666666666666639
ALT_0330,LONG,external,2020-01-16 03:30:00+00:00,2020-01-16 09:00:00+00:00,162.8,159.38,F75,0.75,161.945,True,2020-01-16 11:25:00+00:00,H2,5.0,0.08333333333333615,0.6666666666666639
RAW_0530,LONG,external,2020-01-16 05:30:00+00:00,2020-01-16 11:00:00+00:00,162.8,159.82,F95,0.95,162.651,False,,H2,,,
RAW_0530,LONG,external,2020-01-16 05:30:00+00:00,2020-01-16 11:00:00+00:00,162.8,159.82,F90,0.9,162.502,False,,H2,,,
RAW_0530,LONG,external,2020-01-16 05:30:00+00:00,2020-01-16 11:00:00+00:00,162.8,159.82,F85,0.85,162.353,False,,H2,,,
RAW_0530,LONG,external,2020-01-16 05:30:00+00:00,2020-01-16 11:00:00+00:00,162.8,159.82,F80,0.8,162.204,True,2020-01-16 11:25:00+00:00,H2,5.0,0.1825503355704725,0.6174496644295275
RAW_0530,LONG,external,2020-01-16 05:30:00+00:00,2020-01-16 11:00:00+00:00,162.8,159.82,F75,0.75,162.055,True,2020-01-16 11:25:00+00:00,H2,5.0,0.13255033557047247,0.6174496644295275
LONDON,LONG,external,2020-01-24 08:00:00+00:00,2020-01-24 13:30:00+00:00,162.15,155.72,F95,0.95,161.82850000000002,True,2020-01-24 14:25:00+00:00,H2,5.0,0.044867807153967765,0.9051321928460322
LONDON,LONG,external,2020-01-24 08:00:00+00:00,2020-01-24 13:30:00+00:00,162.15,155.72,F90,0.9,161.507,False,,H2,,,
LONDON,LONG,external,2020-01-24 08:00:00+00:00,2020-01-24 13:30:00+00:00,162.15,155.72,F85,0.85,161.1855,False,,H2,,,
LONDON,LONG,external,2020-01-24 08:00:00+00:00,2020-01-24 13:30:00+00:00,162.15,155.72,F80,0.8,160.864,False,,H2,,,
LONDON,LONG,external,2020-01-24 08:00:00+00:00,2020-01-24 13:30:00+00:00,162.15,155.72,F75,0.75,160.54250000000002,False,,H2,,,
LONDON,LONG,external,2020-02-04 08:00:00+00:00,2020-02-04 13:30:00+00:00,188.6,184.71,F95,0.95,188.4055,False,,H2,,,
LONDON,LONG,external,2020-02-04 08:00:00+00:00,2020-02-04 13:30:00+00:00,188.6,184.71,F90,0.9,188.21099999999998,True,2020-02-04 15:35:00+00:00,H2,5.0,0.1442159383033399,0.7557840616966601
LONDON,LONG,external,2020-02-04 08:00:00+00:00,2020-02-04 13:30:00+00:00,188.6,184.71,F85,0.85,188.0165,True,2020-02-04 15:35:00+00:00,H2,5.0,0.09421593830333985,0.7557840616966601
LONDON,LONG,external,2020-02-04 08:00:00+00:00,2020-02-04 13:30:00+00:00,188.6,184.71,F80,0.8,187.822,True,2020-02-04 15:35:00+00:00,H2,5.0,0.04421593830333992,0.7557840616966601
LONDON,LONG,external,2020-02-04 08:00:00+00:00,2020-02-04 13:30:00+00:00,188.6,184.71,F75,0.75,187.6275,True,2020-02-04 15:30:00+00:00,H2,10.0,0.07390745501285223,0.6760925449871478
SHORT_2000,SHORT,external,2020-02-10 20:00:00+00:00,2020-02-11 01:30:00+00:00,225.48,218.97,F05,0.05,219.2955,True,2020-02-11 03:45:00+00:00,H2,20.0,0.14662058371735837,0.19662058371735835
SHORT_2000,SHORT,external,2020-02-10 20:00:00+00:00,2020-02-11 01:30:00+00:00,225.48,218.97,F10,0.1,219.621,True,2020-02-11 03:35:00+00:00,H2,30.0,0.11658986175115185,0.21658986175115186
SHORT_2000,SHORT,external,2020-02-10 20:00:00+00:00,2020-02-11 01:30:00+00:00,225.48,218.97,F15,0.15,219.9465,True,2020-02-11 03:20:00+00:00,H2,45.0,0.13878648233486915,0.28878648233486914
SHORT_2000,SHORT,external,2020-02-10 20:00:00+00:00,2020-02-11 01:30:00+00:00,225.48,218.97,F20,0.2,220.272,True,2020-02-11 03:20:00+00:00,H2,45.0,0.08878648233486913,0.28878648233486914
SHORT_2000,SHORT,external,2020-02-10 20:00:00+00:00,2020-02-11 01:30:00+00:00,225.48,218.97,F25,0.25,220.5975,True,2020-02-11 03:30:00+00:00,H2,35.0,0.03878648233486914,0.28878648233486914
RAW_0530,LONG,external,2020-02-11 05:30:00+00:00,2020-02-11 11:00:00+00:00,222.85,218.64,F95,0.95,222.6395,False,,H2,,,
RAW_0530,LONG,external,2020-02-11 05:30:00+00:00,2020-02-11 11:00:00+00:00,222.85,218.64,F90,0.9,222.429,False,,H2,,,
RAW_0530,LONG,external,2020-02-11 05:30:00+00:00,2020-02-11 11:00:00+00:00,222.85,218.64,F85,0.85,222.2185,False,,H2,,,
RAW_0530,LONG,external,2020-02-11 05:30:00+00:00,2020-02-11 11:00:00+00:00,222.85,218.64,F80,0.8,222.00799999999998,False,,H2,,,
RAW_0530,LONG,external,2020-02-11 05:30:00+00:00,2020-02-11 11:00:00+00:00,222.85,218.64,F75,0.75,221.79749999999999,False,,H2,,,
ALT_0330,LONG,external,2020-02-14 03:30:00+00:00,2020-02-14 09:00:00+00:00,269.1,260.53,F95,0.95,268.67150000000004,True,2020-02-14 09:55:00+00:00,H2,5.0,0.10169194865811004,0.8483080513418899
ALT_0330,LONG,external,2020-02-14 03:30:00+00:00,2020-02-14 09:00:00+00:00,269.1,260.53,F90,0.9,268.243,True,2020-02-14 09:45:00+00:00,H2,15.0,0.08786464410735173,0.8121353558926483
ALT_0330,LONG,external,2020-02-14 03:30:00+00:00,2020-02-14 09:00:00+00:00,269.1,260.53,F85,0.85,267.8145,True,2020-02-14 09:45:00+00:00,H2,15.0,0.037864644107351686,0.8121353558926483
ALT_0330,LONG,external,2020-02-14 03:30:00+00:00,2020-02-14 09:00:00+00:00,269.1,260.53,F80,0.8,267.386,False,,H2,,,
ALT_0330,LONG,external,2020-02-14 03:30:00+00:00,2020-02-14 09:00:00+00:00,269.1,260.53,F75,0.75,266.9575,False,,H2,,,
ALT_0330,LONG,external,2020-02-17 03:30:00+00:00,2020-02-17 09:00:00+00:00,254.0,242.32,F95,0.95,253.416,True,2020-02-17 09:15:00+00:00,H2,335.0,0.8917808219178076,0.05821917808219233
ALT_0330,LONG,external,2020-02-17 03:30:00+00:00,2020-02-17 09:00:00+00:00,254.0,242.32,F90,0.9,252.832,True,2020-02-17 09:15:00+00:00,H2,335.0,0.8417808219178077,0.05821917808219233
ALT_0330,LONG,external,2020-02-17 03:30:00+00:00,2020-02-17 09:00:00+00:00,254.0,242.32,F85,0.85,252.248,True,2020-02-17 09:20:00+00:00,H2,330.0,0.7917808219178076,0.05821917808219233
ALT_0330,LONG,external,2020-02-17 03:30:00+00:00,2020-02-17 09:00:00+00:00,254.0,242.32,F80,0.8,251.664,True,2020-02-17 09:20:00+00:00,H2,330.0,0.7417808219178077,0.05821917808219233
ALT_0330,LONG,external,2020-02-17 03:30:00+00:00,2020-02-17 09:00:00+00:00,254.0,242.32,F75,0.75,251.07999999999998,True,2020-02-17 09:25:00+00:00,H2,325.0,0.6917808219178077,0.05821917808219233
LONDON,LONG,external,2020-02-17 08:00:00+00:00,2020-02-17 13:30:00+00:00,254.0,243.0,F95,0.95,253.45,False,,H2,,,
