event_id,local_date,year,weekday,H,L,R,P10_level,leave_ts,signal_bar_start_utc,signal_bar_close_utc,signal_first_high,signal_first_close,signal_close_depth_R,entry_time_utc,raw_entry_price,exit_time_utc,raw_exit_price,exit_reason,target_touched,ambiguous_target_invalidation,invalidation_signal_start_utc,raw_return_before_fee_slippage
2022-01-14,2022-01-14,2022,Friday,478.67,468.62,10.050000000000011,477.665,2022-01-13 22:20:00+00:00,2022-01-13 22:20:00+00:00,2022-01-13 22:25:00+00:00,478.37,478.05,0.061691542288557596,2022-01-13 22:25:00+00:00,478.0,2022-01-14 00:35:00+00:00,478.67,TARGET_H,True,False,,0.0014016736401674112
2022-04-13,2022-04-13,2022,Wednesday,412.99,406.4,6.590000000000032,412.331,2022-04-12 23:10:00+00:00,2022-04-12 23:10:00+00:00,2022-04-12 23:15:00+00:00,412.77,412.48,0.07738998482549142,2022-04-12 23:15:00+00:00,412.48,2022-04-12 23:20:00+00:00,412.99,TARGET_H,True,False,,0.0012364235841737514
2022-05-06,2022-05-06,2022,Friday,378.39,370.0,8.389999999999986,377.551,2022-05-05 23:25:00+00:00,2022-05-05 23:25:00+00:00,2022-05-05 23:30:00+00:00,377.8,377.58,0.09654350417163332,2022-05-05 23:30:00+00:00,377.56,2022-05-05 23:50:00+00:00,378.39,TARGET_H,True,False,,0.0021983260938658322
2022-06-15,2022-06-15,2022,Wednesday,223.83,214.28,9.550000000000011,222.875,2022-06-14 23:45:00+00:00,2022-06-14 23:45:00+00:00,2022-06-14 23:50:00+00:00,223.5,223.12,0.07434554973822063,2022-06-14 23:50:00+00:00,223.11,2022-06-14 23:50:00+00:00,223.83,TARGET_H,True,False,,0.0032271077047196783
2022-09-08,2022-09-08,2022,Thursday,280.68,268.52,12.160000000000025,279.464,2022-09-08 02:40:00+00:00,2022-09-08 02:40:00+00:00,2022-09-08 02:45:00+00:00,280.07,279.83,0.06990131578947541,2022-09-08 02:45:00+00:00,279.83,2022-09-08 03:00:00+00:00,279.87,SESSION_END_1000,False,False,,0.0001429439302433888
2022-09-15,2022-09-15,2022,Thursday,279.27,273.0,6.269999999999982,278.643,2022-09-14 22:25:00+00:00,2022-09-14 22:25:00+00:00,2022-09-14 22:30:00+00:00,278.96,278.71,0.0893141945773531,2022-09-14 22:30:00+00:00,278.72,2022-09-14 22:35:00+00:00,279.27,TARGET_H,True,False,,0.0019733065442018027
2022-10-06,2022-10-06,2022,Thursday,294.77,292.06,2.7099999999999795,294.49899999999997,2022-10-06 00:25:00+00:00,2022-10-06 00:25:00+00:00,2022-10-06 00:30:00+00:00,294.64,294.6,0.06273062730625843,2022-10-06 00:30:00+00:00,294.6,2022-10-06 00:30:00+00:00,294.77,TARGET_H,True,False,,0.0005770536320433006
2022-12-28,2022-12-28,2022,Wednesday,246.34,244.34,2.0,246.14000000000001,2022-12-27 23:20:00+00:00,2022-12-27 23:20:00+00:00,2022-12-27 23:25:00+00:00,246.33,246.28,0.030000000000001137,2022-12-27 23:25:00+00:00,246.28,2022-12-27 23:25:00+00:00,246.34,TARGET_H,True,False,,0.00024362514211473396
2023-02-16,2023-02-16,2023,Thursday,317.28,301.85,15.42999999999995,315.73699999999997,2023-02-15 22:45:00+00:00,2023-02-15 22:45:00+00:00,2023-02-15 22:50:00+00:00,316.99,316.66,0.04018146467919311,2023-02-15 22:50:00+00:00,316.67,2023-02-15 23:10:00+00:00,317.28,TARGET_H,True,False,,0.001926295512678644
2023-03-26,2023-03-26,2023,Sunday,323.82,318.86,4.9599999999999795,323.324,2023-03-26 02:25:00+00:00,2023-03-26 02:25:00+00:00,2023-03-26 02:30:00+00:00,323.55,323.4,0.08467741935484227,2023-03-26 02:30:00+00:00,323.41,2023-03-26 03:00:00+00:00,323.48,SESSION_END_1000,False,False,,0.000216443523700649
2023-04-01,2023-04-01,2023,Saturday,317.29,314.79,2.5,317.04,2023-03-31 22:50:00+00:00,2023-03-31 22:50:00+00:00,2023-03-31 22:55:00+00:00,317.05,317.05,0.09600000000000364,2023-03-31 22:55:00+00:00,317.04,2023-04-01 00:20:00+00:00,317.29,TARGET_H,True,False,,0.0007885440322987769
2023-04-03,2023-04-03,2023,Monday,313.63,310.36,3.269999999999982,313.303,2023-04-02 23:45:00+00:00,2023-04-02 23:45:00+00:00,2023-04-02 23:50:00+00:00,313.53,313.45,0.05504587155963542,2023-04-02 23:50:00+00:00,313.44,2023-04-03 00:00:00+00:00,313.63,TARGET_H,True,False,,0.0006061766207248187
2023-05-09,2023-05-09,2023,Tuesday,313.42,310.0,3.420000000000016,313.07800000000003,2023-05-08 23:35:00+00:00,2023-05-08 23:35:00+00:00,2023-05-08 23:40:00+00:00,313.33,313.32,0.02923976608187786,2023-05-08 23:40:00+00:00,313.32,2023-05-08 23:50:00+00:00,313.42,TARGET_H,True,False,,0.0003191625175540391
2023-07-08,2023-07-08,2023,Saturday,235.48,233.49,1.9899999999999807,235.281,2023-07-07 22:40:00+00:00,2023-07-07 22:40:00+00:00,2023-07-07 22:45:00+00:00,235.4,235.32,0.08040201005025033,2023-07-07 22:45:00+00:00,235.31,2023-07-07 22:50:00+00:00,235.48,TARGET_H,True,False,,0.0007224512345416212
2023-08-03,2023-08-03,2023,Thursday,242.25,240.37,1.8799999999999955,242.062,2023-08-02 22:20:00+00:00,2023-08-02 22:20:00+00:00,2023-08-02 22:25:00+00:00,242.12,242.1,0.0797872340425564,2023-08-02 22:25:00+00:00,242.1,2023-08-03 01:00:00+00:00,240.09,CLOSE_BELOW_L_NEXT_OPEN,False,False,2023-08-03 00:55:00+00:00,-0.008302354399008616
2023-09-02,2023-09-02,2023,Saturday,215.03,211.51,3.5200000000000102,214.678,2023-09-02 01:25:00+00:00,2023-09-02 01:25:00+00:00,2023-09-02 01:30:00+00:00,214.85,214.77,0.07386363636363356,2023-09-02 01:30:00+00:00,214.78,2023-09-02 01:40:00+00:00,215.03,TARGET_H,True,False,,0.0011639817487660853
2023-10-08,2023-10-08,2023,Sunday,212.55,211.63,0.9200000000000159,212.458,2023-10-08 01:50:00+00:00,2023-10-08 01:50:00+00:00,2023-10-08 01:55:00+00:00,212.52,212.48,0.0760869565217613,2023-10-08 01:55:00+00:00,212.49,2023-10-08 01:55:00+00:00,212.55,TARGET_H,True,False,,0.0002823662289990203
2023-11-21,2023-11-21,2023,Tuesday,263.76,250.85,12.909999999999997,262.469,2023-11-21 01:20:00+00:00,2023-11-21 01:20:00+00:00,2023-11-21 01:25:00+00:00,263.5,262.88,0.0681642137877611,2023-11-21 01:25:00+00:00,262.89,2023-11-21 01:25:00+00:00,263.76,TARGET_H,True,False,,0.003309368937578494
2023-12-24,2023-12-24,2023,Sunday,271.22,269.16,2.0600000000000023,271.014,2023-12-23 22:35:00+00:00,2023-12-23 22:35:00+00:00,2023-12-23 22:40:00+00:00,271.06,271.06,0.07766990291263341,2023-12-23 22:40:00+00:00,271.05,2023-12-23 22:45:00+00:00,271.22,TARGET_H,True,False,,0.0006271905552481805
