fraction,n,good,precision,recall
0.05,57,6,0.10526315789473684,0.04195804195804196
0.1,114,35,0.30701754385964913,0.24475524475524477
0.2,228,123,0.5394736842105263,0.8601398601398601
0.3,342,123,0.35964912280701755,0.8601398601398601
