entry_ts,exit_ts,clock,gross,net
2024-01-12 21:00:00+00:00,2024-01-13 03:00:00+00:00,1260,-4.784093472629522,-5.534093472629522
2024-01-12 21:15:00+00:00,2024-01-13 03:15:00+00:00,1275,-0.6213744961163807,-1.3713744961163807
2024-01-12 21:45:00+00:00,2024-01-13 03:45:00+00:00,1305,9.379180894187236,8.629180894187236
2024-01-18 21:00:00+00:00,2024-01-19 03:00:00+00:00,1260,1.3119926757293767,0.5619926757293767
2024-01-18 21:30:00+00:00,2024-01-19 03:30:00+00:00,1290,-1.6139339691378045,-2.3639339691378045
2024-01-22 21:15:00+00:00,2024-01-23 03:15:00+00:00,1275,2.9866577346061205,2.2366577346061205
2024-01-22 21:45:00+00:00,2024-01-23 03:45:00+00:00,1305,2.9253215489373683,2.1753215489373683
2024-01-24 21:00:00+00:00,2024-01-25 03:00:00+00:00,1260,2.125202860273005,1.375202860273005
2024-01-31 21:00:00+00:00,2024-02-01 03:00:00+00:00,1260,-5.953187786673433,-6.703187786673433
2024-01-31 21:15:00+00:00,2024-02-01 03:15:00+00:00,1275,-5.558276628124534,-6.308276628124534
2024-01-31 21:30:00+00:00,2024-02-01 03:30:00+00:00,1290,-1.22599913406912,-1.97599913406912
2024-01-31 21:45:00+00:00,2024-02-01 03:45:00+00:00,1305,-3.083882482756239,-3.833882482756239
2024-02-28 21:00:00+00:00,2024-02-29 03:00:00+00:00,1260,15.829836448739632,15.079836448739632
2024-02-28 21:15:00+00:00,2024-02-29 03:15:00+00:00,1275,19.024477604691526,18.274477604691526
2024-02-28 21:30:00+00:00,2024-02-29 03:30:00+00:00,1290,12.189909121284972,11.439909121284972
2024-02-29 21:15:00+00:00,2024-03-01 03:15:00+00:00,1275,2.859640434152135,2.109640434152135
2024-02-29 21:30:00+00:00,2024-03-01 03:30:00+00:00,1290,3.5418825742372735,2.7918825742372735
2024-03-05 21:00:00+00:00,2024-03-06 03:00:00+00:00,1260,17.230796470622984,16.480796470622984
2024-03-05 21:15:00+00:00,2024-03-06 03:15:00+00:00,1275,6.430176342496087,5.680176342496087
2024-03-05 21:30:00+00:00,2024-03-06 03:30:00+00:00,1290,0.502472732007899,-0.247527267992101
2024-03-05 21:45:00+00:00,2024-03-06 03:45:00+00:00,1305,0.47049620343577925,-0.27950379656422075
2024-03-15 21:30:00+00:00,2024-03-16 03:30:00+00:00,1290,13.221206661686542,12.471206661686542
2024-03-19 21:15:00+00:00,2024-03-20 03:15:00+00:00,1275,-7.798222517825145,-8.548222517825145
