local_date,duration_regime,entry_ts,entry_px,H,L,R,entry_depth_R,shallow,b27eo_h2,exit_type,exit_ts,gross_rr,gross_return,net_return,net_win,pnl_usd_500,same_bar_collision,hit_H_strict_before_exit,sl_before_H
2020-02-27,NORMAL_6H30,2020-02-27 15:30:00+00:00,19.376,19.423,18.537,0.8859999999999992,0.05304740406320213,True,True,SL,2020-02-27 15:55:00+00:00,1.1768246802106745,-0.01371800165152759,-0.015218001651527589,False,-7.609000825763794,False,False,True
2020-05-27,NORMAL_6H30,2020-05-27 18:40:00+00:00,16.484,16.515,16.229,0.28600000000000136,0.1083916083916037,True,False,SESSION_CLOSE,2020-05-27 19:55:00+00:00,1.3613053613053516,-0.0032759039068188667,-0.004775903906818866,False,-2.3879519534094333,False,False,False
2020-06-04,NORMAL_6H30,2020-06-04 18:35:00+00:00,17.498,17.579,17.05,0.5289999999999999,0.15311909262759835,True,True,SESSION_CLOSE,2020-06-04 19:55:00+00:00,1.510396975425329,-0.004971996799634226,-0.006471996799634226,False,-3.235998399817113,False,True,False
2020-06-05,NORMAL_6H30,2020-06-05 18:25:00+00:00,17.849,17.902,17.473,0.42900000000000205,0.12354312354312487,True,False,SL,2020-06-05 19:00:00+00:00,1.4118104118104118,-0.0072104879825201085,-0.008710487982520108,False,-4.355243991260054,False,False,True
2020-06-29,NORMAL_6H30,2020-06-29 15:15:00+00:00,15.334,15.461,15.203,0.2580000000000009,0.49224806201550475,False,False,SESSION_CLOSE,2020-06-29 19:55:00+00:00,2.6408268733850044,0.004956306247554387,0.0034563062475543873,True,1.7281531237771937,False,False,False
2020-07-06,NORMAL_6H30,2020-07-06 16:35:00+00:00,15.808,15.874,15.63,0.24399999999999977,0.27049180327869177,True,False,SL,2020-07-06 19:20:00+00:00,1.9016393442623059,-0.00463056680161944,-0.00613056680161944,False,-3.06528340080972,False,False,True
2020-08-27,NORMAL_6H30,2020-08-27 13:55:00+00:00,22.645,22.923,22.151,0.7719999999999985,0.3601036269430042,False,False,SL,2020-08-27 14:05:00+00:00,2.2003454231433435,-0.010227423272245573,-0.011727423272245572,False,-5.863711636122786,False,False,True
2020-09-01,NORMAL_6H30,2020-09-01 15:35:00+00:00,23.726,23.8,22.978,0.8219999999999992,0.09002433090024536,True,True,SL,2020-09-01 16:00:00+00:00,1.3000811030008166,-0.010393660962657036,-0.011893660962657036,False,-5.946830481328518,False,False,True
2020-09-10,NORMAL_6H30,2020-09-10 14:20:00+00:00,25.441,25.497,24.057,1.4400000000000013,0.03888888888888951,True,False,SL,2020-09-10 14:45:00+00:00,1.1296296296296404,-0.016980464604378742,-0.018480464604378743,False,-9.240232302189371,False,False,True
2020-09-25,NORMAL_6H30,2020-09-25 16:10:00+00:00,24.4,24.589,23.726,0.8629999999999995,0.2190034762456549,True,True,SESSION_CLOSE,2020-09-25 19:55:00+00:00,1.7300115874855142,0.012418032786885247,0.010918032786885247,True,5.4590163934426235,False,True,False
2020-10-07,NORMAL_6H30,2020-10-07 14:35:00+00:00,27.516,27.557,26.836,0.7210000000000001,0.05686546463245543,True,True,SESSION_CLOSE,2020-10-07 19:55:00+00:00,1.1895515487748511,0.005415031254542901,0.003915031254542902,True,1.957515627271451,False,True,False
2020-10-09,NORMAL_6H30,2020-10-09 15:15:00+00:00,28.309,28.45,27.828,0.6219999999999999,0.22668810289388788,True,True,SESSION_CLOSE,2020-10-09 19:55:00+00:00,1.7556270096462987,-0.003709067787629361,-0.0052090677876293606,False,-2.6045338938146805,False,True,False
