split,outcome,n,score_p10,score_p25,score_median,score_p75,score_p90
train_2023,TP,556,0.34178807233931024,0.36349483560856,0.3844958036970624,0.41379498516405805,0.47457953888794746
train_2023,SL,538,0.333106867550695,0.35637071394242475,0.38324566036111074,0.40694257788788807,0.4590557556282177
train_2023,TIME,334,0.33159529742655885,0.3509199094668087,0.37333660441052635,0.39203846937233033,0.40694442985657164
dev_select_2024,TP,730,0.34863266723008907,0.36913517799195716,0.3907256961374842,0.4123376222696943,0.4415245639660106
dev_select_2024,SL,674,0.34651454895782097,0.3667891012828635,0.3882465384928075,0.4149181550618497,0.4529051720411256
dev_select_2024,TIME,264,0.34831865581399296,0.3682831712089768,0.3864542332558193,0.39890441477265726,0.4100281881713314
validation_2025,TP,819,0.3495458508665111,0.3693101693698112,0.38919242511588087,0.4110861625525958,0.44154228459691974
validation_2025,SL,774,0.3477516445756984,0.37139584547553245,0.3904006770507141,0.4107483640133187,0.4371180841103222
validation_2025,TIME,375,0.3465222961144187,0.3691968291051197,0.38684868890301116,0.3989623219784154,0.41318716724922555
validation_2026,TP,581,0.34446718706207513,0.3662294839208292,0.3872612435714679,0.4042517213523767,0.4284045310568482
validation_2026,SL,504,0.3485906005831609,0.3694736957027879,0.38635461059573467,0.4034252076648013,0.42314538151108166
validation_2026,TIME,663,0.3394711660792567,0.3626236592890432,0.38320283055456894,0.39903717300935765,0.41245840948502177
