dimension,partition,value,trades,win_rate,net_pnl,expectancy,pf,max_dd,max_loss_streak,max_win_streak,median_mfe_pct,median_mae_pct,median_giveback_pct
clock_wib,external,11:00,26,0.7307692307692307,114.52351380250396,4.404750530865536,1.6192400541458216,105.06493482962534,2,7,0.03170796103251439,-0.01795204814064727,0.021549934481733257
clock_wib,external,11:15,27,0.6666666666666666,121.98866965901827,4.518098876259936,1.7010904038206198,60.223072452537735,3,7,0.031128924515698042,-0.01645450188379971,0.01896017171476272
clock_wib,external,11:30,26,0.7692307692307693,115.3247539942589,4.43556746131765,1.556044723236208,92.0756216565972,2,8,0.03578577307650288,-0.01733263061684376,0.024676880096790366
clock_wib,external,11:45,23,0.6086956521739131,78.44371337447603,3.410596233672871,1.3272192863698067,112.80163249692296,2,6,0.030626496408619364,-0.012816165999864348,0.024369911356879048
clock_wib,development,11:00,52,0.6153846153846154,236.26626681249954,4.54358205408653,2.7578002175074627,30.860613407390474,4,5,0.01738945769199851,-0.010631658724951143,0.01274533830631247
clock_wib,development,11:15,47,0.5319148936170213,27.78945643937507,0.5912650306250015,1.1278101696943843,94.1270448817331,4,5,0.015519612337109523,-0.013999486257385119,0.013434442728081253
clock_wib,development,11:30,50,0.74,244.8154787846757,4.896309575693514,2.8775279434696315,42.95304518516579,2,7,0.02031080937030849,-0.008695539403260122,0.00916198392636447
clock_wib,development,11:45,52,0.5961538461538461,71.88041503735514,1.382315673795291,1.3740967521576881,45.49577995366635,3,9,0.020156447692944113,-0.011164382207979107,0.015645006301595488
clock_wib,reference_validation,11:00,23,0.5652173913043478,-10.599612557241082,-0.46085271988004706,0.8563552936439904,40.58090003031201,2,2,0.010847402332599287,-0.014002749630836586,0.009152154569721738
clock_wib,reference_validation,11:15,15,0.4666666666666667,-50.12440648644525,-3.34162709909635,0.4621232056189905,69.94236040313245,3,2,0.012372378413720186,-0.011979100293105671,0.016267229603874278
clock_wib,reference_validation,11:30,20,0.5,-20.443184049394027,-1.0221592024697013,0.7819647726204796,47.319429105868664,4,5,0.013441171258126938,-0.008689814458310519,0.009491685109495274
clock_wib,reference_validation,11:45,26,0.5,-5.557576733441011,-0.21375295128619273,0.9472003068392784,70.16088654470342,4,5,0.013160664681897805,-0.009199017000907639,0.013168443498164595
