timeframe,partition,side,signal_ts,entry_ts,range_high_ts,range_low_ts,range_high,range_low,target_side_visits_at_entry,opposite_visits_at_entry,entry_px,stop_px,target_px,risk_pct,target_boundary,target_wick_before_stop,target_break_before_stop,resolved,exit_ts,exit_px,gross_return,net_pnl_usd,exit_reason,hold_minutes
15m,development,LONG,2022-01-03 08:30:00+00:00,2022-01-03 08:45:00+00:00,2022-01-03 05:30:00+00:00,2022-01-03 07:00:00+00:00,47217.37,46857.38,1,2,46956.6,46930.03,47009.74,0.0005658416495231706,47217.37,False,False,True,2022-01-03 08:50:00+00:00,46930.03,-0.0005658416495232244,-0.6829208247616122,SL,5.0
15m,development,LONG,2022-01-08 14:30:00+00:00,2022-01-08 14:45:00+00:00,2022-01-08 12:00:00+00:00,2022-01-08 11:30:00+00:00,42040.23,41747.64,1,2,41836.64,41784.0,41941.92,0.0012582272381338323,42040.23,False,False,True,2022-01-08 14:55:00+00:00,41784.0,-0.0012582272381338466,-1.0291136190669232,SL,10.0
15m,development,LONG,2022-01-09 09:45:00+00:00,2022-01-09 10:00:00+00:00,2022-01-08 21:30:00+00:00,2022-01-09 00:00:00+00:00,42100.0,41380.0,2,2,41503.76,41461.0,41589.280000000006,0.0010302681010106562,42100.0,False,False,True,2022-01-09 10:10:00+00:00,41461.0,-0.0010302681010107007,-0.9151340505053503,SL,10.0
15m,reference_validation,SHORT,2025-01-01 18:30:00+00:00,2025-01-01 18:45:00+00:00,2025-01-01 14:00:00+00:00,2025-01-01 14:30:00+00:00,94430.0,93622.7,1,3,94265.6,94296.1,94204.6,0.00032355387331115486,93622.7,False,False,True,2025-01-01 18:45:00+00:00,94296.1,-0.00032355387331106655,-0.5617769366555333,SL,0.0
15m,reference_validation,SHORT,2025-01-02 19:00:00+00:00,2025-01-02 19:15:00+00:00,2025-01-02 16:45:00+00:00,2025-01-02 15:30:00+00:00,97650.0,96112.4,1,2,97451.5,97562.1,97230.29999999999,0.0011349235260617416,96112.4,False,False,True,2025-01-02 19:15:00+00:00,97562.1,-0.0011349235260618151,-0.9674617630309076,SL,0.0
15m,reference_validation,LONG,2025-01-05 23:45:00+00:00,2025-01-06 00:00:00+00:00,2025-01-05 20:15:00+00:00,2025-01-05 20:45:00+00:00,98687.6,98129.1,1,2,98340.2,98284.2,98452.2,0.0005694517603177541,98687.6,False,False,True,2025-01-06 00:00:00+00:00,98452.2,0.0011389035206355036,0.16945176031775178,TP_2R,0.0
15m,reference_validation,LONG,2025-01-08 11:15:00+00:00,2025-01-08 11:30:00+00:00,2025-01-08 08:30:00+00:00,2025-01-08 09:45:00+00:00,96100.0,95369.6,1,2,95518.6,95464.3,95627.20000000001,0.0005684756686132639,96100.0,False,False,True,2025-01-08 11:30:00+00:00,95464.3,-0.0005684756686132886,-0.6842378343066443,SL,0.0
15m,august,SHORT,2026-08-05 05:15:00+00:00,2026-08-05 05:30:00+00:00,2026-08-05 02:00:00+00:00,2026-08-05 01:00:00+00:00,64480.0,63917.1,1,2,64408.2,64500.0,64224.59999999999,0.0014252843582028827,63917.1,False,False,True,2026-08-05 06:45:00+00:00,64224.59999999999,0.002850568716405766,1.025284358202883,TP_2R,75.0
15m,august,LONG,2026-08-07 00:15:00+00:00,2026-08-07 00:30:00+00:00,2026-08-06 15:00:00+00:00,2026-08-06 13:15:00+00:00,64962.0,64111.0,1,2,64244.5,64195.2,64343.100000000006,0.0007673808652881245,64962.0,False,False,True,2026-08-07 01:00:00+00:00,64343.100000000006,0.0015347617305763173,0.3673808652881586,TP_2R,30.0
15m,august,LONG,2026-08-07 15:45:00+00:00,2026-08-07 16:00:00+00:00,2026-08-07 13:45:00+00:00,2026-08-07 14:00:00+00:00,65305.6,64756.8,1,2,64885.5,64878.4,64899.7,0.00010942352297506446,65305.6,False,False,True,2026-08-07 16:00:00+00:00,64899.7,0.00021884704595009907,-0.2905764770249505,TP_2R,0.0
15m,august,LONG,2026-08-10 02:15:00+00:00,2026-08-10 02:30:00+00:00,2026-08-10 00:00:00+00:00,2026-08-09 23:45:00+00:00,65300.0,64805.1,1,3,64931.2,64871.0,65051.59999999999,0.0009271351830860526,65300.0,True,True,True,2026-08-10 02:40:00+00:00,65051.59999999999,0.0018542703661721394,0.5271351830860697,TP_2R,10.0
