structure_id,raid_i_h1,raid_time,reclaim_i_h1,reclaim_time,reclaim_close_time,year,liquidity_high,liquidity_pivot_i,liquidity_confirm_i,significant_low,significant_low_pivot_i,significant_low_confirm_i,raid_extreme,raid_depth_pct,reclaim_delay_h1_bars,reclaim_close,median_prior_h1_range,bos_i_h1,bos_time,bos_close_time,bos_close,bos_low,bars_reclaim_to_bos,displacement_range_units,bear_path_efficiency,bos_extension_range_units,origin_i_h1,origin_time,origin_open,origin_high,origin_low,origin_close,zone_low,zone_high,zone_width_range_units,first_return_i_5m,first_return_time,bos_to_return_min,return_open,return_high,return_low,return_close,return_penetration_zone_width,pre_return_structural_low,outcome,resolution_i_5m,resolution_time,return_to_resolution_min,max_above_zone_width,max_new_low_extension_pct,retrace_fraction_of_raid_leg,origin_distance_from_pre_return_low_fraction
2023-01-04 07:00:00+00:00__H20084__L20085,20088,2023-01-04 07:00:00+00:00,20089,2023-01-04 08:00:00+00:00,2023-01-04 09:00:00+00:00,2023,14.0,20084,20086,13.21,20085,20087,14.2,1.4285714285714235,1,13.7,0.3299999999999992,20100,2023-01-04 19:00:00+00:00,2023-01-04 20:00:00+00:00,13.177,13.044,11,3.1000000000000068,0.5419689119170962,0.10000000000000404,20098,2023-01-04 17:00:00+00:00,13.413,13.558,13.333,13.419,13.333,13.558,0.6818181818181824,241243,2023-01-04 22:35:00+00:00,155.0,13.297,13.422,13.296,13.372,0.395555555555558,12.813,INVALIDATED,241505,2023-01-05 20:25:00+00:00,1310.0,0.991111111111116,-0.889721376726754,0.43907714491708766,0.37490987743330934
2023-01-04 08:00:00+00:00__H20073__L20085,20089,2023-01-04 08:00:00+00:00,20089,2023-01-04 08:00:00+00:00,2023-01-04 09:00:00+00:00,2023,13.879,20073,20075,13.21,20085,20087,14.111,1.6715901722026194,0,13.7,0.3404999999999996,20100,2023-01-04 19:00:00+00:00,2023-01-04 20:00:00+00:00,13.177,13.044,11,2.743024963289287,0.5419689119170962,0.09691629955947516,20098,2023-01-04 17:00:00+00:00,13.413,13.558,13.333,13.419,13.333,13.558,0.66079295154185,241243,2023-01-04 22:35:00+00:00,155.0,13.297,13.422,13.296,13.372,0.395555555555558,12.813,INVALIDATED,241505,2023-01-05 20:25:00+00:00,1310.0,0.991111111111116,-0.889721376726754,0.4691833590138675,0.4006163328197223
2023-01-06 23:00:00+00:00__H20147__L20149,20152,2023-01-06 23:00:00+00:00,20154,2023-01-07 01:00:00+00:00,2023-01-07 02:00:00+00:00,2023,13.419,20147,20149,13.149,20149,20151,13.585,1.2370519412773007,2,13.298,0.15800000000000036,20164,2023-01-07 11:00:00+00:00,2023-01-07 12:00:00+00:00,13.137,13.12,10,2.8354430379746796,0.2998137802607084,0.07594936708859906,20162,2023-01-07 09:00:00+00:00,13.153,13.222,13.12,13.192,13.12,13.222,0.645569620253165,241980,2023-01-07 12:00:00+00:00,0.0,13.138,13.147,13.125,13.145,0.2647058823529504,13.12,INVALIDATED,241993,2023-01-07 13:05:00+00:00,65.0,5.470588235294099,2.179878048780485,0.05806451612903425,0.0
2023-01-17 11:00:00+00:00__H20398__L20400,20404,2023-01-17 11:00:00+00:00,20404,2023-01-17 11:00:00+00:00,2023-01-17 12:00:00+00:00,2023,23.83,20398,20400,23.251,20400,20402,24.0,0.7133864876206486,0,23.758,0.3829999999999991,20415,2023-01-17 22:00:00+00:00,2023-01-17 23:00:00+00:00,23.191,23.138,11,2.1122715404699814,0.5323943661971808,0.1566579634464815,20411,2023-01-17 18:00:00+00:00,23.341,23.576,23.28,23.513,23.28,23.576,0.7728459530026112,244993,2023-01-17 23:05:00+00:00,5.0,23.193,23.335,23.166,23.311,0.18581081081081025,23.094,CONTINUATION,244997,2023-01-17 23:25:00+00:00,20.0,0.3310810810810783,12.055079241361403,0.2660044150110375,0.20529801324503333
2023-04-06 16:00:00+00:00__H22301__L22302,22305,2023-04-06 16:00:00+00:00,22305,2023-04-06 16:00:00+00:00,2023-04-06 17:00:00+00:00,2023,20.765,22301,22303,20.445,22302,22304,20.86,0.45750060197446984,0,20.724,0.16249999999999964,22318,2023-04-07 05:00:00+00:00,2023-04-07 06:00:00+00:00,20.436,20.3,13,2.6092307692307717,0.33027522935779985,0.05538461538461761,22316,2023-04-07 03:00:00+00:00,20.504,20.571,20.468,20.546,20.468,20.571,0.6338461538461647,267915,2023-04-07 13:15:00+00:00,435.0,20.447,20.478,20.429,20.469,0.09708737864079042,20.195,INVALIDATED,268112,2023-04-08 05:40:00+00:00,985.0,1.5048543689319929,-0.272344639762316,0.42556390977443853,0.41052631578947374
2023-04-06 17:00:00+00:00__H22296__L22302,22306,2023-04-06 17:00:00+00:00,22306,2023-04-06 17:00:00+00:00,2023-04-06 18:00:00+00:00,2023,20.814,22296,22298,20.445,22302,22304,20.815,0.004804458537521761,0,20.728,0.16249999999999964,22318,2023-04-07 05:00:00+00:00,2023-04-07 06:00:00+00:00,20.436,20.3,12,2.3323076923077055,0.3364055299539208,0.05538461538461761,22316,2023-04-07 03:00:00+00:00,20.504,20.571,20.468,20.546,20.468,20.571,0.6338461538461647,267915,2023-04-07 13:15:00+00:00,435.0,20.447,20.478,20.429,20.469,0.09708737864079042,20.195,INVALIDATED,268112,2023-04-08 05:40:00+00:00,985.0,1.5048543689319929,-0.272344639762316,0.4564516129032271,0.44032258064516006
2023-05-25 12:00:00+00:00__H23472__L23473,23477,2023-05-25 12:00:00+00:00,23478,2023-05-25 13:00:00+00:00,2023-05-25 14:00:00+00:00,2023,19.429,23472,23474,19.231,23473,23475,19.615,0.9573318235627237,1,19.364,0.15949999999999953,23480,2023-05-25 15:00:00+00:00,2023-05-25 16:00:00+00:00,19.229,19.178,2,2.4200626959247673,1.0,0.012539184952993419,23477,2023-05-25 12:00:00+00:00,19.379,19.615,19.379,19.429,19.379,19.615,1.4796238244513968,281810,2023-05-25 19:10:00+00:00,190.0,19.325,19.429,19.324,19.391,0.21186440677965157,19.178,CONTINUATION,281889,2023-05-26 01:45:00+00:00,395.0,-0.2669491525423712,0.537073730315995,0.5743707093821488,0.45995423340961467
2023-06-06 09:00:00+00:00__H23757__L23759,23762,2023-06-06 09:00:00+00:00,23763,2023-06-06 10:00:00+00:00,2023-06-06 11:00:00+00:00,2023,20.04,23757,23759,19.901,23759,23761,20.112,0.3592814371257358,1,19.971,0.13900000000000112,23764,2023-06-06 11:00:00+00:00,2023-06-06 12:00:00+00:00,19.874,19.817,1,1.712230215827321,1.0,0.19424460431655255,23762,2023-06-06 09:00:00+00:00,20.016,20.108,20.002,20.083,20.002,20.108,0.7625899280575597,285204,2023-06-06 14:00:00+00:00,120.0,19.745,20.063,19.743,19.971,0.5754716981131981,19.229,INVALIDATED,285245,2023-06-06 17:25:00+00:00,205.0,5.566037735848969,-1.6693535805294166,0.9445073612684037,0.875424688561722
2023-07-06 10:00:00+00:00__H24475__L24478,24483,2023-07-06 10:00:00+00:00,24485,2023-07-06 12:00:00+00:00,2023-07-06 13:00:00+00:00,2023,19.75,24475,24477,19.328,24478,24480,20.35,3.03797468354432,2,19.672,0.24700000000000166,24487,2023-07-06 14:00:00+00:00,2023-07-06 15:00:00+00:00,19.298,18.803,2,4.2591093117408745,1.0,0.1214574898785463,24483,2023-07-06 10:00:00+00:00,20.058,20.35,20.038,20.321,20.038,20.35,1.2631578947368383,293891,2023-07-06 17:55:00+00:00,175.0,19.873,20.066,19.865,20.064,0.08974358974358522,18.803,INVALIDATED,293903,2023-07-06 18:55:00+00:00,60.0,4.455128205128179,-2.4251449236823883,0.8164188752424031,0.7983193277310917
2023-07-27 14:00:00+00:00__H24986__L24988,24991,2023-07-27 14:00:00+00:00,24991,2023-07-27 14:00:00+00:00,2023-07-27 15:00:00+00:00,2023,25.481,24986,24988,25.16,24988,24990,25.654,0.6789372473607669,0,25.451,0.31649999999999956,24992,2023-07-27 15:00:00+00:00,2023-07-27 16:00:00+00:00,25.142,25.025,1,1.6176935229067968,1.0,0.056872037914694175,24991,2023-07-27 14:00:00+00:00,25.438,25.654,25.211,25.451,25.211,25.654,1.3996840442338137,299916,2023-07-27 16:00:00+00:00,0.0,25.145,25.248,25.108,25.239,0.08352144469526517,25.025,CONTINUATION,299931,2023-07-27 17:15:00+00:00,75.0,-0.22347629796839705,2.0259740259740178,0.35453100158982837,0.2957074721780597
