role,partition,dev_block,execution_start,H,L,R,parent_entry_ts,parent_exit_ts,parent_pnl,parent_pnl_5bps,signal_ts,confirm_ts,reentry_ts,reentry_price,reentry_R,exit_ts,exit_price,exit_reason,floor_close_ts,recovery_pnl,recovery_pnl_5bps,combined_episode_pnl,combined_episode_pnl_5bps,rescued,rescued_5bps,loss_class,parent_loss_R,parent_mfe_R,parent_mae_R,parent_hold_min,ref_width_pct,exit_to_signal_min,signal_to_confirm_min,signal_close_R,confirm_close_R,confirm_body_R,max_close_R_to_confirm,running_mfe_R_to_confirm,running_mae_R_to_confirm,above_H_frac_to_confirm,closes_above_H_to_confirm,preconfirm_30m_return_R,preexit_60m_return_R,preexit_60m_range_R,stress_outcome,raw_outcome
CENTRAL,development,0,2022-01-01 15:00:00+00:00,173.37,170.52,2.8499999999999943,2022-01-01 15:25:00+00:00,2022-01-01 15:50:00+00:00,-0.2018803714598505,-0.4518803714598505,2022-01-01 16:00:00+00:00,2022-01-01 16:10:00+00:00,2022-01-01 16:15:00+00:00,174.12,0.26315789473684265,2022-01-01 16:25:00+00:00,174.51,TARGET,,1.1199172984148742,0.8699172984148742,0.9180369269550237,0.4180369269550237,True,True,L4_BREAK_FAIL_30M,0.024561403508767964,0.30526315789473907,0.12631578947368924,25.0,0.016438830247447623,10.0,10.0,0.199999999999998,0.2561403508771899,-0.06315789473684462,0.3192982456140345,0.3964912280701746,0.12631578947368924,0.8,4,0.17543859649122842,0.30526315789473907,0.7157894736842191,WIN,WIN
CENTRAL,development,0,2022-01-02 15:00:00+00:00,176.75,174.66,2.0900000000000034,2022-01-02 16:10:00+00:00,2022-01-02 16:20:00+00:00,-0.622347949080615,-0.872347949080615,2022-01-02 16:35:00+00:00,2022-01-02 16:45:00+00:00,2022-01-02 16:50:00+00:00,177.35,0.2870813397129155,2022-01-02 16:55:00+00:00,177.586,TARGET,,0.6653510008458596,0.41535100084585963,0.04300305176524466,-0.45699694823475534,True,False,L2_BREAK_FAST_FAIL_5M,0.10526315789473542,0.13397129186602905,0.157894736842111,10.0,0.011824611032531844,15.0,10.0,0.023923444976081957,0.2870813397129155,0.062200956937796766,0.2870813397129155,0.35885167464114776,0.22009569377990776,0.6666666666666666,4,0.38755980861244066,0.4688995215310948,0.7846889952153168,WIN,WIN
CENTRAL,development,0,2022-01-06 15:00:00+00:00,151.09,146.22,4.8700000000000045,2022-01-06 17:05:00+00:00,2022-01-06 17:15:00+00:00,-1.0920643325170731,-1.3420643325170731,2022-01-06 17:25:00+00:00,2022-01-06 17:35:00+00:00,2022-01-06 17:40:00+00:00,152.49,0.2874743326488715,2022-01-06 18:10:00+00:00,153.038,TARGET,,1.7968391369925785,1.5468391369925785,0.7047748044755053,0.20477480447550533,True,True,L2_BREAK_FAST_FAIL_5M,0.06776180698152133,0.09445585215605905,0.14168377823408565,10.0,0.03223244423853335,10.0,10.0,0.21560574948664926,0.2874743326488715,0.12320328542094912,0.2874743326488715,0.30390143737166087,0.14168377823408565,0.8,4,0.20739219712526044,0.17453798767967013,0.5646817248459953,WIN,WIN
CENTRAL,development,0,2022-02-01 15:00:00+00:00,111.04,103.75,7.290000000000006,2022-02-01 16:30:00+00:00,2022-02-01 16:45:00+00:00,-0.7654899135446924,-1.0154899135446924,2022-02-01 16:50:00+00:00,2022-02-01 17:00:00+00:00,2022-02-01 17:05:00+00:00,112.84,0.24691358024691298,2022-02-01 17:35:00+00:00,111.25,E10_FLOOR,2022-02-01 17:30:00+00:00,-7.04537398085786,-7.295373980857861,-7.810863894402553,-8.310863894402553,False,False,L3_BREAK_FAST_FAIL_10M,0.023319615912209213,0.1714677640603565,0.1810699588477375,15.0,0.06565201729106633,5.0,10.0,0.15500685871056166,0.24828532235939457,-0.0013717421124835537,0.24828532235939457,0.35253772290809204,0.03703703703703841,1.0,4,0.22908093278463457,0.5843621399176937,0.705075445816186,FAIL,FAIL
CENTRAL,development,0,2022-02-20 15:00:00+00:00,90.98,87.37,3.6099999999999994,2022-02-20 17:40:00+00:00,2022-02-20 18:00:00+00:00,-0.16487140030774228,-0.4148714003077423,2022-02-20 18:05:00+00:00,2022-02-20 18:15:00+00:00,2022-02-20 18:20:00+00:00,91.74,0.2105263157894712,2022-02-20 18:40:00+00:00,92.424,TARGET,,3.7279267495095025,3.4779267495095025,3.5630553492017603,3.0630553492017603,True,True,L4_BREAK_FAIL_30M,0.008310249307478335,0.14404432132963882,0.08310249307479146,20.0,0.03967905034073422,5.0,10.0,0.05817174515235285,0.20775623268698065,-0.02770083102492918,0.23822714681440432,0.274238227146813,0.04986149584487724,1.0,4,0.08864265927978045,0.19390581717451605,0.40997229916897626,WIN,WIN
CENTRAL,development,1,2022-08-21 15:00:00+00:00,36.27,35.48,0.7900000000000063,2022-08-21 16:45:00+00:00,2022-08-21 17:00:00+00:00,0.0,-0.25,2022-08-21 17:05:00+00:00,2022-08-21 17:15:00+00:00,2022-08-21 17:20:00+00:00,36.4,0.1645569620253094,2022-08-21 17:45:00+00:00,36.28,E10_FLOOR,2022-08-21 17:40:00+00:00,-1.648351648351587,-1.898351648351587,-1.648351648351587,-2.148351648351587,False,False,L2_BREAK_FAST_FAIL_5M,0.0,0.34177215189872645,0.15189873417721975,15.0,0.0217810862972155,5.0,10.0,0.24050632911391928,0.1645569620253094,-0.08860759493670851,0.24050632911391928,0.29113924050632284,0.07594936708860987,1.0,4,0.24050632911391928,0.29113924050633183,0.9240506329113811,FAIL,FAIL
CENTRAL,development,1,2022-09-05 15:00:00+00:00,31.77,31.12,0.6499999999999986,2022-09-05 15:00:00+00:00,2022-09-05 15:25:00+00:00,-0.15738117721114664,-0.40738117721114664,2022-09-05 15:35:00+00:00,2022-09-05 15:45:00+00:00,2022-09-05 15:50:00+00:00,31.87,0.15384615384615638,2022-09-05 16:00:00+00:00,31.84,E10_FLOOR,2022-09-05 15:55:00+00:00,-0.47066206463758364,-0.7206620646375836,-0.6280432418487303,-1.1280432418487303,False,False,L3_BREAK_FAST_FAIL_10M,0.015384615384609661,0.21538461538461673,0.1692307692307687,25.0,0.020459553037456675,10.0,10.0,0.03076923076923018,0.13846153846153855,0.06153846153846036,0.13846153846153855,0.18461538461538654,0.13846153846153855,0.8,4,0.03076923076923018,0.2769230769230771,0.6461538461538502,FAIL,FAIL
CENTRAL,development,1,2022-09-26 15:00:00+00:00,33.41,32.1,1.3099999999999952,2022-09-26 18:05:00+00:00,2022-09-26 18:30:00+00:00,-0.5986231667165498,-0.8486231667165498,2022-09-26 18:45:00+00:00,2022-09-26 18:55:00+00:00,2022-09-26 19:00:00+00:00,33.63,0.1679389312977151,2022-09-26 20:35:00+00:00,33.5,E10_FLOOR,2022-09-26 20:30:00+00:00,-1.9327980969373049,-2.1827980969373053,-2.5314212636538547,-3.031421263653855,False,False,L3_BREAK_FAST_FAIL_10M,0.030534351145038167,0.16030534351145162,0.1603053435114462,25.0,0.03920981741993401,15.0,10.0,0.21374045801526884,0.16030534351145162,-0.05343511450381721,0.21374045801526884,0.2519083969465699,0.06870229007633331,0.6666666666666666,4,0.1832061068702258,0.3587786259541989,0.5496183206106882,FAIL,FAIL
CENTRAL,development,1,2022-10-05 15:00:00+00:00,33.78,33.15,0.6300000000000026,2022-10-05 16:05:00+00:00,2022-10-05 16:25:00+00:00,0.0,-0.25,2022-10-05 16:50:00+00:00,2022-10-05 17:00:00+00:00,2022-10-05 17:05:00+00:00,33.87,0.1428571428571364,2022-10-05 17:20:00+00:00,34.032000000000004,TARGET,,2.3914968999114716,2.1414968999114716,2.3914968999114716,1.8914968999114716,True,True,L3_BREAK_FAST_FAIL_10M,0.0,0.17460317460317298,0.2857142857142841,20.0,0.01865008880994679,25.0,10.0,0.2222222222222222,0.15873015873016033,0.04761904761904923,0.3174603174603094,0.3333333333333333,0.23809523809523486,0.5,4,0.3650793650793699,0.2539682539682588,0.6031746031746048,WIN,WIN
CENTRAL,development,1,2022-10-17 15:00:00+00:00,31.19,30.16,1.0300000000000011,2022-10-17 23:35:00+00:00,2022-10-17 23:55:00+00:00,0.0,-0.25,2022-10-18 00:20:00+00:00,2022-10-18 00:30:00+00:00,2022-10-18 00:35:00+00:00,31.45,0.2524271844660172,2022-10-18 00:50:00+00:00,31.27,E10_FLOOR,2022-10-18 00:45:00+00:00,-2.861685214626375,-3.111685214626375,-2.861685214626375,-3.361685214626375,False,False,L4_BREAK_FAIL_30M,0.0,0.0873786407766988,0.058252427184468165,20.0,0.033023404937479996,25.0,10.0,0.1456310679611635,0.26213592233009636,0.09708737864077797,0.26213592233009636,0.27184466019417214,0.0873786407766988,0.5,4,0.3203883495145646,0.1747572815533976,0.29126213592233047,FAIL,FAIL
