region_id,pair_state,character_rule,cells,lookbacks,holds,strict_cells,median_min_half_exp,median_exp,median_pf,median_dd,qualifies
1,EFF_HIGH__EXT_HIGH,DRIVE_DOWN__EFF_HIGH__EXT_HIGH,1,240,240,0,0.22011120912387117,0.36934066350586375,1.1082384857488534,112.76071152727474,False
2,EFF_HIGH__EXT_MID,DRIVE_DOWN__EFF_HIGH__EXT_MID,4,120;180;240,240;360,0,0.5456699794617914,1.4803669870077711,1.6478259439593121,37.67058165407283,False
3,EFF_HIGH__RANGE_HIGH,DRIVE_DOWN__EFF_HIGH__RANGE_HIGH,1,180,240,0,0.1177692626840324,1.2586487681565308,1.3951088389233852,124.71429293791698,False
4,EFF_HIGH__RANGE_LOW,DRIVE_DOWN__EFF_HIGH__RANGE_LOW,1,60,120,0,0.43460524143036233,0.585454329915129,1.5011540991635846,19.399510953882537,False
5,EFF_HIGH__RV_LOW,DRIVE_DOWN__EFF_HIGH__RV_LOW,4,60;120,120;240,1,0.6838508218524307,1.1891026098615203,1.806480775888235,22.280467838439872,True
6,EFF_LOW__RV_LOW,DRIVE_DOWN__EFF_LOW__RV_LOW,1,60,480,0,0.2355663656056595,0.9542706400427488,1.3139904071365252,71.4065839780345,False
7,EFF_LOW__RV_MID,DRIVE_DOWN__EFF_LOW__RV_MID,2,180,360;480,0,0.34163739124957176,1.9633498018011797,1.6791169469650635,57.29939064461634,False
8,EFF_MID__EXT_LOW,DRIVE_DOWN__EFF_MID__EXT_LOW,1,180,240,1,0.7460614613099242,1.3183075878177717,1.497022903138405,42.04940595550059,False
9,EFF_MID__EXT_MID,DRIVE_DOWN__EFF_MID__EXT_MID,1,240,240,0,0.03455491968629947,0.9907906970490382,1.5182031897866486,48.88751542718625,False
10,EFF_MID__EXT_MID,DRIVE_DOWN__EFF_MID__EXT_MID,1,360,480,0,0.3411878865713257,3.4551498758402985,2.2206748416450877,67.2488758642719,False
11,EFF_MID__RANGE_LOW,DRIVE_DOWN__EFF_MID__RANGE_LOW,6,240;360,120;240;360;480,4,1.212665295796572,1.4785484474699073,1.8185048906880397,29.69366145468151,True
12,EFF_MID__RANGE_MID,DRIVE_DOWN__EFF_MID__RANGE_MID,1,120,480,1,0.27951358760472883,0.7990235457848763,1.3115654536001058,86.58859779630721,False
13,EFF_MID__RV_LOW,DRIVE_DOWN__EFF_MID__RV_LOW,3,240;360,360;480,2,0.6822392638951109,1.0112826505262973,1.5513743250418852,42.05308174686223,False
14,EFF_MID__RV_MID,DRIVE_DOWN__EFF_MID__RV_MID,1,120,360,0,0.3032856348472275,0.31539308813445355,1.1173698131872456,76.15794992808725,False
15,EFF_MID__RV_MID,DRIVE_DOWN__EFF_MID__RV_MID,1,60,480,0,0.8766595148072472,1.7390292682166166,2.3022044531509978,36.69805690462129,False
