role,partition,dev_block,execution_start,loss_class,episode_class_before_a10,lane,snapshot_min,required_above,require_e10,H,L,R,parent_pnl,parent_pnl_5bps,h2_recovery_pnl,h2_recovery_pnl_5bps,episode_pnl_before_a10,episode_pnl_before_a10_5bps,h2_exit_ts,reclaim_signal_ts,acceptance_snapshot_ts,acceptance_closes_above,acceptance_e10_reached,entry_ts,entry_price,exit_ts,exit_price,exit_reason,invalidation_close_ts,a10_pnl,a10_pnl_5bps,a10_won,a10_won_5bps,combined_episode_pnl,combined_episode_pnl_5bps,rescued,rescued_5bps,selection_scope
CENTRAL,development,0.0,2022-01-15 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,RESIDUAL_LATENT_RECOVERABLE,AC15_C4_E10,15,4,True,148.83,145.0,3.830000000000013,-0.4367399045892006,-0.6867399045892006,-0.7390983000739038,-0.9890983000739038,-1.1758382046631044,-1.6758382046631044,2022-01-16 07:20:00+00:00,2022-01-16 07:30:00+00:00,2022-01-16 07:45:00+00:00,4,True,2022-01-16 07:50:00+00:00,149.85,2022-01-16 08:05:00+00:00,150.36200000000002,TARGET,,1.7083750417085097,1.4583750417085097,True,True,0.5325368370454053,-0.21746316295459467,True,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,0.0,2022-01-31 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,RESIDUAL_LATENT_RECOVERABLE,AC15_C4_E10,15,4,True,98.77,91.13,7.640000000000001,-4.45479396577908,-4.70479396577908,-0.7593398805305074,-1.0093398805305074,-5.214133846309588,-5.714133846309588,2022-01-31 21:20:00+00:00,2022-01-31 21:20:00+00:00,2022-01-31 21:35:00+00:00,4,True,2022-01-31 21:40:00+00:00,98.91,2022-02-01 01:25:00+00:00,101.826,TARGET,,14.740673339399436,14.490673339399434,True,True,9.526539493089848,8.776539493089846,True,True,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,0.0,2022-05-09 18:00:00+00:00,L1_NEVER_BREAK_TIME,RESIDUAL_TRUE_FAILURE_PROXY,AC15_C4_E10,15,4,True,71.76,64.83,6.930000000000007,-5.783166109253058,-6.033166109253058,-3.623188405797173,-3.8731884057971735,-9.40635451505023,-9.906354515050232,2022-05-10 06:55:00+00:00,2022-05-10 12:15:00+00:00,2022-05-10 12:30:00+00:00,4,True,2022-05-10 12:35:00+00:00,72.49,2022-05-10 13:45:00+00:00,71.45,FAILED_ACCEPTANCE,2022-05-10 13:40:00+00:00,-7.173403228031394,-7.423403228031394,False,False,-16.579757743081625,-17.329757743081625,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,0.0,2022-05-15 18:00:00+00:00,L4_BREAK_FAIL_30M,RESIDUAL_LATENT_RECOVERABLE,AC15_C4_E10,15,4,True,54.78,52.16,2.6200000000000045,-0.1825483753195023,-0.4325483753195023,-4.381161007667056,-4.631161007667056,-4.563709382986558,-5.063709382986558,2022-05-15 19:30:00+00:00,2022-05-15 19:45:00+00:00,2022-05-15 20:00:00+00:00,4,True,2022-05-15 20:05:00+00:00,55.32,2022-05-15 20:10:00+00:00,55.828,TARGET,,4.591467823572004,4.341467823572004,True,True,0.027758440585445854,-0.7222415594145541,True,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,0.0,2022-05-16 18:00:00+00:00,L3_BREAK_FAST_FAIL_10M,RESIDUAL_LATENT_RECOVERABLE,AC15_C4_E10,15,4,True,54.88,51.8,3.0800000000000054,-0.9110787172011968,-1.161078717201197,-2.3688046647230565,-2.618804664723057,-3.2798833819242534,-3.779883381924254,2022-05-16 21:55:00+00:00,2022-05-16 21:55:00+00:00,2022-05-16 22:10:00+00:00,4,True,2022-05-16 22:15:00+00:00,55.28,2022-05-16 22:30:00+00:00,54.83,FAILED_ACCEPTANCE,2022-05-16 22:25:00+00:00,-4.070188133140418,-4.320188133140418,False,False,-7.350071515064672,-8.100071515064672,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,0.0,2022-06-02 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,RESIDUAL_TRUE_FAILURE_PROXY,AC15_C4_E10,15,4,True,41.24,39.92,1.3200000000000005,-1.818622696411254,-2.0686226964112544,-1.5761396702231312,-1.8261396702231312,-3.394762366634385,-3.8947623666343856,2022-06-02 23:35:00+00:00,2022-06-03 01:50:00+00:00,2022-06-03 02:05:00+00:00,4,True,2022-06-03 02:10:00+00:00,41.39,2022-06-03 02:25:00+00:00,41.25,FAILED_ACCEPTANCE,2022-06-03 02:20:00+00:00,-1.691229765643898,-1.941229765643898,False,False,-5.0859921322782835,-5.8359921322782835,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,1.0,2022-07-14 18:00:00+00:00,L4_BREAK_FAIL_30M,RESIDUAL_LATENT_RECOVERABLE,AC15_C4_E10,15,4,True,36.62,33.69,2.93,-1.2288367012561197,-1.4788367012561197,0.0,-0.25,-1.2288367012561197,-1.7288367012561197,2022-07-14 21:30:00+00:00,2022-07-14 21:30:00+00:00,2022-07-14 21:45:00+00:00,4,True,2022-07-14 21:50:00+00:00,36.78,2022-07-14 22:10:00+00:00,36.53,FAILED_ACCEPTANCE,2022-07-14 22:05:00+00:00,-3.398586188145758,-3.6485861881457584,False,False,-4.627422889401878,-5.377422889401878,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,1.0,2022-09-04 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,RESIDUAL_LATENT_RECOVERABLE,AC15_C4_E10,15,4,True,31.92,31.43,0.490000000000002,0.0,-0.25,-0.939849624060185,-1.189849624060185,-0.939849624060185,-1.439849624060185,2022-09-04 22:50:00+00:00,2022-09-04 23:25:00+00:00,2022-09-04 23:40:00+00:00,4,True,2022-09-04 23:45:00+00:00,32.03,2022-09-04 23:55:00+00:00,32.116,TARGET,,1.3424914142990962,1.0924914142990962,True,True,0.4026417902389112,-0.3473582097610888,True,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,1.0,2022-09-26 18:00:00+00:00,L3_BREAK_FAST_FAIL_10M,RESIDUAL_LATENT_RECOVERABLE,AC15_C4_E10,15,4,True,33.41,32.67,0.7399999999999949,-0.5986231667165498,-0.8486231667165498,0.0,-0.25,-0.5986231667165498,-1.0986231667165498,2022-09-26 21:25:00+00:00,2022-09-26 21:25:00+00:00,2022-09-26 21:40:00+00:00,4,True,2022-09-26 21:45:00+00:00,33.46,2022-09-26 21:55:00+00:00,33.34,FAILED_ACCEPTANCE,2022-09-26 21:50:00+00:00,-1.7931858936042766,-2.043185893604277,False,False,-2.3918090603208264,-3.141809060320827,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,1.0,2022-12-24 18:00:00+00:00,L4_BREAK_FAIL_30M,RESIDUAL_LATENT_RECOVERABLE,AC15_C4_E10,15,4,True,11.44,11.287,0.1529999999999987,-0.0874125874125164,-0.3374125874125164,-0.3933566433566571,-0.6433566433566571,-0.4807692307691735,-0.9807692307691736,2022-12-24 21:35:00+00:00,2022-12-25 00:15:00+00:00,2022-12-25 00:30:00+00:00,4,True,2022-12-25 00:35:00+00:00,11.474,2022-12-25 01:40:00+00:00,11.43,FAILED_ACCEPTANCE,2022-12-25 01:35:00+00:00,-1.917378420777438,-2.167378420777438,False,False,-2.3981476515466116,-3.1481476515466116,False,False,DEVELOPMENT_FROZEN_WINNER
