cohort,horizon_min,threshold_pct,n,tp_hit_rate,up_touch_rate,down_touch_rate,symmetric_first_touch_wr,median_mfe_pct,p75_mfe_pct,median_mae_pct
ALL_5M_BULL_ON,5,0.1,17662,0.2524629147321934,0.2524629147321934,0.34203374476276754,0.4246666666666667,0.06008525631128192,0.13638136075295182,-0.0639737972539578
ALL_5M_BULL_ON,5,0.15,17662,0.1864454761635149,0.1864454761635149,0.20711131242214925,0.4737447849230327,0.06008525631128192,0.13638136075295182,-0.0639737972539578
ALL_5M_BULL_ON,5,0.2,17662,0.13316725172687124,0.13316725172687124,0.12807156607405729,0.5097529258777633,0.06008525631128192,0.13638136075295182,-0.0639737972539578
ALL_5M_BULL_ON,5,0.25,17662,0.0975540708866493,0.0975540708866493,0.08577737515570151,0.532118591723286,0.06008525631128192,0.13638136075295182,-0.0639737972539578
ALL_5M_BULL_ON,5,0.3,17662,0.07315139848261805,0.07315139848261805,0.05933642849054467,0.5521367521367522,0.06008525631128192,0.13638136075295182,-0.0639737972539578
ALL_5M_BULL_ON,5,0.4,17662,0.043879515343675686,0.043879515343675686,0.03148001358849507,0.5822689706987227,0.06008525631128192,0.13638136075295182,-0.0639737972539578
ALL_5M_BULL_ON,5,0.5,17662,0.029441739327369494,0.029441739327369494,0.017268712490091723,0.6303030303030303,0.06008525631128192,0.13638136075295182,-0.0639737972539578
ALL_5M_BULL_ON,15,0.1,17662,0.37158872154908845,0.37158872154908845,0.47769222058657,0.43753333333333333,0.11371511584142846,0.24713600682092496,-0.11648862912133628
ALL_5M_BULL_ON,15,0.15,17662,0.32872834333597556,0.32872834333597556,0.36145396897293625,0.4762920426579163,0.11371511584142846,0.24713600682092496,-0.11648862912133628
ALL_5M_BULL_ON,15,0.2,17662,0.2738081757445363,0.2738081757445363,0.2676367342316838,0.5056990484157691,0.11371511584142846,0.24713600682092496,-0.11648862912133628
ALL_5M_BULL_ON,15,0.25,17662,0.2224549881100668,0.2224549881100668,0.2036575699241309,0.5220568695190008,0.11371511584142846,0.24713600682092496,-0.11648862912133628
ALL_5M_BULL_ON,15,0.3,17662,0.17965122862642963,0.17965122862642963,0.15949496093307666,0.5297161936560935,0.11371511584142846,0.24713600682092496,-0.11648862912133628
ALL_5M_BULL_ON,15,0.4,17662,0.12410825501075756,0.12410825501075756,0.09829011436983354,0.5580448065173116,0.11371511584142846,0.24713600682092496,-0.11648862912133628
ALL_5M_BULL_ON,15,0.5,17662,0.08645679990941003,0.08645679990941003,0.06386592684860151,0.5751412429378531,0.11371511584142846,0.24713600682092496,-0.11648862912133628
ALL_5M_BULL_ON,30,0.1,17662,0.4121277318536972,0.4121277318536972,0.5263843279356811,0.439128861003861,0.16305069939226424,0.3606380601197168,-0.16856770260814669
ALL_5M_BULL_ON,30,0.15,17662,0.3990488053448081,0.3990488053448081,0.4391914845430869,0.4760553866936846,0.16305069939226424,0.3606380601197168,-0.16856770260814669
ALL_5M_BULL_ON,30,0.2,17662,0.3613407315139848,0.3613407315139848,0.3640584305288189,0.4981267561660943,0.16305069939226424,0.3606380601197168,-0.16856770260814669
ALL_5M_BULL_ON,30,0.25,17662,0.3145170422375722,0.3145170422375722,0.3033631525308572,0.5090259323742325,0.16305069939226424,0.3606380601197168,-0.16856770260814669
ALL_5M_BULL_ON,30,0.3,17662,0.2721662325897407,0.2721662325897407,0.2518401087079606,0.5193949216639654,0.16305069939226424,0.3606380601197168,-0.16856770260814669
ALL_5M_BULL_ON,30,0.4,17662,0.20648850639791644,0.20648850639791644,0.1758011550220813,0.5401362559241706,0.16305069939226424,0.3606380601197168,-0.16856770260814669
ALL_5M_BULL_ON,30,0.5,17662,0.15728683048352396,0.15728683048352396,0.12467444230551467,0.5578313253012048,0.16305069939226424,0.3606380601197168,-0.16856770260814669
ALL_5M_BULL_ON,60,0.1,17661,0.4304399524375743,0.4304399524375743,0.5492327727761734,0.43937117096289446,0.23843214029328763,0.5334895336438716,-0.24213001807151802
ALL_5M_BULL_ON,60,0.15,17661,0.44244380272917727,0.44244380272917727,0.49068569163694015,0.4741504854368932,0.23843214029328763,0.5334895336438716,-0.24213001807151802
ALL_5M_BULL_ON,60,0.2,17661,0.42534397825717685,0.42534397825717685,0.43763093822546856,0.4928810445508825,0.23843214029328763,0.5334895336438716,-0.24213001807151802
ALL_5M_BULL_ON,60,0.25,17661,0.39550421833418264,0.39550421833418264,0.39193703640790445,0.5022650463795211,0.23843214029328763,0.5334895336438716,-0.24213001807151802
ALL_5M_BULL_ON,60,0.3,17661,0.36164430100220823,0.36164430100220823,0.3533774984428968,0.5057808045612924,0.23843214029328763,0.5334895336438716,-0.24213001807151802
ALL_5M_BULL_ON,60,0.4,17661,0.30117207406149143,0.30117207406149143,0.2742766547760602,0.5233690839319098,0.23843214029328763,0.5334895336438716,-0.24213001807151802
ALL_5M_BULL_ON,60,0.5,17661,0.24709812581394033,0.24709812581394033,0.21272861106392615,0.5373722447974387,0.23843214029328763,0.5334895336438716,-0.24213001807151802
5M_ON_WHILE_4H_BULL,5,0.1,5563,0.2678410929354665,0.2678410929354665,0.3510695667805141,0.43276212605286085,0.0614531941167229,0.13864334629406505,-0.06679683485766308
5M_ON_WHILE_4H_BULL,5,0.15,5563,0.1943196117202948,0.1943196117202948,0.2158907064533525,0.47370727432077125,0.0614531941167229,0.13864334629406505,-0.06679683485766308
5M_ON_WHILE_4H_BULL,5,0.2,5563,0.13499910120438613,0.13499910120438613,0.13697645155491642,0.4963648380700595,0.0614531941167229,0.13864334629406505,-0.06679683485766308
5M_ON_WHILE_4H_BULL,5,0.25,5563,0.09689016717598418,0.09689016717598418,0.09185691173827072,0.5133333333333333,0.0614531941167229,0.13864334629406505,-0.06679683485766308
5M_ON_WHILE_4H_BULL,5,0.3,5563,0.06920726226856012,0.06920726226856012,0.06363472946252022,0.5209742895805142,0.0614531941167229,0.13864334629406505,-0.06679683485766308
5M_ON_WHILE_4H_BULL,5,0.4,5563,0.04116483911558511,0.04116483911558511,0.03181736473126011,0.5640394088669951,0.0614531941167229,0.13864334629406505,-0.06679683485766308
5M_ON_WHILE_4H_BULL,5,0.5,5563,0.0253460363113428,0.0253460363113428,0.01707711666367068,0.597457627118644,0.0614531941167229,0.13864334629406505,-0.06679683485766308
5M_ON_WHILE_4H_BULL,15,0.1,5563,0.3859428365989574,0.3859428365989574,0.48696746359877763,0.4421334431630972,0.11725965284272721,0.2478448282526191,-0.12077566820942742
5M_ON_WHILE_4H_BULL,15,0.15,5563,0.3471148660794535,0.3471148660794535,0.3710228294085925,0.48335419274092617,0.11725965284272721,0.2478448282526191,-0.12077566820942742
5M_ON_WHILE_4H_BULL,15,0.2,5563,0.2824015818802804,0.2824015818802804,0.27898615854754627,0.5030419468459815,0.11725965284272721,0.2478448282526191,-0.12077566820942742
