region_id,character_rule,cells,lookbacks,holds,strict_temporal_cells,median_expectancy,median_pf,median_max_dd,qualifies
1,EFF_LOW__RV_MID,1,120,480,0,2.1823322404092784,1.7228877549618284,125.12149607287243,False
2,EFF_HIGH__RV_LOW,2,240;360,480,0,1.128909064577127,1.4621020486914778,114.5367875337962,False
3,EFF_HIGH__RV_MID,3,240;360,120;240,0,0.9362540678514205,1.4336939264523645,99.08993214895723,False
4,EFF_LOW__RANGE_HIGH,1,60,480,0,1.4669870323197824,1.3620665507032343,139.45465912264203,False
5,EFF_MID__RANGE_MID,1,60,360,0,0.44446458317388315,1.1414742686072068,79.51299162851011,False
6,EFF_HIGH__RANGE_LOW,2,240;360,480,0,2.2120447761503166,2.2203481850113906,61.7720044556613,False
7,EFF_MID__EXT_HIGH,2,120,360;480,0,1.1532021822227922,1.347465265696935,125.26068112790117,False
8,RV_LOW__RANGE_MID,1,60,360,1,0.8071117878942717,1.2624003897664133,116.66846810574526,False
9,RV_LOW__RANGE_MID,1,120,480,0,0.46346056476417097,1.1312896952621982,147.17347589101095,False
10,RV_LOW__RANGE_MID,1,360,360,0,0.864110987529755,1.3390946443284821,99.796588919742,False
11,RV_MID__RANGE_HIGH,1,120,360,0,1.5456464403012047,1.7089382491892848,82.35842305186006,False
12,RV_MID__RANGE_HIGH,1,360,240,0,1.4650781877188297,1.7731289472643808,106.39227369645201,False
13,RV_HIGH__RANGE_MID,1,180,480,0,2.3462660596369367,1.820829347532814,106.50412945375882,False
14,RV_HIGH__RANGE_MID,1,360,240,0,0.40021946155434884,1.179697975937942,120.08597588937167,False
15,DRIVE_UP__RV_MID,2,180,240;360,0,0.5398537384790709,1.2499796860198773,115.42794140090665,False
16,DRIVE_UP__STR_B0_20,1,180,480,0,0.537937478260888,1.1642766065715193,136.21771714526295,False
17,DRIVE_UP__STR_B0_20,1,180,240,0,0.21007541557859064,1.0918291457003437,69.82614036499292,False
18,DRIVE_UP__STR_B60_80,1,360,120,0,0.5667914717314257,1.2711969074021707,127.1754741260967,False
19,DRIVE_UP__STR_B60_80,2,240,360;480,0,1.5024015240839894,1.4883801729947714,140.66537854520217,False
20,DRIVE_DOWN__STR_B60_80,1,360,240,0,0.4525609032462277,1.193787731298883,99.26631358997092,False
