policy,trades_n,positive_n,positive_survivor_n,positive_survival_rate,management_trigger_rate,negative_n,negative_stop_hit_rate,negative_mean_realized_r,negative_median_realized_r,all_mean_realized_r,cum_realized_r,max_dd_r,max_loss_streak,median_time_to_exit_min,same_bar_managed_stop_hit_n,buy_side_positive_n,buy_side_positive_survival,sell_side_positive_n,sell_side_positive_survival,score3_positive_n,score3_positive_survival,score4_positive_n,score4_positive_survival,negative_improvement_vs_static,cum_improvement_vs_static,eligible
STATIC_RECLAIM_EXTREME,218,130,120,0.9230769230769231,0.0,88,0.8863636363636364,-0.8625148134168388,-1.0,0.08819428925490962,19.226355057570295,10.48089856483508,6,182.5,0,66,0.9090909090909091,64,0.9375,113,0.9292035398230089,17,0.8823529411764706,,,False
HALF_RISK_AFTER_025R,218,130,105,0.8076923076923077,0.8211009174311926,88,0.9886363636363636,-0.6437723480333738,-0.5000000000000029,0.0732343087692407,15.96507931169447,7.913682313610606,8,140.0,1,66,0.7878787878787878,64,0.828125,113,0.8407079646017699,17,0.5882352941176471,0.21874246538346498,-3.2612757458758246,False
HALF_RISK_AFTER_050R,218,130,110,0.8461538461538461,0.6192660550458715,88,0.9545454545454546,-0.7554825423754455,-1.0,0.05275326365797008,11.500211477437478,13.365201221446224,6,167.5,0,66,0.803030303030303,64,0.890625,113,0.8761061946902655,17,0.6470588235294118,0.10703227104139323,-7.726143580132817,False
HALF_RISK_AFTER_075R,218,130,116,0.8923076923076924,0.45871559633027525,88,0.9318181818181818,-0.821542255694849,-1.0,0.0668920283243105,14.58246217469969,11.818551070167885,6,175.0,0,66,0.8636363636363636,64,0.921875,113,0.9026548672566371,17,0.8235294117647058,0.04097255772198982,-4.643892882870604,False
BE_AFTER_025R,218,130,44,0.3384615384615385,0.8211009174311926,88,1.0,-0.3068181818181818,0.0,0.012264405412556655,2.6736403799373507,7.673656357806826,3,60.0,73,66,0.3484848484848485,64,0.328125,113,0.35398230088495575,17,0.23529411764705882,0.5556966315986569,-16.552714677632945,False
BE_AFTER_050R,218,130,92,0.7076923076923077,0.6192660550458715,88,0.9659090909090909,-0.5605738307057085,-1.0,0.07539169828127999,16.43539022531904,8.731825434827895,5,127.5,11,66,0.7121212121212122,64,0.703125,113,0.7345132743362832,17,0.5294117647058824,0.30194098271113023,-2.7909648322512552,False
BE_AFTER_075R,218,130,109,0.8384615384615385,0.45871559633027525,88,0.9431818181818182,-0.7246503231241083,-1.0,0.07960492349227456,17.353873321315856,9.867517441131621,5,170.0,6,66,0.8484848484848485,64,0.828125,113,0.8407079646017699,17,0.8235294117647058,0.1378644902927305,-1.8724817362544393,False
