feature,partition,n_true,n_false,losses_true,losses_false,loss_rate_true,loss_rate_false,risk_ratio_true_vs_false,directionally_replicated
high_before_low,external,41,103,14,38,0.34146341463414637,0.36893203883495146,0.9255455712451862,False
high_before_low,development,68,165,27,63,0.39705882352941174,0.38181818181818183,1.0399159663865545,False
high_before_low,reference_validation,30,71,9,27,0.3,0.38028169014084506,0.7888888888888889,False
high_before_low,POOLED_MAJOR,139,339,50,128,0.3597122302158273,0.3775811209439528,0.9526753597122302,False
single_k1,external,112,32,41,11,0.36607142857142855,0.34375,1.0649350649350648,False
single_k1,development,163,70,61,29,0.37423312883435583,0.4142857142857143,0.9033213454622382,False
single_k1,reference_validation,74,27,24,12,0.32432432432432434,0.4444444444444444,0.7297297297297298,False
single_k1,POOLED_MAJOR,349,129,126,52,0.36103151862464183,0.40310077519379844,0.8956358827419,False
pre4_up,external,73,71,23,29,0.3150684931506849,0.4084507042253521,0.7713745866792631,False
pre4_up,development,128,105,51,39,0.3984375,0.37142857142857144,1.072716346153846,False
pre4_up,reference_validation,55,46,18,18,0.32727272727272727,0.391304347826087,0.8363636363636363,False
pre4_up,POOLED_MAJOR,256,222,92,86,0.359375,0.38738738738738737,0.9276889534883721,False
pre24_up,external,78,66,30,22,0.38461538461538464,0.3333333333333333,1.153846153846154,False
pre24_up,development,110,123,43,47,0.39090909090909093,0.3821138211382114,1.023017408123791,False
pre24_up,reference_validation,51,50,17,19,0.3333333333333333,0.38,0.8771929824561403,False
pre24_up,POOLED_MAJOR,239,239,90,88,0.37656903765690375,0.3682008368200837,1.0227272727272727,False
ref_up,external,114,30,42,10,0.3684210526315789,0.3333333333333333,1.105263157894737,False
ref_up,development,167,66,62,28,0.3712574850299401,0.42424242424242425,0.8751069289991446,False
ref_up,reference_validation,77,24,27,9,0.35064935064935066,0.375,0.935064935064935,False
ref_up,POOLED_MAJOR,358,120,131,47,0.3659217877094972,0.39166666666666666,0.9342683941519077,False
ref_close_upper_half,external,114,30,41,11,0.35964912280701755,0.36666666666666664,0.9808612440191389,False
ref_close_upper_half,development,180,53,66,24,0.36666666666666664,0.4528301886792453,0.8097222222222221,False
ref_close_upper_half,reference_validation,75,26,28,8,0.37333333333333335,0.3076923076923077,1.2133333333333334,False
ref_close_upper_half,POOLED_MAJOR,369,109,135,43,0.36585365853658536,0.3944954128440367,0.9273964832671582,False
