anchor_hour_wib,scope,label,sessions,k1_qualified,k1_rate,causal_leave,leave_rate,h2,opposite_break_before_h2,ambiguous_h2_vs_opposite,no_h2_by_end,h2_rate,resolved_h2_share,median_minutes_leave_to_h2
22,POOLED,STRONG_STRUCTURAL,1096,228,0.20802919708029197,147,0.6447368421052632,114,8,0,25,0.7755102040816326,0.9344262295081968,15.0
22,Monday,,157,31,0.19745222929936307,22,0.7096774193548387,20,1,0,1,0.9090909090909091,0.9523809523809523,17.5
22,Tuesday,,157,39,0.2484076433121019,24,0.6153846153846154,17,3,0,4,0.7083333333333334,0.85,20.0
22,Wednesday,,156,38,0.24358974358974358,26,0.6842105263157895,17,3,0,6,0.6538461538461539,0.85,15.0
22,Thursday,,156,21,0.1346153846153846,10,0.47619047619047616,7,0,0,3,0.7,1.0,15.0
22,Friday,,156,39,0.25,29,0.7435897435897436,24,0,0,5,0.8275862068965517,1.0,20.0
22,Saturday,,157,29,0.18471337579617833,16,0.5517241379310345,13,1,0,2,0.8125,0.9285714285714286,5.0
22,Sunday,,157,31,0.19745222929936307,20,0.6451612903225806,16,0,0,4,0.8,1.0,12.5
23,POOLED,STRONG_STRUCTURAL,1096,232,0.2116788321167883,145,0.625,109,10,0,26,0.7517241379310344,0.9159663865546218,15.0
23,Monday,,157,37,0.2356687898089172,28,0.7567567567567568,24,1,0,3,0.8571428571428571,0.96,15.0
23,Tuesday,,157,29,0.18471337579617833,12,0.41379310344827586,11,1,0,0,0.9166666666666666,0.9166666666666666,45.0
23,Wednesday,,156,33,0.21153846153846154,22,0.6666666666666666,14,3,0,5,0.6363636363636364,0.8235294117647058,40.0
23,Thursday,,156,32,0.20512820512820512,16,0.5,10,1,0,5,0.625,0.9090909090909091,17.5
23,Friday,,156,36,0.23076923076923078,23,0.6388888888888888,18,2,0,3,0.782608695652174,0.9,20.0
23,Saturday,,157,29,0.18471337579617833,18,0.6206896551724138,14,0,0,4,0.7777777777777778,1.0,10.0
23,Sunday,,157,36,0.22929936305732485,26,0.7222222222222222,18,2,0,6,0.6923076923076923,0.9,12.5
