hour_wib,character_rule,raw_component_id,component_size,halo_cell_count,halo_economic_support_count,halo_economic_support_ratio,component_min_half_exp_floor,component_min_half_exp_mean,component_exp_floor,component_exp_mean,component_pf_median,component_dd_max,component_wr_min,component_wr_mean,component_trade_sum,component_ls_max,min_lb,max_lb,min_hold,max_hold,component_cells
0,DRIVE_DOWN__RV_MID,1,1,3,1,0.3333333333333333,0.7662092506015109,0.7662092506015109,0.7977238412377416,0.7977238412377416,1.3456164608131356,108.19041087056888,0.5751633986928104,0.5751633986928104,153,6,30,30,240,240,LB30/H240
0,DRIVE_DOWN__RV_MID,2,1,4,1,0.25,1.1216159628754798,1.1216159628754798,1.1354024444206514,1.1354024444206514,1.3162854368145367,152.1079362818458,0.5947712418300654,0.5947712418300654,153,4,30,30,720,720,LB30/H720
0,DRIVE_DOWN__STR_B40_60,1,1,3,1,0.3333333333333333,0.04810990176494684,0.04810990176494684,0.345073615578408,0.345073615578408,1.1679634567922181,62.31295368822022,0.5576923076923077,0.5576923076923077,104,7,360,360,240,240,LB360/H240
0,DRIVE_DOWN__STR_B40_60,2,1,5,1,0.2,0.22556237697310141,0.22556237697310141,0.5164743933956865,0.5164743933956865,1.1725070502173314,66.52569365983642,0.5232558139534884,0.5232558139534884,86,6,240,240,480,480,LB240/H480
0,DRIVE_DOWN__STR_B60_80,1,1,4,1,0.25,0.4672487432937846,0.4672487432937846,0.5975975441280496,0.5975975441280496,1.2353894505449925,63.845310843366576,0.5757575757575758,0.5757575757575758,99,8,120,120,240,240,LB120/H240
0,DRIVE_UP__EFF_LOW,1,2,7,2,0.2857142857142857,0.4281223547913395,0.9361438314652285,1.082400815019071,1.64253913607239,1.3948164737255504,119.10087696020207,0.5403726708074534,0.546583850931677,322,11,120,120,720,960,LB120/H720;LB120/H960
0,DRIVE_UP__EXT_HIGH,1,5,9,5,0.5555555555555556,0.175190033185332,1.4408364643142844,1.136245931196881,2.276209829730597,1.6813987258467138,144.669193383351,0.5460122699386503,0.5612606521429904,816,10,180,360,720,960,LB240/H720;LB360/H720;LB180/H960;LB240/H960;LB360/H960
0,DRIVE_UP__RANGE_HIGH,1,1,3,1,0.3333333333333333,0.5555852924728933,0.5555852924728933,0.8960347877553605,0.8960347877553605,1.1702873428609988,134.70402294360522,0.5753424657534246,0.5753424657534246,146,8,30,30,960,960,LB30/H960
0,DRIVE_UP__RANGE_LOW,1,1,4,1,0.25,0.6035614933992489,0.6035614933992489,0.7890800434331214,0.7890800434331214,1.3399214749762605,106.12248035711724,0.5389221556886228,0.5389221556886228,167,7,360,360,480,480,LB360/H480
0,DRIVE_UP__RANGE_LOW,2,1,4,1,0.25,1.5026561642525336,1.5026561642525336,1.8886757307511848,1.8886757307511848,1.561800066173251,158.8544828777779,0.5426829268292683,0.5426829268292683,164,18,240,240,960,960,LB240/H960
