n,wr,pf,expectancy,total_pnl,early_cut_n,cut_baseline_winner_n,cut_baseline_e20_n,early_cut_total_pnl,same_as_baseline_n,candidate,family,horizon_minutes,threshold,partition,pnl_delta_vs_baseline,at_risk_n
50,0.44,1.406473501379432,0.5318428302246974,26.592141511234868,14,5,6,-25.182988865024406,36,AC_H05_T05,adverse_close_r,5,0.05,external,-18.797260965203733,36
79,0.3670886075949367,0.558168863425654,-0.5855128622722932,-46.25551611951116,33,14,15,-50.03080485056711,46,AC_H05_T05,adverse_close_r,5,0.05,development,-24.771379867527088,61
34,0.38235294117647056,0.5015065036848423,-0.7258905402676624,-24.680278369100524,12,4,4,-19.49227286511654,22,AC_H05_T05,adverse_close_r,5,0.05,reference_validation,14.283403772342943,28
163,0.39263803680981596,0.7980908428241086,-0.27204695078145286,-44.34365297737682,59,23,25,-94.70606658070805,104,AC_H05_T05,adverse_close_r,5,0.05,POOLED_MAJOR,-29.285237060387875,125
50,0.52,1.6707522934290004,0.8984295421188029,44.92147710594014,7,1,1,-16.56905631292036,43,AC_H05_T10,adverse_close_r,5,0.1,external,-0.46792537049844407,36
79,0.4050632911392405,0.5077532786460603,-0.7766774162229488,-61.35751588161296,21,11,11,-38.18505110284601,58,AC_H05_T10,adverse_close_r,5,0.1,development,-39.87337962962889,61
34,0.38235294117647056,0.48134780426296947,-0.7868744346247032,-26.75373077723991,11,4,4,-18.880463758608673,23,AC_H05_T10,adverse_close_r,5,0.1,reference_validation,12.209951364203555,28
163,0.43558282208588955,0.822412573144302,-0.2649679113675627,-43.18976955291272,39,16,16,-73.63457117437505,124,AC_H05_T10,adverse_close_r,5,0.1,POOLED_MAJOR,-28.131353635923787,125
50,0.52,1.5912382467452235,0.8314980502646221,41.5749025132311,5,1,1,-13.111217866847433,45,AC_H05_T15,adverse_close_r,5,0.15,external,-3.8144999632074836,36
79,0.46835443037974683,0.8038109200739579,-0.31246420470848235,-24.684672171970107,15,6,6,-28.270686593597986,64,AC_H05_T15,adverse_close_r,5,0.15,development,-3.2005359199860366,61
34,0.4411764705882353,0.4029370860371496,-1.1627882707224098,-39.53480120456193,4,2,2,-9.631944172917304,30,AC_H05_T15,adverse_close_r,5,0.15,reference_validation,-0.5711190631184637,28
163,0.4785276073619632,0.9136871767041034,-0.13892374762761314,-22.64457086330094,24,9,9,-51.01384863336273,139,AC_H05_T15,adverse_close_r,5,0.15,POOLED_MAJOR,-7.586154946311985,125
50,0.54,1.6805099698485817,0.9877382176248419,49.386910881242095,3,0,0,-9.108342262564538,47,AC_H05_T20,adverse_close_r,5,0.2,external,3.9975084048035074,36
