hour_wib,component_rank,character_rule,raw_component_id,component_size,halo_cell_count,halo_economic_support_count,halo_economic_support_ratio,component_min_half_exp_floor,component_min_half_exp_mean,component_exp_floor,component_exp_mean,component_pf_median,component_dd_max,component_wr_min,component_wr_mean,component_trade_sum,component_ls_max,min_lb,max_lb,min_hold,max_hold,component_cells
0,1,EFF_LOW__RV_MID,1,7,12,7,0.5833333333333334,0.2718489872831855,1.903777132620786,0.8180678122302083,2.3413456983299135,2.7342490328015523,103.57372746617735,0.5483870967741935,0.6127596652167047,679,9,240,360,240,960,LB360/H240;LB240/H360;LB360/H360;LB240/H480;LB360/H480;LB360/H720;LB360/H960
0,2,DRIVE_UP__RV_MID,1,7,14,7,0.5,0.25373264041822574,1.359950207683765,0.9372905511172256,1.6795158470296838,1.7026772213748878,132.46667208244034,0.5241379310344828,0.6035467980295568,1035,13,240,360,240,960,LB360/H240;LB240/H360;LB360/H360;LB240/H480;LB360/H480;LB240/H720;LB240/H960
0,3,RV_MID__RANGE_LOW,1,6,12,6,0.5,0.5018903281339037,2.0781612363887314,0.8933716933458937,2.6365699358782293,2.5870452993922637,123.19160084474932,0.550561797752809,0.6611896419797832,550,9,240,360,360,960,LB240/H360;LB360/H360;LB360/H480;LB240/H720;LB360/H720;LB360/H960
1,1,EFF_MID__RV_MID,1,5,10,5,0.5,1.0156942569115501,1.6582066724259235,1.1193407060065603,1.8907888287284766,1.6513041893591849,117.5874303879134,0.5391304347826087,0.5791304347826087,575,7,30,30,240,960,LB30/H240;LB30/H360;LB30/H480;LB30/H720;LB30/H960
1,2,DRIVE_UP__RV_MID,2,5,11,5,0.45454545454545453,0.5733651290374949,1.4817495801883893,0.9052714487322634,2.006287238207938,1.6810302289150585,128.60105912287153,0.5337837837837838,0.5624186230025646,707,12,240,360,360,960,LB360/H360;LB360/H480;LB240/H720;LB360/H720;LB240/H960
1,3,DRIVE_UP__RV_MID,1,5,11,5,0.45454545454545453,0.11945894138133797,0.3694641499264987,0.5607659240083099,0.875594860296453,1.2644022076604156,156.05108928996674,0.5287356321839081,0.5362186253811869,843,10,30,60,240,720,LB30/H240;LB30/H360;LB30/H480;LB30/H720;LB60/H720
2,1,DRIVE_UP__RV_MID,1,9,22,9,0.4090909090909091,0.07795154475385542,0.8648037363610349,0.7890178343767873,1.243901281846052,1.4925200096170215,128.5729028708836,0.5253164556962026,0.5639454955252314,1484,20,30,240,240,960,LB120/H240;LB120/H360;LB120/H480;LB30/H720;LB60/H720;LB120/H720;LB180/H720;LB240/H720;LB120/H960
2,2,RV_MID__RANGE_HIGH,1,7,13,7,0.5384615384615384,0.006061566160107494,0.8616197165578303,0.9344076539079309,1.5114334892288637,1.3824482642939806,91.30535026654654,0.5205479452054794,0.5739690078537684,538,9,30,180,720,960,LB30/H720;LB60/H720;LB120/H720;LB180/H720;LB30/H960;LB60/H960;LB120/H960
2,3,RV_MID__RANGE_LOW,1,6,11,6,0.5454545454545454,0.11251945460282224,0.6153919919694244,0.7592657196760889,1.1559842088507877,1.4910683210738918,73.45332191270805,0.5434782608695652,0.581214031069633,592,12,30,120,240,360,LB30/H240;LB60/H240;LB120/H240;LB30/H360;LB60/H360;LB120/H360
3,1,RV_MID__RANGE_LOW,1,5,10,5,0.5,0.382858700506075,1.0628743278390795,0.5672150294325127,1.4807069229554681,1.5928158768230454,54.86640835083122,0.5632183908045977,0.5839080459770114,435,11,30,30,240,960,LB30/H240;LB30/H360;LB30/H480;LB30/H720;LB30/H960
3,2,EFF_MID__RV_MID,2,5,13,5,0.38461538461538464,0.04753041928084758,0.8543069560399358,1.0344148323197115,1.6914232166927303,1.6407383033283565,110.30808770572497,0.5333333333333333,0.561096681096681,519,7,30,60,360,960,LB60/H360;LB60/H480;LB30/H720;LB60/H720;LB60/H960
3,3,EFF_LOW__RANGE_MID,1,5,14,5,0.35714285714285715,0.8682396598282057,1.2253603782640217,1.190334810549996,1.8301304780406624,1.628022294531724,124.42915580290904,0.5444444444444444,0.5618604651162791,438,13,120,180,360,960,LB120/H360;LB120/H480;LB120/H720;LB180/H720;LB180/H960
4,1,DRIVE_DOWN__STR_B20_40,1,6,15,6,0.4,0.018327538102996685,0.6486959943956289,0.7892742948897167,1.4042912693479854,1.5210861310947337,145.10370956110557,0.5425531914893617,0.5822508398656215,565,8,240,360,240,960,LB240/H240;LB240/H360;LB240/H480;LB240/H720;LB360/H720;LB240/H960
4,2,EFF_LOW__EXT_HIGH,1,4,13,4,0.3076923076923077,0.06280533718516666,0.6486102049104581,0.744741974862501,1.4440482253187195,1.5090944927536047,37.255666291585854,0.5283018867924528,0.5566037735849056,212,5,180,180,360,960,LB180/H360;LB180/H480;LB180/H720;LB180/H960
4,3,RV_HIGH__RANGE_MID,2,3,7,3,0.42857142857142855,1.487402835954717,3.31444323012249,3.9069086358617087,6.208968879989364,5.6353084822325625,40.92170142255651,0.6724137931034483,0.7126436781609194,174,7,360,360,480,960,LB360/H480;LB360/H720;LB360/H960
5,1,DRIVE_DOWN__STR_B60_80,1,8,18,8,0.4444444444444444,0.1671023442181126,1.1471904332424727,0.5791770893661642,2.0768171994979117,1.7224491149202337,77.75183393650218,0.5274725274725275,0.6156328611147888,696,9,60,120,360,960,LB60/H360;LB120/H360;LB60/H480;LB120/H480;LB60/H720;LB120/H720;LB60/H960;LB120/H960
5,2,RV_LOW__RANGE_MID,1,7,16,7,0.4375,0.4900133428576174,1.1949890200642286,0.8325283443776047,2.2666052842056277,2.3090613576350165,150.9098554061625,0.5420560747663551,0.5660064979416347,697,16,180,360,360,720,LB180/H360;LB360/H360;LB180/H480;LB240/H480;LB360/H480;LB180/H720;LB360/H720
5,3,EFF_MID__RANGE_MID,1,7,17,7,0.4117647058823529,0.948138039906121,1.5384389998883274,0.983434602195724,1.8039814652066473,1.7745878229120176,120.38222196759796,0.5689655172413793,0.6277269528501056,800,8,180,240,240,720,LB180/H240;LB180/H360;LB240/H360;LB180/H480;LB240/H480;LB180/H720;LB240/H720
6,1,DRIVE_DOWN__EXT_HIGH,1,10,19,10,0.5263157894736842,0.10853319404938136,0.9026241228676483,0.5324018087716081,1.4548885825550273,1.3559332630873102,123.93495408266705,0.5448275862068965,0.5830732509646162,1389,11,30,180,240,960,LB60/H240;LB30/H360;LB60/H360;LB120/H360;LB180/H360;LB60/H480;LB30/H720;LB60/H720;LB30/H960;LB60/H960
6,2,DRIVE_DOWN__RV_LOW,1,7,13,7,0.5384615384615384,0.0386408910475193,0.6540834210879022,0.34812622401801474,1.32477964748452,1.6012991615721994,108.24669272363462,0.5286624203821656,0.5704293362063672,1123,8,30,60,240,960,LB30/H240;LB30/H360;LB60/H360;LB60/H480;LB30/H720;LB60/H720;LB30/H960
6,3,EFF_HIGH__RV_LOW,1,7,14,7,0.5,0.06818697901544478,0.682178292174069,0.9496999234978105,1.7091731509958894,1.7433377216331387,90.11508965038253,0.5267175572519084,0.5668900221254278,1043,12,30,60,360,960,LB30/H360;LB60/H360;LB60/H480;LB30/H720;LB60/H720;LB30/H960;LB60/H960
7,1,DRIVE_DOWN__STR_B20_40,1,11,22,11,0.5,0.15461191185013679,1.08444099793519,0.5185486596856819,1.8793103331973646,1.7672813424886136,94.352278205645,0.5242718446601942,0.5829573244505373,1016,8,60,240,240,960,LB120/H240;LB180/H240;LB120/H360;LB180/H360;LB120/H480;LB60/H720;LB120/H720;LB180/H720;LB240/H720;LB120/H960;LB180/H960
7,2,EFF_MID__RV_MID,1,8,16,8,0.5,0.19345749096869078,0.8487987449521749,0.8497070136090152,1.318164964118888,1.4219688653202405,125.75436491151086,0.5344827586206896,0.5586608350236646,920,9,180,360,240,960,LB240/H240;LB240/H360;LB360/H360;LB240/H480;LB360/H480;LB240/H720;LB180/H960;LB240/H960
7,3,EFF_LOW__RV_HIGH,1,7,16,7,0.4375,0.3233027876828052,1.4687202657441412,1.0746740054930066,2.9535792250686543,1.6741145073301844,111.56943137408253,0.5384615384615384,0.5836219529599321,557,8,120,240,360,960,LB120/H360;LB120/H480;LB180/H480;LB180/H720;LB240/H720;LB120/H960;LB180/H960
8,1,RV_HIGH__RANGE_MID,1,11,19,11,0.5789473684210527,0.02605505642895838,0.6414925360638496,0.6912758145588073,2.592708939231511,1.8207575212158753,128.2004965140029,0.5454545454545454,0.6360662189276198,718,11,180,360,240,960,LB180/H240;LB240/H240;LB180/H360;LB360/H360;LB180/H480;LB240/H480;LB360/H480;LB180/H720;LB240/H720;LB360/H720;LB360/H960
8,2,RV_MID__RANGE_LOW,1,10,22,10,0.45454545454545453,0.18685515172435338,1.5271295187974667,1.230572232873217,2.7797252595205015,1.9102141489192925,93.50135827219236,0.5238095238095238,0.5827959283435511,821,10,120,360,240,960,LB120/H240;LB120/H360;LB120/H480;LB240/H480;LB120/H720;LB240/H720;LB120/H960;LB180/H960;LB240/H960;LB360/H960
8,3,DRIVE_DOWN__EFF_MID,1,7,15,7,0.4666666666666667,0.43232166953558604,0.8680309552995507,0.7899786251635462,1.2588775514051567,1.2902454276412434,151.09325090780976,0.5212121212121212,0.531044751426917,1205,16,120,240,480,960,LB240/H480;LB120/H720;LB180/H720;LB240/H720;LB120/H960;LB180/H960;LB240/H960
9,1,RV_HIGH__RANGE_MID,1,7,14,7,0.5,0.11543173193548076,1.019550763185339,0.6981826291788187,2.3295487943146176,1.7041795605123702,129.0845511023195,0.543859649122807,0.5865836466165414,427,11,240,360,240,960,LB240/H240;LB240/H360;LB240/H480;LB360/H480;LB240/H720;LB360/H720;LB360/H960
9,2,EFF_MID__RV_MID,1,7,15,7,0.4666666666666667,0.1781732113425622,1.1862233348240554,0.5793510344844683,1.8411112946441694,1.840170256757232,153.03525740176067,0.5581395348837209,0.5986313428173894,664,9,240,360,240,960,LB240/H240;LB240/H360;LB360/H360;LB240/H480;LB360/H480;LB240/H720;LB240/H960
9,3,DRIVE_DOWN__STR_B40_60,1,4,13,4,0.3076923076923077,0.03242083788201371,0.4421738758046735,0.7940591429382415,1.1839875042481174,1.4671097774788804,79.94418117524151,0.5357142857142857,0.550595238095238,336,7,120,120,240,720,LB120/H240;LB120/H360;LB120/H480;LB120/H720
10,1,DRIVE_UP__STR_B60_80,1,5,10,5,0.5,0.9352698447634356,1.7468744514391137,1.1137781746195357,2.343196111550707,1.6959982671051974,122.39427422501502,0.5304347826086957,0.5518115942028985,580,9,30,60,360,960,LB30/H360;LB30/H480;LB30/H720;LB60/H720;LB30/H960
10,2,RV_LOW__RANGE_MID,1,5,15,5,0.3333333333333333,0.5090037417637572,1.2909543653463544,0.7206927021191588,2.2827611048414713,1.7131225583213228,100.64818793253716,0.5473684210526316,0.5936842105263158,475,8,240,240,240,960,LB240/H240;LB240/H360;LB240/H480;LB240/H720;LB240/H960
10,3,EFF_MID__RANGE_MID,1,4,9,4,0.4444444444444444,0.2977770103830494,0.7916196310579957,0.9945711710251046,1.181500676689255,1.4187238235489432,60.3205225543374,0.5213675213675214,0.5598290598290598,468,7,30,30,240,720,LB30/H240;LB30/H360;LB30/H480;LB30/H720
11,1,EFF_LOW__RANGE_MID,1,4,9,4,0.4444444444444444,0.153143810771469,1.1602068049288978,0.8049542103684575,1.575053278385306,1.4669059986451987,147.27025467446566,0.573170731707317,0.6128048780487805,328,9,360,360,240,720,LB360/H240;LB360/H360;LB360/H480;LB360/H720
11,2,RV_HIGH__RANGE_MID,1,4,12,4,0.3333333333333333,0.20242676167337798,0.9316076859273108,0.9632033141178186,1.2217586615242575,1.4716401747069172,106.18866370070005,0.5483870967741935,0.6178484479610469,230,6,180,240,360,720,LB180/H360;LB180/H480;LB240/H480;LB240/H720
11,3,DRIVE_UP__EXT_HIGH,1,4,13,4,0.3076923076923077,0.3853255534368148,0.9532615974123446,0.5245588946326212,1.170052609396314,1.3288542399495538,156.21791843636962,0.53,0.5396428571428572,775,12,60,120,360,720,LB60/H360;LB120/H360;LB120/H480;LB120/H720
12,1,RV_HIGH__RANGE_MID,1,9,17,9,0.5294117647058824,0.5282689421710041,1.8084837212308014,0.8865691436910172,2.1719568869048262,1.8623123706859124,155.54446644903442,0.5217391304347826,0.6393712138639676,552,10,180,360,240,720,LB240/H240;LB360/H240;LB180/H360;LB240/H360;LB360/H360;LB180/H480;LB240/H480;LB180/H720;LB240/H720
12,2,EFF_LOW__RANGE_MID,2,6,13,6,0.46153846153846156,0.04614501937639999,1.6982580751805587,2.2887304566693065,3.0071478269496303,2.2413209734237696,134.01379310934078,0.5789473684210527,0.6351928510414614,609,11,240,360,240,960,LB360/H240;LB360/H360;LB240/H480;LB360/H480;LB240/H720;LB240/H960
12,3,DRIVE_UP__RV_HIGH,1,5,13,5,0.38461538461538464,0.08417058428591108,0.4640870155863103,0.8436019234799181,1.2673935142858084,1.384918137802641,153.4397099615021,0.5238095238095238,0.5390232337600758,688,11,180,360,360,480,LB180/H360;LB240/H360;LB180/H480;LB240/H480;LB360/H480
13,1,RV_HIGH__RANGE_MID,1,13,24,13,0.5416666666666666,0.02574625382013763,1.2670971994465603,0.4612966134631203,1.9708407082825095,1.7271199799596855,107.92827018390085,0.5223880597014925,0.5892056744143062,895,10,30,360,240,960,LB30/H240;LB60/H240;LB120/H240;LB180/H240;LB240/H240;LB360/H240;LB180/H360;LB240/H360;LB120/H480;LB180/H480;LB240/H480;LB240/H720;LB240/H960
13,2,EFF_LOW__RANGE_MID,2,7,15,7,0.4666666666666667,0.6201862097394892,2.164054959200979,0.9415340247120958,2.7398025563122417,1.9020671087529801,152.22483700610746,0.5321100917431193,0.5816110495009578,727,9,240,360,240,960,LB240/H240;LB240/H360;LB360/H360;LB240/H480;LB360/H480;LB240/H720;LB240/H960
13,3,EFF_MID__RV_MID,2,5,12,5,0.4166666666666667,0.4692622919888088,0.9396883754139823,0.9576319610934944,1.2029663711835006,1.5067991837639392,115.31829283447847,0.5555555555555556,0.5685902503293807,543,8,180,240,240,480,LB180/H240;LB240/H240;LB180/H360;LB240/H360;LB180/H480
14,1,RV_MID__RANGE_HIGH,1,7,17,7,0.4117647058823529,0.8656223131505718,1.602303355781626,1.51229403635467,2.56290474101706,1.6374479249458307,129.98420085038728,0.5428571428571428,0.6089968381718885,449,9,120,240,480,960,LB120/H480;LB240/H480;LB120/H720;LB180/H720;LB240/H720;LB120/H960;LB240/H960
14,2,RV_HIGH__RANGE_MID,1,5,10,5,0.5,0.8062220583359239,2.4225219204499617,3.1650594048004814,3.960649470610665,2.537129558900043,121.59371379522662,0.5352112676056338,0.5830985915492958,355,12,360,360,240,960,LB360/H240;LB360/H360;LB360/H480;LB360/H720;LB360/H960
14,3,DRIVE_DOWN__RV_MID,2,5,10,5,0.5,0.8008312485579605,1.2751848216728274,1.1243673566416927,1.80331510175979,1.6798429320974126,138.19977642908896,0.5289256198347108,0.557636975818794,553,14,240,360,240,720,LB240/H240;LB360/H240;LB360/H360;LB360/H480;LB360/H720
15,1,EFF_MID__RV_HIGH,1,6,14,6,0.42857142857142855,0.08785773006855863,1.553948206487059,1.6502953131494504,2.651270962477677,1.6117253671452465,135.8841244095185,0.5212765957446809,0.5363100871272353,565,9,30,120,240,720,LB60/H240;LB60/H360;LB30/H480;LB60/H480;LB120/H480;LB60/H720
15,2,RV_HIGH__RANGE_MID,4,5,10,5,0.5,0.24404550196024258,1.3116500846494765,1.7602777891317332,2.2770200661841935,1.4746556433537201,143.54114526857464,0.5441176470588235,0.5753677636241561,359,10,30,180,720,960,LB60/H720;LB30/H960;LB60/H960;LB120/H960;LB180/H960
15,3,RV_HIGH__RANGE_MID,1,4,10,4,0.4,0.34992046998252974,1.1691460831260927,1.128054603108716,1.6590977986015347,1.8220352845722498,45.46000624761212,0.59375,0.6135110294117647,264,9,60,120,240,360,LB60/H240;LB120/H240;LB60/H360;LB120/H360
16,1,RV_MID__RANGE_LOW,2,8,18,8,0.4444444444444444,0.05657147360150806,1.4581752140052275,0.5144280798902041,1.9092818328952763,1.5745475121493793,106.56108768935955,0.5342465753424658,0.585120837509745,606,9,60,180,360,960,LB60/H360;LB60/H480;LB60/H720;LB120/H720;LB180/H720;LB60/H960;LB120/H960;LB180/H960
16,2,RV_MID__RANGE_LOW,1,4,11,4,0.36363636363636365,0.05024199707735684,0.37402780450464823,0.5622991962265949,0.9225614638660606,1.4759672506542183,92.28931603775335,0.5365853658536586,0.5640243902439025,328,9,180,240,240,480,LB180/H240;LB240/H240;LB240/H360;LB240/H480
