freeze_rank,candidate_id,partition,minute_anchor,trades,win_rate,net_pnl,expectancy,pf
1,DRIVE_UP__STR_B80_100|RANGE_72H_LOW|BROAD_NORMAL|LB60|H720,external,0,1,0.0,-27.839985866094313,-27.839985866094313,0.0
1,DRIVE_UP__STR_B80_100|RANGE_72H_LOW|BROAD_NORMAL|LB60|H720,external,15,0,,0.0,,
1,DRIVE_UP__STR_B80_100|RANGE_72H_LOW|BROAD_NORMAL|LB60|H720,external,30,3,0.3333333333333333,-12.326257181951835,-4.108752393983945,0.7860311908456044
1,DRIVE_UP__STR_B80_100|RANGE_72H_LOW|BROAD_NORMAL|LB60|H720,external,45,2,0.0,-62.40058457418961,-31.200292287094804,0.0
1,DRIVE_UP__STR_B80_100|RANGE_72H_LOW|BROAD_NORMAL|LB60|H720,reference_validation,0,53,0.5283018867924528,4.869219749085895,0.09187207073746971,1.015118973126718
1,DRIVE_UP__STR_B80_100|RANGE_72H_LOW|BROAD_NORMAL|LB60|H720,reference_validation,15,43,0.5581395348837209,53.85782083559127,1.2525074612928202,1.2058118424967297
1,DRIVE_UP__STR_B80_100|RANGE_72H_LOW|BROAD_NORMAL|LB60|H720,reference_validation,30,50,0.56,108.90847775375521,2.178169555075104,1.4428307966441791
1,DRIVE_UP__STR_B80_100|RANGE_72H_LOW|BROAD_NORMAL|LB60|H720,reference_validation,45,50,0.46,-8.103700269970572,-0.16207400539941144,0.9757749568194516
2,EFF_HIGH__RV_HIGH|RANGE_72H_LOW|BROAD_NORMAL|LB30|H960,external,0,0,,0.0,,
2,EFF_HIGH__RV_HIGH|RANGE_72H_LOW|BROAD_NORMAL|LB30|H960,external,15,1,0.0,-33.03247820867478,-33.03247820867478,0.0
2,EFF_HIGH__RV_HIGH|RANGE_72H_LOW|BROAD_NORMAL|LB30|H960,external,30,1,0.0,-16.19958836736876,-16.19958836736876,0.0
2,EFF_HIGH__RV_HIGH|RANGE_72H_LOW|BROAD_NORMAL|LB30|H960,external,45,1,0.0,-27.51354029062086,-27.51354029062086,0.0
2,EFF_HIGH__RV_HIGH|RANGE_72H_LOW|BROAD_NORMAL|LB30|H960,reference_validation,0,47,0.48936170212765956,-17.765168051397794,-0.3779822989659105,0.9326282392307588
2,EFF_HIGH__RV_HIGH|RANGE_72H_LOW|BROAD_NORMAL|LB30|H960,reference_validation,15,36,0.4444444444444444,-58.866590878389964,-1.6351830799552767,0.7754616100650144
2,EFF_HIGH__RV_HIGH|RANGE_72H_LOW|BROAD_NORMAL|LB30|H960,reference_validation,30,45,0.4222222222222222,-42.0165468498766,-0.9337010411083688,0.8639549780727493
2,EFF_HIGH__RV_HIGH|RANGE_72H_LOW|BROAD_NORMAL|LB30|H960,reference_validation,45,51,0.47058823529411764,15.674682323569357,0.3073467122268501,1.0491866402140786
3,RV_MID__RANGE_HIGH|RANGE_72H_LOW|BROAD_NORMAL|LB60|H720,external,0,2,0.0,-33.400681910007705,-16.700340955003853,0.0
3,RV_MID__RANGE_HIGH|RANGE_72H_LOW|BROAD_NORMAL|LB60|H720,external,15,1,0.0,-7.336733906241965,-7.336733906241965,0.0
3,RV_MID__RANGE_HIGH|RANGE_72H_LOW|BROAD_NORMAL|LB60|H720,external,30,6,0.16666666666666666,-54.51093907312573,-9.085156512187622,0.4537566678519814
3,RV_MID__RANGE_HIGH|RANGE_72H_LOW|BROAD_NORMAL|LB60|H720,external,45,4,0.0,-71.74312516474313,-17.935781291185783,0.0
3,RV_MID__RANGE_HIGH|RANGE_72H_LOW|BROAD_NORMAL|LB60|H720,reference_validation,0,49,0.5102040816326531,24.29388700879825,0.4957936124244541,1.0778244071566148
3,RV_MID__RANGE_HIGH|RANGE_72H_LOW|BROAD_NORMAL|LB60|H720,reference_validation,15,41,0.4878048780487805,-3.166105301983521,-0.07722208053618343,0.9884625654379376
3,RV_MID__RANGE_HIGH|RANGE_72H_LOW|BROAD_NORMAL|LB60|H720,reference_validation,30,39,0.5641025641025641,110.36195080855428,2.829793610475751,1.6517989505407844
3,RV_MID__RANGE_HIGH|RANGE_72H_LOW|BROAD_NORMAL|LB60|H720,reference_validation,45,45,0.5333333333333333,18.55221204038665,0.41227137867525887,1.0826378315530027
4,EFF_HIGH__EXT_LOW|RANGE_RATIO_24_72_HIGH|BROAD_ACTIVE|LB120|H240,external,0,28,0.39285714285714285,96.46646695185707,3.445230962566324,1.539883473620203
4,EFF_HIGH__EXT_LOW|RANGE_RATIO_24_72_HIGH|BROAD_ACTIVE|LB120|H240,external,15,49,0.5510204081632653,632.5325129164264,12.908826794212784,3.66413073104883
4,EFF_HIGH__EXT_LOW|RANGE_RATIO_24_72_HIGH|BROAD_ACTIVE|LB120|H240,external,30,31,0.5483870967741935,210.50514311245178,6.790488487498444,2.0117073482860035
4,EFF_HIGH__EXT_LOW|RANGE_RATIO_24_72_HIGH|BROAD_ACTIVE|LB120|H240,external,45,37,0.5945945945945946,165.98725581715334,4.486142049112252,1.6950329722873991
4,EFF_HIGH__EXT_LOW|RANGE_RATIO_24_72_HIGH|BROAD_ACTIVE|LB120|H240,reference_validation,0,12,0.3333333333333333,-37.94798355666368,-3.1623319630553066,0.5364296711465499
4,EFF_HIGH__EXT_LOW|RANGE_RATIO_24_72_HIGH|BROAD_ACTIVE|LB120|H240,reference_validation,15,17,0.5294117647058824,9.149819878576839,0.538224698739814,1.093861221689029
4,EFF_HIGH__EXT_LOW|RANGE_RATIO_24_72_HIGH|BROAD_ACTIVE|LB120|H240,reference_validation,30,14,0.42857142857142855,-39.82750576338046,-2.8448218402414613,0.5706571169968542
4,EFF_HIGH__EXT_LOW|RANGE_RATIO_24_72_HIGH|BROAD_ACTIVE|LB120|H240,reference_validation,45,13,0.3076923076923077,-46.36245604691587,-3.566342772839682,0.4385665305971929
5,DRIVE_UP__RV_HIGH|RANGE_72H_MID|BROAD_QUIET|LB30|H720,external,0,0,,0.0,,
5,DRIVE_UP__RV_HIGH|RANGE_72H_MID|BROAD_QUIET|LB30|H720,external,15,0,,0.0,,
5,DRIVE_UP__RV_HIGH|RANGE_72H_MID|BROAD_QUIET|LB30|H720,external,30,0,,0.0,,
5,DRIVE_UP__RV_HIGH|RANGE_72H_MID|BROAD_QUIET|LB30|H720,external,45,1,0.0,-15.883895037874348,-15.883895037874348,0.0
5,DRIVE_UP__RV_HIGH|RANGE_72H_MID|BROAD_QUIET|LB30|H720,reference_validation,0,53,0.5471698113207547,95.83118249519933,1.8081355187773458,1.4281305062388625
5,DRIVE_UP__RV_HIGH|RANGE_72H_MID|BROAD_QUIET|LB30|H720,reference_validation,15,55,0.509090909090909,-25.322167009565014,-0.4604030365375457,0.9204120216985808
